Año	CCAA código	CCAA nombre	Urbano, parcelas	Urbano, superficie	Urbano, bienes inmuebles	Urbano, valor catastral total	Urbano, valor catastral construcción	Urbano, valor catastral suelo
2019	02	Aragón	476895,0	35104,18	1317384,0	69340192,25	37191040,41	32149147,92
2018	02	Aragón	475314,0	34972,12	1310216,0	71850036,65	38087531,51	33762501,64
2017	02	Aragón	473555,0	34812,17	1303651,0	70518151,11	35688421,66	33355126,17
2016	02	Aragón	473364,0	37399,09	1294749,0	69285207,14	39064203,23	30221003,8
2015	02	Aragón	473364,0	37399,09	1294749,0	69285207,14	39064203,23	30221003,8
2014	02	Aragón	473459,0	37376,61	1284232,0	68204253,08	38189168,98	30015084,18
2013	02	Aragón	470137,0	36965,36	1270786,0	67319834,67	37520739,8	29799094,74
2012	02	Aragón	468396,0	36553,4	1266174,0	49293720,22	27617518,97	21676201,1
2011	02	Aragón	472276,0	39056,04	1248680,0	48191168,15	26973973,47	21217194,8
2010	02	Aragón	470298,0	38410,69	1225636,0	46820122,11	26127264,32	20692857,86
2009	02	Aragón	467962,0	37691,17	1192065,0	43681924,36	24352751,68	19329172,59
2008	02	Aragón	464158,0	35751,02	1152429,0	39579746,96	22300112,32	17279634,69
2007	02	Aragón	462681,0	34020,11	1122074,0	37181635,37	20967350,45	16214284,77
2006	02	Aragón	460971,0	34446,43	1105421,0	34525980,88	19584124,05	14941857,13
2005	02	Aragón	457993,0	40384,91	1084090,0			
2004	02	Aragón	455613,0	39605,45	1065056,0			
2003	02	Aragón	452763,0	38807,76	1045831,0			
2002	02	Aragón	449953,0	37413,45	1030483,0			
2001	02	Aragón	448024,0	36366,12	1016545,0			
