Año	CCAA código	CCAA nombre	Residencial	BI Almacén, estacionamiento	BI Comercial	BI Ocio, hostelería	BI Industrial	BI Cultural	BI Deportivo	BI Oficinas	BI Edificios singulares	BI Religioso	BI Espectáculos	BI Sin definir	BI Suelo vacante	BI Sanidad, benefic	Total Bienes inmuebles
2003	02	Aragón	654681,0											391150,0			1045831,0
2004	02	Aragón	670685,0											394371,0			1065056,0
2005	02	Aragón	682488,0											401602,0			1084090,0
2006	02	Aragón	696957,0	175630,0	30033,0	2221,0	116391,0	1480,0	1500,0	5989,0	907,0	2509,0	202,0	408464,0	70848,0	754,0	1105421,0
2007	02	Aragón	706601,0	180725,0	30395,0	2289,0	114706,0	1475,0	1558,0	6320,0	920,0	2488,0	199,0	415473,0	73629,0	769,0	1122074,0
2008	02	Aragón	721263,0	192280,0	31025,0	2304,0	114171,0	1491,0	1589,0	6681,0	922,0	2475,0	192,0	431166,0	77250,0	786,0	1152429,0
2009	02	Aragón	743187,0	208736,0	31602,0	2333,0	111956,0	1505,0	1609,0	7276,0	932,0	2447,0	188,0	448878,0	79474,0	820,0	1192065,0
2010	02	Aragón	771033,0	233074,0	32582,0	2306,0	106733,0	1571,0	1712,0	7865,0	980,0	2440,0	193,0	470808,0	80493,0	859,0	1241841,0
2011	02	Aragón	773578,0	235560,0	32664,0	2301,0	106664,0	1571,0	1710,0	7879,0	967,0	2436,0	187,0	475102,0	82307,0	856,0	1248680,0
2012	02	Aragón	781070,0	243696,0	32919,0	2372,0	106544,0	1587,0	1748,0	8085,0	987,0	2441,0	187,0	485104,0	83685,0	853,0	1266174,0
2013	02	Aragón	781945,0	253268,0	40564,0	2203,0	92826,0	1596,0	1747,0	8242,0	987,0	2426,0	177,0	488829,0	83928,0	865,0	1270774,0
2014	02	Aragón	788594,0	259104,0	40784,0	2250,0	92246,0	1620,0	1803,0	8241,0	1002,0	2439,0	180,0	495638,0	85089,0	880,0	1284232,0
2015	02	Aragón	794890,0	264063,0	40915,0	2387,0	92428,0	1661,0	2281,0	8378,0	1015,0	2504,0	182,0	499842,0	83106,0	922,0	1294732,0
2016	02	Aragón	795662,0	267975,0	41109,0	2425,0	91526,0	1705,0	2444,0	8391,0	1023,0	2546,0	183,0	502053,0	81777,0	949,0	1297715,0
2017	02	Aragón	798532,0	271852,0	41362,0	2528,0	91701,0	1736,0	2615,0	8468,0	1022,0	2585,0	184,0	505104,0	80065,0	986,0	1303636,0
2018	02	Aragón	802334,0	274511,0	41752,0	2713,0	91704,0	1824,0	2959,0	8872,0	1130,0	2618,0	187,0	507866,0	78546,0	1050,0	1310200,0
2019	02	Aragón	804398,0	278505,0	42023,0	2790,0	92851,0	1835,0	3052,0	8877,0	1134,0	2632,0	188,0	512970,0	78021,0	1062,0	1317368,0
