Año	Comarca código	Comarca nombre	Residencial	BI Almacén, estacionamiento	BI Comercial	BI Ocio, hostelería	BI Industrial	BI Cultural	BI Deportivo	BI Oficinas	BI Edificios singulares	BI Religioso	BI Espectáculos	BI Sin definir	BI Suelo vacante	BI Sanidad, benefic	Total
2003	01	La Jacetania	18619,0											17860,0			36479,0
2003	02	Alto Gállego	10951,0											9941,0			20892,0
2003	03	Sobrarbe	4133,0											4355,0			8488,0
2003	04	La Ribagorza	9017,0											10394,0			19411,0
2003	05	Cinco Villas	17007,0											10411,0			27418,0
2003	06	Hoya de Huesca / Plana de Uesca	31887,0											28602,0			60489,0
2003	07	Somontano de Barbastro	11900,0											8782,0			20682,0
2003	08	Cinca Medio	10443,0											6810,0			17253,0
2003	09	La Litera / La Llitera	10030,0											7957,0			17987,0
2003	10	Los Monegros	11304,0											8339,0			19643,0
2003	11	Bajo Cinca / Baix Cinca	10909,0											6124,0			17033,0
2003	12	Tarazona y el Moncayo	9819,0											5686,0			15505,0
2003	13	Campo de Borja	8728,0											4354,0			13082,0
2003	14	Aranda	5643,0											4140,0			9783,0
2003	15	Ribera Alta del Ebro	11289,0											5594,0			16883,0
2003	16	Valdejalón	12760,0											7083,0			19843,0
2003	17	D.C. Zaragoza	298475,0											151111,0			449586,0
2003	18	Ribera Baja del Ebro	5690,0											2208,0			7898,0
2003	19	Bajo Aragón-Caspe / Baix Aragó-Casp	7494,0											4138,0			11632,0
2003	20	Comunidad de Calatayud	28316,0											18506,0			46822,0
2003	21	Campo de Cariñena	6536,0											3572,0			10108,0
2003	22	Campo de Belchite	5599,0											1524,0			7123,0
2003	23	Bajo Martín	5716,0											2313,0			8029,0
2003	24	Campo de Daroca	7412,0											3937,0			11349,0
2003	25	Jiloca	12799,0											6894,0			19693,0
2003	26	Cuencas Mineras	7837,0											5466,0			13303,0
2003	27	Andorra-Sierra de Arcos	7125,0											3606,0			10731,0
2003	28	Bajo Aragón	15775,0											9608,0			25383,0
2003	29	Comunidad de Teruel	23780,0											17499,0			41279,0
2003	30	Maestrazgo	3532,0											2861,0			6393,0
2003	31	Sierra de Albarracín	6458,0											2628,0			9086,0
2003	32	Gúdar-Javalambre	10502,0											6116,0			16618,0
2003	33	Matarraña / Matarranya	7196,0											2731,0			9927,0
2004	01	La Jacetania	19359,0											18195,0			37554,0
2004	02	Alto Gállego	11926,0											10300,0			22226,0
2004	03	Sobrarbe	4351,0											4406,0			8757,0
2004	04	La Ribagorza	9510,0											10553,0			20063,0
2004	05	Cinco Villas	17587,0											10083,0			27670,0
2004	06	Hoya de Huesca / Plana de Uesca	32722,0											28930,0			61652,0
2004	07	Somontano de Barbastro	12177,0											9038,0			21215,0
2004	08	Cinca Medio	10805,0											6888,0			17693,0
2004	09	La Litera / La Llitera	10213,0											8100,0			18313,0
2004	10	Los Monegros	11279,0											8467,0			19746,0
2004	11	Bajo Cinca / Baix Cinca	11098,0											6188,0			17286,0
2004	12	Tarazona y el Moncayo	10300,0											5414,0			15714,0
