Año	Municipio código	Municipio nombre	Residencial	BI Almacén, estacionamiento	BI Comercial	BI Ocio, hostelería	BI Industrial	BI Cultural	BI Deportivo	BI Oficinas	BI Edificios singulares	BI Religioso	BI Espectáculos	BI Sin definir	BI Suelo vacante	BI Sanidad, benefic	Total
2003	22001	Abiego	212,0											192,0			404,0
2003	22002	Abizanda	44,0											68,0			112,0
2003	22003	Adahuesca	118,0											55,0			173,0
2003	22004	Agüero	206,0											184,0			390,0
2003	22006	Aísa	1393,0											1516,0			2909,0
2003	22007	Albalate de Cinca	435,0											322,0			757,0
2003	22008	Albalatillo	124,0											205,0			329,0
2003	22009	Albelda	585,0											1313,0			1898,0
2003	22011	Albero Alto	40,0											135,0			175,0
2003	22012	Albero Bajo	43,0											119,0			162,0
2003	22013	Alberuela de Tubo	135,0											145,0			280,0
2003	22014	Alcalá de Gurrea	208,0											376,0			584,0
2003	22015	Alcalá del Obispo	232,0											457,0			689,0
2003	22016	Alcampell	546,0											920,0			1466,0
2003	22017	Alcolea de Cinca	624,0											555,0			1179,0
2003	22018	Alcubierre	254,0											176,0			430,0
2003	22019	Alerre	84,0											92,0			176,0
2003	22020	Alfántega	74,0											68,0			142,0
2003	22021	Almudévar	1225,0											751,0			1976,0
2003	22022	Almunia de San Juan	344,0											285,0			629,0
2003	22023	Almuniente	303,0											95,0			398,0
2003	22024	Alquézar	214,0											184,0			398,0
2003	22025	Altorricón	654,0											351,0			1005,0
2003	22027	Angüés	241,0											306,0			547,0
2003	22028	Ansó	393,0											323,0			716,0
2003	22029	Antillón	58,0											70,0			128,0
2003	22032	Aragüés del Puerto	109,0											124,0			233,0
2003	22035	Arén	277,0											272,0			549,0
2003	22036	Argavieso	54,0											90,0			144,0
2003	22037	Arguis	133,0											171,0			304,0
2003	22039	Ayerbe	648,0											586,0			1234,0
2003	22040	Azanuy-Alins	204,0											244,0			448,0
2003	22041	Azara	91,0											82,0			173,0
2003	22042	Azlor	95,0											96,0			191,0
2003	22043	Baells	105,0											266,0			371,0
2003	22044	Bailo	167,0											276,0			443,0
2003	22045	Baldellou	142,0											119,0			261,0
2003	22046	Ballobar	833,0											165,0			998,0
2003	22047	Banastás	72,0											78,0			150,0
2003	22048	Barbastro	7060,0											4871,0			11931,0
2003	22049	Barbués	52,0											130,0			182,0
2003	22050	Barbuñales	85,0											49,0			134,0
2003	22051	Bárcabo	111,0											120,0			231,0
2003	22052	Belver de Cinca	560,0											294,0			854,0
2003	22053	Benabarre	739,0											607,0			1346,0
