Año	Provincia código	Provincia nombre	Residencial	BI Almacén, estacionamiento	BI Comercial	BI Ocio, hostelería	BI Industrial	BI Cultural	BI Deportivo	BI Oficinas	BI Edificios singulares	BI Religioso	BI Espectáculos	BI Sin definir	BI Suelo vacante	BI Sanidad, benefic	Total
2003	22	Huesca	124642,0											107143,0			231785,0
2003	44	Teruel	100720,0											59722,0			160442,0
2003	50	Zaragoza	429319,0											224285,0			653604,0
2004	22	Huesca	128877,0											109029,0			237906,0
2004	44	Teruel	101900,0											60764,0			162664,0
2004	50	Zaragoza	439908,0											224578,0			664486,0
2005	22	Huesca	132250,0											109742,0			241992,0
2005	44	Teruel	102693,0											61618,0			164311,0
2005	50	Zaragoza	447545,0											230242,0			677787,0
2006	22	Huesca	136777,0	43578,0	6232,0	1180,0	36098,0	324,0	600,0	877,0	281,0	992,0	43,0	108887,0	18511,0	171,0	245664,0
2006	44	Teruel	102656,0	15934,0	1598,0	244,0	21013,0	285,0	196,0	374,0	274,0	604,0	37,0	62881,0	22225,0	97,0	165537,0
2006	50	Zaragoza	457524,0	116118,0	22203,0	797,0	59280,0	871,0	704,0	4738,0	352,0	913,0	122,0	236696,0	30112,0	486,0	694220,0
2007	22	Huesca	139825,0	44653,0	6330,0	1236,0	34840,0	326,0	604,0	896,0	289,0	974,0	42,0	109157,0	18788,0	179,0	248982,0
2007	44	Teruel	103017,0	16237,0	1625,0	248,0	21188,0	288,0	202,0	374,0	275,0	605,0	37,0	63492,0	22307,0	106,0	166509,0
2007	50	Zaragoza	463759,0	119835,0	22440,0	805,0	58678,0	861,0	752,0	5050,0	356,0	909,0	120,0	242824,0	32534,0	484,0	706583,0
2008	22	Huesca	144111,0	47552,0	6403,0	1220,0	34206,0	328,0	602,0	908,0	289,0	969,0	42,0	111705,0	19008,0	178,0	255816,0
2008	44	Teruel	104848,0	18020,0	1759,0	265,0	21593,0	293,0	217,0	385,0	279,0	605,0	34,0	66329,0	22767,0	112,0	171177,0
