Año	CCAA código	CCAA nombre	Estado de la información	Licencias, total	Licencias, nueva planta, total	Licencias, nueva planta, con demolición	Licencias, nueva planta, sin demolición	Licencias, rehabilitación, total	Licencias, rehabilitación, con demolición	Licencias, rehabilitación, sin demolición	Licencias, rehabilitación locales	Licencias, demolición
2019	02	Aragón	ESTIMACIÓN	3540,0	830,0	40,0	790,0	1931,0	431,0	1500,0	619,0	160,0
2015	02	Aragón	ESTIMACIÓN	2867,0	627,0	43,0	584,0	1265,0	529,0	736,0	821,0	154,0
2014	02	Aragón	ESTIMACIÓN	2674,0	611,0	39,0	572,0	1092,0	445,0	647,0	852,0	119,0
2013	02	Aragón	ESTIMACIÓN	2574,0	579,0	44,0	535,0	1027,0	418,0	609,0	849,0	119,0
2012	02	Aragón	ESTIMACIÓN	2886,0	659,0	37,0	622,0	1184,0	532,0	652,0	882,0	161,0
2011	02	Aragón	ESTIMACIÓN	3228,0	802,0	66,0	736,0	1500,0	685,0	815,0	800,0	126,0
2010	02	Aragón	ESTIMACIÓN	3213,0	926,0	54,0	872,0	1342,0	688,0	654,0	802,0	143,0
2009	02	Aragón	ESTIMACIÓN	3302,0	1110,0	78,0	1032,0	1317,0	596,0	721,0	756,0	119,0
2008	02	Aragón	ESTIMACIÓN	4355,0	1681,0	101,0	1580,0	1440,0	628,0	812,0	1024,0	210,0
2007	02	Aragón	ESTIMACIÓN	4814,0	2239,0	141,0	2098,0	1190,0	545,0	645,0	998,0	387,0
2006	02	Aragón	ESTIMACIÓN	4923,0	2441,0	173,0	2268,0	1198,0	561,0	637,0	827,0	457,0
2005	02	Aragón	ESTIMACIÓN	4681,0	2305,0	149,0	2156,0	1132,0	565,0	567,0	878,0	366,0
2004	02	Aragón	ESTIMACIÓN	4449,0	2204,0	154,0	2050,0	1107,0	533,0	574,0	832,0	306,0
2003	02	Aragón	ESTIMACIÓN	4059,0	2128,0	109,0	2019,0	943,0	492,0	451,0	744,0	244,0
2002	02	Aragón	ESTIMACIÓN	3921,0	1888,0	96,0	1792,0	957,0	515,0	442,0	862,0	214,0
2001	02	Aragón	ESTIMACIÓN	4093,0	2038,0	117,0	1921,0	878,0	480,0	398,0	980,0	197,0
2000	02	Aragón	ESTIMACIÓN	4071,0	2142,0	118,0	2024,0	919,0	586,0	333,0	825,0	185,0
