Año	Comarca código	Comarca nombre	Estado de la información	Licencias, total	Edificios nueva planta, total	Superficie nueva planta, total	Viviendas nueva planta
2019	01	La Jacetania	ESTIMACIÓN	44,0	9,0	7121,0	33,0
2019	02	Alto Gállego	ESTIMACIÓN	27,0	14,0	11055,0	11,0
2019	03	Sobrarbe	ESTIMACIÓN	53,0	47,0	16011,0	27,0
2019	04	La Ribagorza	ESTIMACIÓN	69,0	27,0	31187,0	80,0
2019	05	Cinco Villas	ESTIMACIÓN	51,0	31,0	32157,0	7,0
2019	06	Hoya de Huesca / Plana de Uesca	ESTIMACIÓN	108,0	89,0	95565,0	79,0
2019	07	Somontano de Barbastro	ESTIMACIÓN	48,0	30,0	20718,0	32,0
2019	08	Cinca Medio	ESTIMACIÓN	50,0	65,0	60252,0	12,0
2019	09	La Litera / La Llitera	ESTIMACIÓN	61,0	52,0	41409,0	14,0
2019	10	Los Monegros	ESTIMACIÓN	114,0	181,0	222176,0	7,0
2019	11	Bajo Cinca / Baix Cinca	ESTIMACIÓN	69,0	46,0	37193,0	29,0
2019	12	Tarazona y el Moncayo	ESTIMACIÓN	24,0	8,0	4634,0	3,0
2019	13	Campo de Borja	ESTIMACIÓN	29,0	26,0	20593,0	9,0
2019	14	Aranda	ESTIMACIÓN	4,0	2,0	2792,0	1,0
2019	15	Ribera Alta del Ebro	ESTIMACIÓN	41,0	24,0	38986,0	10,0
2019	16	Valdejalón	ESTIMACIÓN	62,0	34,0	22990,0	28,0
2019	17	D.C. Zaragoza	ESTIMACIÓN	2100,0	222,0	581393,0	2025,0
2019	18	Ribera Baja del Ebro	ESTIMACIÓN	21,0	13,0	87203,0	5,0
2019	19	Bajo Aragón-Caspe / Baix Aragó-Casp	ESTIMACIÓN	43,0	24,0	18185,0	2,0
2019	20	Comunidad de Calatayud	ESTIMACIÓN	33,0	16,0	6073,0	9,0
2019	21	Campo de Cariñena	ESTIMACIÓN	24,0	18,0	12295,0	2,0
2019	22	Campo de Belchite	ESTIMACIÓN	3,0	2,0	3680,0	0,0
2019	23	Bajo Martín	ESTIMACIÓN	25,0	11,0	7447,0	2,0
2019	24	Campo de Daroca	ESTIMACIÓN	8,0	3,0	3668,0	0,0
2019	25	Jiloca	ESTIMACIÓN	53,0	30,0	19091,0	9,0
2019	26	Cuencas Mineras	ESTIMACIÓN	18,0	6,0	1930,0	5,0
2019	27	Andorra-Sierra de Arcos	ESTIMACIÓN	17,0	12,0	3056,0	4,0
2019	28	Bajo Aragón	ESTIMACIÓN	85,0	54,0	21201,0	17,0
2019	29	Comunidad de Teruel	ESTIMACIÓN	93,0	43,0	93707,0	133,0
2019	30	Maestrazgo	ESTIMACIÓN	17,0	2,0	904,0	2,0
2019	31	Sierra de Albarracín	ESTIMACIÓN	17,0	7,0	1532,0	4,0
2019	32	Gúdar-Javalambre	ESTIMACIÓN	83,0	28,0	8553,0	26,0
2019	33	Matarraña / Matarranya	ESTIMACIÓN	46,0	26,0	15728,0	11,0
2015	01	La Jacetania	ESTIMACIÓN	45,0	16,0	8286,0	5,0
2015	02	Alto Gállego	ESTIMACIÓN	23,0	10,0	6446,0	6,0
2015	03	Sobrarbe	ESTIMACIÓN	29,0	13,0	9396,0	4,0
2015	04	La Ribagorza	ESTIMACIÓN	76,0	25,0	26324,0	5,0
2015	05	Cinco Villas	ESTIMACIÓN	52,0	19,0	11304,0	5,0
2015	06	Hoya de Huesca / Plana de Uesca	ESTIMACIÓN	76,0	67,0	43496,0	11,0
2015	07	Somontano de Barbastro	ESTIMACIÓN	54,0	49,0	45623,0	21,0
2015	08	Cinca Medio	ESTIMACIÓN	37,0	20,0	15785,0	4,0
2015	09	La Litera / La Llitera	ESTIMACIÓN	62,0	55,0	34943,0	7,0
2015	10	Los Monegros	ESTIMACIÓN	72,0	81,0	75991,0	7,0
2015	11	Bajo Cinca / Baix Cinca	ESTIMACIÓN	51,0	28,0	16188,0	2,0
2015	12	Tarazona y el Moncayo	ESTIMACIÓN	17,0	8,0	3314,0	2,0
2015	13	Campo de Borja	ESTIMACIÓN	23,0	14,0	12838,0	4,0
2015	14	Aranda	ESTIMACIÓN	6,0	2,0	200,0	1,0
2015	15	Ribera Alta del Ebro	ESTIMACIÓN	49,0	17,0	8614,0	10,0
2015	16	Valdejalón	ESTIMACIÓN	46,0	16,0	3666,0	8,0
2015	17	D.C. Zaragoza	ESTIMACIÓN	1648,0	167,0	376696,0	1021,0
2015	18	Ribera Baja del Ebro	ESTIMACIÓN	17,0	9,0	6260,0	3,0
2015	19	Bajo Aragón-Caspe / Baix Aragó-Casp	ESTIMACIÓN	45,0	23,0	7882,0	6,0
2015	20	Comunidad de Calatayud	ESTIMACIÓN	35,0	14,0	4734,0	6,0
2015	21	Campo de Cariñena	ESTIMACIÓN	11,0	3,0	670,0	3,0
2015	22	Campo de Belchite	ESTIMACIÓN	12,0	9,0	3067,0	4,0
2015	23	Bajo Martín	ESTIMACIÓN	23,0	10,0	2711,0	2,0
2015	24	Campo de Daroca	ESTIMACIÓN	5,0	7,0	3783,0	3,0
2015	25	Jiloca	ESTIMACIÓN	58,0	41,0	33828,0	7,0
2015	26	Cuencas Mineras	ESTIMACIÓN	15,0	8,0	2260,0	4,0
2015	27	Andorra-Sierra de Arcos	ESTIMACIÓN	20,0	11,0	3085,0	1,0
2015	28	Bajo Aragón	ESTIMACIÓN	94,0	37,0	17627,0	38,0
2015	29	Comunidad de Teruel	ESTIMACIÓN	43,0	30,0	18765,0	41,0
2015	30	Maestrazgo	ESTIMACIÓN	13,0	4,0	1078,0	1,0
2015	31	Sierra de Albarracín	ESTIMACIÓN	18,0	7,0	2342,0	6,0
2015	32	Gúdar-Javalambre	ESTIMACIÓN	47,0	19,0	4996,0	9,0
2015	33	Matarraña / Matarranya	ESTIMACIÓN	41,0	25,0	9653,0	6,0
2014	01	La Jacetania	ESTIMACIÓN	27,0	6,0	1368,0	4,0
2014	02	Alto Gállego	ESTIMACIÓN	15,0	10,0	10003,0	47,0
2014	03	Sobrarbe	ESTIMACIÓN	39,0	13,0	5481,0	6,0
2014	04	La Ribagorza	ESTIMACIÓN	69,0	37,0	15949,0	6,0
2014	05	Cinco Villas	ESTIMACIÓN	49,0	24,0	18590,0	9,0
2014	06	Hoya de Huesca / Plana de Uesca	ESTIMACIÓN	82,0	52,0	46724,0	60,0
2014	07	Somontano de Barbastro	ESTIMACIÓN	51,0	36,0	36021,0	7,0
2014	08	Cinca Medio	ESTIMACIÓN	39,0	38,0	22701,0	9,0
2014	09	La Litera / La Llitera	ESTIMACIÓN	29,0	17,0	20385,0	2,0
2014	10	Los Monegros	ESTIMACIÓN	86,0	80,0	62695,0	10,0
2014	11	Bajo Cinca / Baix Cinca	ESTIMACIÓN	36,0	26,0	22641,0	6,0
2014	12	Tarazona y el Moncayo	ESTIMACIÓN	18,0	7,0	2064,0	3,0
2014	13	Campo de Borja	ESTIMACIÓN	33,0	17,0	12074,0	5,0
2014	14	Aranda	ESTIMACIÓN	6,0	5,0	763,0	4,0
2014	15	Ribera Alta del Ebro	ESTIMACIÓN	35,0	12,0	2603,0	7,0
2014	16	Valdejalón	ESTIMACIÓN	55,0	20,0	6101,0	9,0
2014	17	D.C. Zaragoza	ESTIMACIÓN	1575,0	161,0	242242,0	723,0
2014	18	Ribera Baja del Ebro	ESTIMACIÓN	12,0	9,0	5230,0	3,0
2014	19	Bajo Aragón-Caspe / Baix Aragó-Casp	ESTIMACIÓN	46,0	33,0	10701,0	5,0
2014	20	Comunidad de Calatayud	ESTIMACIÓN	32,0	15,0	6761,0	5,0
2014	21	Campo de Cariñena	ESTIMACIÓN	6,0	3,0	1416,0	2,0
2014	22	Campo de Belchite	ESTIMACIÓN	13,0	6,0	23053,0	1,0
2014	23	Bajo Martín	ESTIMACIÓN	14,0	6,0	4625,0	1,0
2014	24	Campo de Daroca	ESTIMACIÓN	10,0	3,0	3400,0	0,0
2014	25	Jiloca	ESTIMACIÓN	50,0	36,0	21431,0	11,0
2014	26	Cuencas Mineras	ESTIMACIÓN	13,0	5,0	978,0	2,0
2014	27	Andorra-Sierra de Arcos	ESTIMACIÓN	22,0	6,0	2584,0	0,0
2014	28	Bajo Aragón	ESTIMACIÓN	57,0	27,0	8979,0	21,0
2014	29	Comunidad de Teruel	ESTIMACIÓN	41,0	26,0	21981,0	9,0
2014	30	Maestrazgo	ESTIMACIÓN	8,0	4,0	749,0	3,0
2014	31	Sierra de Albarracín	ESTIMACIÓN	16,0	4,0	470,0	2,0
2014	32	Gúdar-Javalambre	ESTIMACIÓN	45,0	15,0	3742,0	11,0
2014	33	Matarraña / Matarranya	ESTIMACIÓN	45,0	27,0	10172,0	14,0
2013	01	La Jacetania	ESTIMACIÓN	29,0	7,0	2625,0	2,0
2013	02	Alto Gállego	ESTIMACIÓN	17,0	6,0	4309,0	11,0
2013	03	Sobrarbe	ESTIMACIÓN	24,0	12,0	4818,0	7,0
2013	04	La Ribagorza	ESTIMACIÓN	69,0	43,0	18418,0	11,0
2013	05	Cinco Villas	ESTIMACIÓN	43,0	16,0	26267,0	5,0
2013	06	Hoya de Huesca / Plana de Uesca	ESTIMACIÓN	86,0	57,0	66788,0	9,0
2013	07	Somontano de Barbastro	ESTIMACIÓN	31,0	18,0	13081,0	4,0
2013	08	Cinca Medio	ESTIMACIÓN	36,0	36,0	22667,0	7,0
2013	09	La Litera / La Llitera	ESTIMACIÓN	36,0	21,0	9620,0	8,0
2013	10	Los Monegros	ESTIMACIÓN	71,0	67,0	48746,0	9,0
2013	11	Bajo Cinca / Baix Cinca	ESTIMACIÓN	53,0	38,0	19415,0	10,0
2013	12	Tarazona y el Moncayo	ESTIMACIÓN	14,0	6,0	2413,0	3,0
2013	13	Campo de Borja	ESTIMACIÓN	23,0	8,0	1546,0	4,0
2013	14	Aranda	ESTIMACIÓN	9,0	6,0	737,0	2,0
2013	15	Ribera Alta del Ebro	ESTIMACIÓN	32,0	16,0	5083,0	8,0
2013	16	Valdejalón	ESTIMACIÓN	52,0	20,0	11501,0	1,0
2013	17	D.C. Zaragoza	ESTIMACIÓN	1529,0	209,0	344829,0	1600,0
2013	18	Ribera Baja del Ebro	ESTIMACIÓN	21,0	7,0	2551,0	4,0
2013	19	Bajo Aragón-Caspe / Baix Aragó-Casp	ESTIMACIÓN	38,0	27,0	7247,0	3,0
2013	20	Comunidad de Calatayud	ESTIMACIÓN	24,0	18,0	6144,0	6,0
2013	21	Campo de Cariñena	ESTIMACIÓN	5,0	8,0	1823,0	7,0
2013	22	Campo de Belchite	ESTIMACIÓN	14,0	5,0	1483,0	3,0
2013	23	Bajo Martín	ESTIMACIÓN	11,0	1,0	30,0	0,0
2013	24	Campo de Daroca	ESTIMACIÓN	16,0	8,0	3515,0	4,0
2013	25	Jiloca	ESTIMACIÓN	47,0	20,0	6257,0	8,0
2013	26	Cuencas Mineras	ESTIMACIÓN	13,0	3,0	494,0	3,0
2013	27	Andorra-Sierra de Arcos	ESTIMACIÓN	24,0	11,0	1980,0	2,0
2013	28	Bajo Aragón	ESTIMACIÓN	69,0	44,0	11626,0	11,0
2013	29	Comunidad de Teruel	ESTIMACIÓN	58,0	27,0	11965,0	16,0
2013	30	Maestrazgo	ESTIMACIÓN	8,0	4,0	790,0	3,0
2013	31	Sierra de Albarracín	ESTIMACIÓN	12,0	3,0	752,0	1,0
2013	32	Gúdar-Javalambre	ESTIMACIÓN	37,0	17,0	4733,0	11,0
2013	33	Matarraña / Matarranya	ESTIMACIÓN	22,0	11,0	2752,0	3,0
2012	01	La Jacetania	ESTIMACIÓN	48,0	12,0	5708,0	9,0
2012	02	Alto Gállego	ESTIMACIÓN	24,0	7,0	3575,0	7,0
