Año	Provincia código	Provincia nombre	Estado de la información	Licencias, total	Licencias, nueva planta, total	Licencias, nueva planta, con demolición	Licencias, nueva planta, sin demolición	Licencias, rehabilitación, total	Licencias, rehabilitación, con demolición	Licencias, rehabilitación, sin demolición	Licencias, rehabilitación locales	Licencias, demolición
2019	22	Huesca	ESTIMACIÓN	599,0	308,0	8,0	300,0	246,0	112,0	134,0	17,0	28,0
2019	44	Teruel	ESTIMACIÓN	452,0	190,0	9,0	181,0	218,0	72,0	146,0	7,0	37,0
2019	50	Zaragoza	ESTIMACIÓN	2489,0	332,0	23,0	309,0	1467,0	247,0	1220,0	595,0	95,0
2015	22	Huesca	ESTIMACIÓN	499,0	240,0	8,0	232,0	225,0	145,0	80,0	10,0	24,0
2015	44	Teruel	ESTIMACIÓN	374,0	158,0	10,0	148,0	168,0	114,0	54,0	8,0	40,0
2015	50	Zaragoza	ESTIMACIÓN	1994,0	229,0	25,0	204,0	872,0	270,0	602,0	803,0	90,0
2014	22	Huesca	ESTIMACIÓN	435,0	211,0	9,0	202,0	193,0	127,0	66,0	7,0	24,0
2014	44	Teruel	ESTIMACIÓN	311,0	138,0	12,0	126,0	138,0	85,0	53,0	7,0	28,0
2014	50	Zaragoza	ESTIMACIÓN	1928,0	262,0	18,0	244,0	761,0	233,0	528,0	838,0	67,0
2013	22	Huesca	ESTIMACIÓN	433,0	216,0	11,0	205,0	196,0	140,0	56,0	11,0	10,0
2013	44	Teruel	ESTIMACIÓN	301,0	134,0	8,0	126,0	127,0	90,0	37,0	10,0	30,0
2013	50	Zaragoza	ESTIMACIÓN	1840,0	229,0	25,0	204,0	704,0	188,0	516,0	828,0	79,0
2012	22	Huesca	ESTIMACIÓN	502,0	201,0	5,0	196,0	250,0	154,0	96,0	18,0	33,0
2012	44	Teruel	ESTIMACIÓN	362,0	167,0	10,0	157,0	153,0	113,0	40,0	9,0	33,0
2012	50	Zaragoza	ESTIMACIÓN	2022,0	291,0	22,0	269,0	781,0	265,0	516,0	855,0	95,0
2011	22	Huesca	ESTIMACIÓN	591,0	235,0	22,0	213,0	290,0	179,0	111,0	31,0	35,0
2011	44	Teruel	ESTIMACIÓN	449,0	205,0	19,0	186,0	217,0	163,0	54,0	5,0	22,0
2011	50	Zaragoza	ESTIMACIÓN	2188,0	362,0	25,0	337,0	993,0	343,0	650,0	764,0	69,0
2010	22	Huesca	ESTIMACIÓN	605,0	244,0	13,0	231,0	309,0	203,0	106,0	27,0	25,0
2010	44	Teruel	ESTIMACIÓN	494,0	224,0	15,0	209,0	218,0	171,0	47,0	12,0	40,0
2010	50	Zaragoza	ESTIMACIÓN	2114,0	458,0	26,0	432,0	815,0	314,0	501,0	763,0	78,0
2009	22	Huesca	ESTIMACIÓN	619,0	279,0	23,0	256,0	295,0	212,0	83,0	31,0	14,0
2009	44	Teruel	ESTIMACIÓN	592,0	316,0	21,0	295,0	230,0	167,0	63,0	16,0	30,0
2009	50	Zaragoza	ESTIMACIÓN	2091,0	515,0	34,0	481,0	792,0	217,0	575,0	709,0	75,0
2008	22	Huesca	ESTIMACIÓN	806,0	408,0	20,0	388,0	330,0	207,0	123,0	39,0	29,0
2008	44	Teruel	ESTIMACIÓN	641,0	384,0	24,0	360,0	193,0	139,0	54,0	15,0	49,0
2008	50	Zaragoza	ESTIMACIÓN	2908,0	889,0	57,0	832,0	917,0	282,0	635,0	970,0	132,0
2007	22	Huesca	ESTIMACIÓN	1079,0	607,0	42,0	565,0	353,0	220,0	133,0	56,0	63,0
2007	44	Teruel	ESTIMACIÓN	716,0	459,0	13,0	446,0	200,0	134,0	66,0	13,0	44,0
2007	50	Zaragoza	ESTIMACIÓN	3019,0	1173,0	86,0	1087,0	637,0	191,0	446,0	929,0	280,0
2006	22	Huesca	ESTIMACIÓN	1117,0	650,0	42,0	608,0	369,0	230,0	139,0	53,0	45,0
2006	44	Teruel	ESTIMACIÓN	651,0	421,0	19,0	402,0	182,0	118,0	64,0	7,0	41,0
2006	50	Zaragoza	ESTIMACIÓN	3155,0	1370,0	112,0	1258,0	647,0	213,0	434,0	767,0	371,0
