Año	CCAA código	CCAA nombre	Edificios nueva planta, total	Edificios nueva planta, residencial	Edificios nueva planta, no residencial	Superficie nueva planta, total	Superficie nueva planta, residencial	Superficie nueva planta, no residencial	Viviendas nueva planta	Edificios rehabilitación	Viviendas rehabilitación	Edificios demolición	Viviendas demolición	Estado de la información
2019	02	Aragón	1202,0	436,0	766,0	1550507,0	547339,0	1003168,0	2638,0	1952,0	127,0	252,0	262,0	ESTIMACIÓN
2015	02	Aragón	864,0	289,0	575,0	821852,0	260922,0	560930,0	1263,0	1293,0	136,0	237,0	224,0	ESTIMACIÓN
2014	02	Aragón	786,0	278,0	508,0	654673,0	203288,0	451385,0	1007,0	1137,0	142,0	194,0	209,0	ESTIMACIÓN
2013	02	Aragón	801,0	340,0	461,0	667006,0	340630,0	326376,0	1786,0	1089,0	95,0	204,0	173,0	ESTIMACIÓN
2012	02	Aragón	892,0	465,0	427,0	616625,0	269985,0	346640,0	1300,0	1324,0	166,0	270,0	274,0	ESTIMACIÓN
2011	02	Aragón	1117,0	688,0	429,0	920067,0	490306,0	429761,0	2625,0	1588,0	319,0	233,0	274,0	ESTIMACIÓN
2010	02	Aragón	1138,0	713,0	425,0	1048326,0	567765,0	480561,0	3073,0	1365,0	257,0	282,0	210,0	ESTIMACIÓN
2009	02	Aragón	1537,0	960,0	577,0	1587842,0	969359,0	618483,0	5222,0	1348,0	376,0	266,0	249,0	ESTIMACIÓN
2008	02	Aragón	3219,0	2110,0	1109,0	2930307,0	1493448,0	1436859,0	8570,0	1509,0	442,0	476,0	562,0	ESTIMACIÓN
2007	02	Aragón	6575,0	4639,0	1936,0	4707477,0	3188196,0	1519281,0	18424,0	1311,0	541,0	817,0	858,0	ESTIMACIÓN
2006	02	Aragón	6141,0	4774,0	1367,0	4753041,0	3395125,0	1357916,0	20441,0	1212,0	634,0	964,0	937,0	ESTIMACIÓN
2005	02	Aragón	5043,0	3825,0	1218,0	3866641,0	2423362,0	1443279,0	14443,0	1141,0	598,0	767,0	870,0	ESTIMACIÓN
2004	02	Aragón	4997,0	3794,0	1203,0	3198092,0	2262850,0	935242,0	13183,0	1140,0	390,0	715,0	781,0	ESTIMACIÓN
2003	02	Aragón	4363,0	3384,0	979,0	2991560,0	2043489,0	948071,0	11314,0	944,0	483,0	504,0	751,0	ESTIMACIÓN
2002	02	Aragón	4307,0	3608,0	699,0	3094119,0	2229687,0	864432,0	12828,0	946,0	350,0	431,0	620,0	ESTIMACIÓN
2001	02	Aragón	4018,0	3015,0	1003,0	2770494,0	1903837,0	866657,0	11392,0	858,0	379,0	437,0	642,0	ESTIMACIÓN
2000	02	Aragón	3940,0	3051,0	889,0	2645503,0	1970647,0	674856,0	10741,0	990,0	474,0	468,0	697,0	ESTIMACIÓN
