Año	Municipio código	Municipio nombre	Edificios nueva planta, total	Edificios nueva planta, residencial	Edificios nueva planta, no residencial	Superficie nueva planta, total	Superficie nueva planta, residencial	Superficie nueva planta, no residencial	Viviendas nueva planta	Edificios rehabilitación	Viviendas rehabilitación	Edificios demolición	Viviendas demolición	Estado de la información
2019	22001	Abiego	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	1,0	COMPLETA
2019	22002	Abizanda	3,0	0,0	3,0	1193,0	0,0	1193,0	0,0	0,0	0,0	0,0	0,0	COMPLETA
2019	22003	Adahuesca	3,0	2,0	1,0	3697,0	558,0	3139,0	2,0	3,0	0,0	0,0	0,0	COMPLETA
2019	22004	Agüero	0,0	0,0	0,0	0,0	0,0	0,0	0,0	4,0	0,0	0,0	0,0	COMPLETA
2019	22006	Aísa	0,0	0,0	0,0	0,0	0,0	0,0	0,0	6,0	1,0	1,0	0,0	COMPLETA
2019	22007	Albalate de Cinca	4,0	0,0	4,0	1770,0	0,0	1770,0	0,0	2,0	0,0	0,0	0,0	COMPLETA
2019	22008	Albalatillo												SIN INFORMACIÓN
2019	22009	Albelda	11,0	0,0	11,0	12312,0	0,0	12312,0	0,0	0,0	0,0	0,0	0,0	COMPLETA
2019	22011	Albero Alto												SIN INFORMACIÓN
2019	22012	Albero Bajo	1,0	0,0	1,0	395,0	0,0	395,0	0,0	0,0	0,0	0,0	0,0	COMPLETA
2019	22013	Alberuela de Tubo												SIN INFORMACIÓN
2019	22014	Alcalá de Gurrea	2,0	0,0	2,0	3300,0	0,0	3300,0	0,0	2,0	0,0	0,0	0,0	COMPLETA
2019	22015	Alcalá del Obispo												SIN INFORMACIÓN
2019	22016	Alcampell	1,0	1,0	0,0	143,0	143,0	0,0	1,0	0,0	0,0	0,0	0,0	COMPLETA
2019	22017	Alcolea de Cinca	13,0	0,0	13,0	14081,0	0,0	14081,0	0,0	0,0	0,0	1,0	1,0	COMPLETA
2019	22018	Alcubierre	4,0	0,0	4,0	4272,0	0,0	4272,0	0,0	0,0	0,0	0,0	0,0	COMPLETA
2019	22019	Alerre	1,0	0,0	1,0	1882,0	0,0	1882,0	0,0	0,0	0,0	0,0	0,0	COMPLETA
2019	22020	Alfántega												SIN INFORMACIÓN
2019	22021	Almudévar	22,0	0,0	22,0	19117,0	0,0	19117,0	0,0	4,0	0,0	1,0	1,0	COMPLETA
2019	22022	Almunia de San Juan	9,0	2,0	7,0	14864,0	436,0	14428,0	2,0					INCOMPLETA
2019	22023	Almuniente	1,0	0,0	1,0	1446,0	0,0	1446,0	0,0	0,0	0,0	0,0	0,0	COMPLETA
2019	22024	Alquézar	1,0	1,0	0,0	307,0	307,0	0,0	4,0	2,0	0,0	1,0	0,0	COMPLETA
2019	22025	Altorricón	5,0	1,0	4,0	4683,0	126,0	4557,0	1,0	1,0	0,0	0,0	0,0	COMPLETA
2019	22027	Angüés	9,0	0,0	9,0	5993,0	0,0	5993,0	0,0	0,0	0,0	0,0	0,0	COMPLETA
2019	22028	Ansó	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	0,0	0,0	0,0	COMPLETA
2019	22029	Antillón	1,0	0,0	1,0	3616,0	0,0	3616,0	0,0	1,0	0,0	0,0	0,0	COMPLETA
2019	22032	Aragüés del Puerto												SIN INFORMACIÓN
2019	22035	Arén	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	2,0	0,0	0,0	COMPLETA
2019	22036	Argavieso												SIN INFORMACIÓN
2019	22037	Arguis	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	COMPLETA
2019	22039	Ayerbe	3,0	2,0	1,0	623,0	575,0	48,0	4,0	6,0	8,0	6,0	4,0	COMPLETA
2019	22040	Azanuy-Alins	0,0	0,0	0,0	0,0	0,0	0,0	0,0	3,0	0,0	0,0	0,0	COMPLETA
2019	22041	Azara	1,0	0,0	1,0	833,0	0,0	833,0	0,0	0,0	0,0	0,0	0,0	COMPLETA
2019	22042	Azlor												SIN INFORMACIÓN
2019	22043	Baells												SIN INFORMACIÓN
2019	22044	Bailo												SIN INFORMACIÓN
2019	22045	Baldellou												SIN INFORMACIÓN
2019	22046	Ballobar	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	0,0	0,0	0,0	COMPLETA
2019	22047	Banastás												SIN INFORMACIÓN
2019	22048	Barbastro	14,0	10,0	4,0	8978,0	4623,0	4355,0	25,0	3,0	1,0	0,0	0,0	COMPLETA
2019	22049	Barbués	4,0	0,0	4,0	4060,0	0,0	4060,0	0,0	0,0	0,0	0,0	0,0	COMPLETA
2019	22050	Barbuñales												SIN INFORMACIÓN
2019	22051	Bárcabo	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	1,0	0,0	0,0	COMPLETA
2019	22052	Belver de Cinca	6,0	1,0	5,0	8679,0	205,0	8474,0	1,0	1,0	0,0	2,0	1,0	COMPLETA
2019	22053	Benabarre	1,0	1,0	0,0	216,0	216,0	0,0	1,0	2,0	0,0	0,0	0,0	COMPLETA
2019	22054	Benasque	5,0	5,0	0,0	11404,0	11404,0	0,0	71,0	6,0	1,0	1,0	1,0	COMPLETA
2019	22055	Berbegal												SIN INFORMACIÓN
2019	22057	Bielsa	12,0	9,0	3,0	1531,0	1385,0	146,0	9,0	3,0	3,0	0,0	0,0	COMPLETA
2019	22058	Bierge	1,0	1,0	0,0	392,0	392,0	0,0	0,0	1,0	0,0	0,0	0,0	COMPLETA
2019	22059	Biescas	1,0	1,0		162,0	162,0			4,0	1,0	1,0		INCOMPLETA
2019	22060	Binaced	12,0	2,0	10,0	9035,0	432,0	8603,0	2,0	5,0		1,0	1,0	INCOMPLETA
2019	22061	Binéfar	11,0	2,0	9,0	10693,0	1978,0	8715,0	10,0	11,0	3,0	6,0	7,0	COMPLETA
2019	22062	Bisaurri												SIN INFORMACIÓN
2019	22063	Biscarrués	3,0	0,0	3,0	2264,0	0,0	2264,0	0,0	2,0	0,0	0,0	0,0	COMPLETA
2019	22064	Blecua y Torres	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	COMPLETA
2019	22066	Boltaña	8,0	4,0	4,0	1132,0	792,0	340,0	4,0	0,0	0,0	0,0	0,0	COMPLETA
2019	22067	Bonansa	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	1,0	0,0	0,0	COMPLETA
2019	22068	Borau												SIN INFORMACIÓN
2019	22069	Broto												SIN INFORMACIÓN
2019	22072	Caldearenas	1,0	1,0	0,0	281,0	281,0	0,0	1,0	0,0	0,0	0,0	0,0	COMPLETA
2019	22074	Campo	1,0	1,0		445,0	445,0		1,0					INCOMPLETA
2019	22075	Camporrells	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	COMPLETA
2019	22076	Canal de Berdún	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	COMPLETA
2019	22077	Candasnos												SIN INFORMACIÓN
2019	22078	Canfranc												SIN INFORMACIÓN
2019	22079	Capdesaso												SIN INFORMACIÓN
2019	22080	Capella	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	COMPLETA
2019	22081	Casbas de Huesca	1,0	0,0	1,0	984,0	0,0	984,0	0,0	0,0	0,0	0,0	0,0	COMPLETA
2019	22082	Castejón del Puente	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	0,0	0,0	0,0	COMPLETA
2019	22083	Castejón de Monegros	4,0	0,0	4,0	4420,0	0,0	4420,0	0,0	2,0	0,0	0,0	0,0	COMPLETA
2019	22084	Castejón de Sos	2,0	2,0	0,0	383,0	383,0	0,0	2,0	2,0	0,0	0,0	0,0	COMPLETA
2019	22085	Castelflorite												SIN INFORMACIÓN
2019	22086	Castiello de Jaca	1,0	1,0	0,0	320,0	320,0	0,0	1,0	1,0	0,0	0,0	0,0	COMPLETA
2019	22087	Castigaleu	3,0	0,0	3,0	14816,0	0,0	14816,0	0,0	0,0	0,0	0,0	0,0	COMPLETA
2019	22088	Castillazuelo												SIN INFORMACIÓN
2019	22089	Castillonroy	1,0	1,0	0,0	254,0	254,0	0,0	1,0	0,0	0,0	0,0	0,0	COMPLETA
2019	22090	Colungo	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	0,0	0,0	0,0	COMPLETA
2019	22094	Chalamera												SIN INFORMACIÓN
2019	22095	Chía	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	1,0	0,0	0,0	COMPLETA
2019	22096	Chimillas												SIN INFORMACIÓN
2019	22099	Esplús	5,0	1,0	4,0	2923,0	314,0	2609,0	1,0	3,0	1,0	1,0	1,0	COMPLETA
2019	22102	Estada												SIN INFORMACIÓN
2019	22103	Estadilla	1,0	0,0	1,0	56,0	0,0	56,0	0,0	1,0	0,0	1,0	1,0	COMPLETA
2019	22105	Estopiñán del Castillo	3,0	0,0	3,0	821,0	0,0	821,0	0,0	0,0	0,0	0,0	0,0	COMPLETA
2019	22106	Fago												SIN INFORMACIÓN
2019	22107	Fanlo	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	COMPLETA
2019	22109	Fiscal	2,0	2,0	0,0	249,0	249,0	0,0	2,0	3,0	0,0	0,0	0,0	COMPLETA
2019	22110	Fonz	6,0	0,0	6,0	1734,0	0,0	1734,0	0,0	1,0	0,0	0,0	0,0	COMPLETA
2019	22111	Foradada del Toscar	1,0	1,0	0,0	282,0	282,0	0,0	1,0	0,0	0,0	0,0	0,0	COMPLETA
2019	22112	Fraga	16,0	6,0	10,0	12280,0	4557,0	7723,0	25,0	15,0	2,0	2,0	0,0	COMPLETA
2019	22113	Fueva (La)	9,0	0,0	9,0	8102,0	0,0	8102,0	0,0	2,0	1,0	2,0	2,0	COMPLETA
2019	22114	Gistaín												SIN INFORMACIÓN
2019	22115	Grado (El)	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	0,0	0,0	0,0	COMPLETA
2019	22116	Grañén	12,0	0,0	12,0	18789,0	0,0	18789,0	0,0	3,0	0,0	0,0	0,0	COMPLETA
2019	22117	Graus	6,0	3,0	3,0	657,0	416,0	241,0	3,0	13,0	8,0	1,0	0,0	COMPLETA
2019	22119	Gurrea de Gállego	1,0	0,0	1,0	1077,0	0,0	1077,0	0,0	1,0	0,0	0,0	0,0	COMPLETA
2019	22122	Hoz de Jaca	1,0	1,0	0,0	160,0	160,0	0,0	1,0	0,0	0,0	0,0	0,0	COMPLETA
2019	22124	Huerto	4,0	0,0	4,0	4319,0	0,0	4319,0	0,0	0,0	0,0	0,0	0,0	COMPLETA
2019	22125	Huesca	7,0	6,0	1,0	17768,0	16902,0	866,0	69,0	5,0	0,0	4,0	12,0	COMPLETA
2019	22126	Ibieca	1,0	0,0	1,0	630,0	0,0	630,0	0,0	0,0	0,0	0,0	0,0	COMPLETA
2019	22127	Igriés												SIN INFORMACIÓN
2019	22128	Ilche												SIN INFORMACIÓN
2019	22129	Isábena	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	COMPLETA
2019	22130	Jaca	2,0	1,0	1,0	2481,0	1426,0	1055,0	8,0	13,0	2,0	1,0		INCOMPLETA
2019	22131	Jasa												SIN INFORMACIÓN
2019	22133	Labuerda	2,0	2,0	0,0	312,0	312,0	0,0	2,0	2,0	0,0	0,0	0,0	COMPLETA
2019	22135	Laluenga	2,0	0,0	2,0	1688,0	0,0	1688,0	0,0	0,0	0,0	0,0	0,0	COMPLETA
2019	22136	Lalueza	10,0	0,0	10,0	6785,0	0,0	6785,0	0,0	0,0	0,0	0,0	0,0	COMPLETA
2019	22137	Lanaja	18,0	0,0	18,0	37765,0	0,0	37765,0	0,0	2,0	0,0	0,0	0,0	COMPLETA
2019	22139	Laperdiguera												SIN INFORMACIÓN
2019	22141	Lascellas-Ponzano	1,0	0,0	1,0	1774,0	0,0	1774,0	0,0	1,0	0,0	0,0	0,0	COMPLETA
2019	22142	Lascuarre	0,0	0,0	0,0	0,0	0,0	0,0	0,0	3,0	1,0	0,0	0,0	COMPLETA
2019	22143	Laspaúles												SIN INFORMACIÓN
2019	22144	Laspuña	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	1,0	0,0	0,0	COMPLETA
2019	22149	Loarre												SIN INFORMACIÓN
2019	22150	Loporzano	2,0	1,0	1,0	314,0	116,0	198,0	1,0	2,0	0,0	0,0	0,0	COMPLETA
2019	22151	Loscorrales												SIN INFORMACIÓN
2019	22155	Monesma y Cajigar	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	0,0	0,0	0,0	COMPLETA
2019	22156	Monflorite-Lascasas	1,0	0,0	1,0	552,0	0,0	552,0	0,0	0,0	0,0	1,0	1,0	COMPLETA
2019	22157	Montanuy	1,0	0,0	1,0	1360,0	0,0	1360,0	0,0	1,0	0,0	0,0	0,0	COMPLETA
2019	22158	Monzón	8,0	3,0	5,0	7692,0	879,0	6813,0	6,0	2,0	0,0	5,0	13,0	COMPLETA
2019	22160	Naval	3,0	0,0	3,0	1775,0	0,0	1775,0	0,0	1,0	0,0	0,0	0,0	COMPLETA
2019	22162	Novales												SIN INFORMACIÓN
2019	22163	Nueno	1,0	1,0	0,0	348,0	348,0	0,0	0,0	2,0	0,0	0,0	0,0	COMPLETA
2019	22164	Olvena												SIN INFORMACIÓN
2019	22165	Ontiñena	12,0	8,0	4,0	4571,0	490,0	4081,0	0,0	0,0	0,0	0,0	0,0	COMPLETA
2019	22167	Osso de Cinca	7,0	1,0	6,0	7107,0	359,0	6748,0	1,0	0,0	0,0	1,0	1,0	COMPLETA
2019	22168	Palo												SIN INFORMACIÓN
2019	22170	Panticosa	3,0	3,0	0,0	978,0	978,0	0,0	6,0	0,0	0,0	0,0	0,0	COMPLETA
2019	22172	Peñalba	11,0	0,0	11,0	12012,0	0,0	12012,0	0,0	3,0	0,0	0,0	0,0	COMPLETA
2019	22173	Peñas de Riglos (Las)	0,0	0,0	0,0	0,0	0,0	0,0	0,0	5,0	0,0	0,0	0,0	COMPLETA
2019	22174	Peralta de Alcofea	1,0	0,0	1,0	60,0	0,0	60,0	0,0	1,0	0,0	1,0	0,0	COMPLETA
2019	22175	Peralta de Calasanz	2,0	0,0	2,0	1764,0	0,0	1764,0	0,0	2,0	0,0	0,0	0,0	COMPLETA
2019	22176	Peraltilla	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	0,0	0,0	0,0	COMPLETA
2019	22177	Perarrúa												SIN INFORMACIÓN
2019	22178	Pertusa												SIN INFORMACIÓN
2019	22181	Piracés												SIN INFORMACIÓN
2019	22182	Plan												SIN INFORMACIÓN
2019	22184	Poleñino												SIN INFORMACIÓN
2019	22186	Pozán de Vero												SIN INFORMACIÓN
2019	22187	Puebla de Castro (La)	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	COMPLETA
2019	22188	Puente de Montañana	1,0		1,0	105,0		105,0		3,0				INCOMPLETA
2019	22189	Puértolas	1,0	1,0	0,0	324,0	324,0	0,0	4,0	1,0	1,0	0,0	0,0	COMPLETA
2019	22190	Pueyo de Araguás (El)	1,0	1,0	0,0	126,0	126,0	0,0	1,0	2,0	2,0	0,0	0,0	COMPLETA
2019	22193	Pueyo de Santa Cruz	6,0	1,0	5,0	4241,0	102,0	4139,0	1,0	1,0	0,0	0,0	0,0	COMPLETA
2019	22195	Quicena	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	4,0	0,0	COMPLETA
2019	22197	Robres												SIN INFORMACIÓN
2019	22199	Sabiñánigo	4,0	1,0	3,0	8296,0	141,0	8155,0	1,0	4,0	2,0	0,0	0,0	COMPLETA
2019	22200	Sahún	0,0	0,0	0,0	0,0	0,0	0,0	0,0	3,0	6,0	0,0	0,0	COMPLETA
2019	22201	Salas Altas												SIN INFORMACIÓN
2019	22202	Salas Bajas												SIN INFORMACIÓN
2019	22203	Salillas												SIN INFORMACIÓN
2019	22204	Sallent de Gállego	3,0	3,0	0,0	875,0	875,0	0,0	2,0	3,0	0,0	0,0	0,0	COMPLETA
2019	22205	San Esteban de Litera	6,0	0,0	6,0	3180,0	0,0	3180,0	0,0	1,0	0,0	0,0	0,0	COMPLETA
2019	22206	Sangarrén	12,0	0,0	12,0	10083,0	0,0	10083,0	0,0	1,0	0,0	0,0	0,0	COMPLETA
2019	22207	San Juan de Plan	1,0	0,0	1,0	125,0	0,0	125,0	0,0	0,0	0,0	0,0	0,0	COMPLETA
2019	22208	Santa Cilia												SIN INFORMACIÓN
2019	22209	Santa Cruz de la Serós												SIN INFORMACIÓN
2019	22212	Santaliestra y San Quílez												SIN INFORMACIÓN
2019	22213	Sariñena	48,0	2,0	46,0	65262,0	451,0	64811,0	2,0	2,0	1,0	1,0	1,0	INCOMPLETA
2019	22214	Secastilla	1,0	0,0	1,0	71,0	0,0	71,0	0,0	0,0	0,0	0,0	0,0	COMPLETA
2019	22215	Seira	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	COMPLETA
2019	22217	Sena	4,0	0,0	4,0	5600,0	0,0	5600,0	0,0	0,0	0,0	0,0	0,0	COMPLETA
2019	22218	Senés de Alcubierre	3,0		3,0	2446,0		2446,0						INCOMPLETA
2019	22220	Sesa	10,0	0,0	10,0	14353,0	0,0	14353,0	0,0	0,0	0,0	0,0	0,0	COMPLETA
2019	22221	Sesué	1,0	1,0	0,0	199,0	199,0	0,0	1,0	0,0	0,0	0,0	0,0	COMPLETA
2019	22222	Siétamo	2,0	1,0	1,0	177,0	147,0	30,0	1,0	0,0	0,0	1,0	1,0	COMPLETA
2019	22223	Sopeira												SIN INFORMACIÓN
2019	22225	Tamarite de Litera	4,0	0,0	4,0	2719,0	0,0	2719,0	0,0	1,0	1,0	2,0	0,0	COMPLETA
2019	22226	Tardienta	4,0	0,0	4,0	5857,0	0,0	5857,0	0,0	1,0	0,0	1,0	1,0	COMPLETA
2019	22227	Tella-Sin												SIN INFORMACIÓN
2019	22228	Tierz	3,0	3,0	0,0	553,0	553,0	0,0	3,0	1,0	0,0	0,0	0,0	COMPLETA
2019	22229	Tolva												SIN INFORMACIÓN
2019	22230	Torla-Ordesa	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	1,0	0,0	0,0	COMPLETA
2019	22232	Torralba de Aragón	4,0		4,0	3646,0		3646,0						INCOMPLETA
2019	22233	Torre la Ribera	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	0,0	0,0	0,0	COMPLETA
2019	22234	Torrente de Cinca								2,0				INCOMPLETA
2019	22235	Torres de Alcanadre												SIN INFORMACIÓN
2019	22236	Torres de Barbués	1,0	0,0	1,0	144,0	0,0	144,0	0,0	1,0	0,0	0,0	0,0	COMPLETA
2019	22239	Tramaced												SIN INFORMACIÓN
2019	22242	Valfarta												SIN INFORMACIÓN
2019	22243	Valle de Bardají												SIN INFORMACIÓN
2019	22244	Valle de Lierp												SIN INFORMACIÓN
2019	22245	Velilla de Cinca												SIN INFORMACIÓN
2019	22246	Beranuy												SIN INFORMACIÓN
2019	22247	Viacamp y Litera												SIN INFORMACIÓN
2019	22248	Vicién	1,0	0,0	1,0	46,0	0,0	46,0	0,0	1,0	0,0	0,0	0,0	COMPLETA
2019	22249	Villanova												SIN INFORMACIÓN
2019	22250	Villanúa	2,0	2,0	0,0	1215,0	1215,0	0,0	18,0	1,0	0,0	0,0	0,0	COMPLETA
2019	22251	Villanueva de Sigena	7,0	0,0	7,0	7705,0	0,0	7705,0	0,0	2,0	0,0	0,0	0,0	COMPLETA
2019	22252	Yebra de Basa	1,0	0,0	1,0	47,0	0,0	47,0	0,0	1,0	1,0	0,0	0,0	COMPLETA
2019	22253	Yésero	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	COMPLETA
2019	22254	Zaidín	2,0	0,0	2,0	1617,0	0,0	1617,0	0,0	5,0	0,0	0,0	0,0	COMPLETA
2019	22901	Valle de Hecho	1,0	1,0	0,0	147,0	147,0	0,0	1,0	3,0	1,0	0,0	0,0	COMPLETA
2019	22902	Puente la Reina de Jaca												SIN INFORMACIÓN
2019	22903	San Miguel del Cinca	7,0	1,0	6,0	6404,0	245,0	6159,0	1,0	0,0	0,0	4,0	1,0	COMPLETA
2019	22904	Sotonera (La)	6,0	0,0	6,0	5292,0	0,0	5292,0	0,0	2,0	0,0	0,0	0,0	COMPLETA
2019	22905	Lupiñén-Ortilla	11,0	0,0	11,0	15744,0	0,0	15744,0	0,0	0,0	0,0	0,0	0,0	COMPLETA
2019	22906	Santa María de Dulcis	1,0	1,0	0,0	423,0	423,0	0,0	0,0	1,0	0,0	0,0	0,0	COMPLETA
2019	22907	Aínsa-Sobrarbe	7,0	5,0	2,0	2538,0	1732,0	806,0	5,0	3,0	0,0	0,0	0,0	COMPLETA
2019	22908	Hoz y Costeán												SIN INFORMACIÓN
2019	22909	Vencillón	6,0	0,0	6,0	2681,0	0,0	2681,0	0,0	1,0	0,0	0,0	0,0	COMPLETA
2019	44001	Ababuj												SIN INFORMACIÓN
2019	44002	Abejuela												SIN INFORMACIÓN
2019	44003	Aguatón	1,0	0,0	1,0	64,0	0,0	64,0	0,0	0,0	0,0	0,0	0,0	COMPLETA
2019	44004	Aguaviva	1,0	1,0	0,0	321,0	321,0	0,0	1,0	1,0	0,0	1,0	0,0	COMPLETA
2019	44005	Aguilar del Alfambra												SIN INFORMACIÓN
2019	44006	Alacón	2,0	0,0	2,0	1353,0	0,0	1353,0	0,0	0,0	0,0	0,0	0,0	COMPLETA
2019	44007	Alba	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	COMPLETA
2019	44008	Albalate del Arzobispo	0,0	0,0	0,0	0,0	0,0	0,0	0,0	4,0	0,0	0,0	0,0	COMPLETA
2019	44009	Albarracín												SIN INFORMACIÓN
2019	44010	Albentosa	1,0	0,0	1,0	216,0	0,0	216,0	0,0	2,0	0,0	0,0	0,0	COMPLETA
2019	44011	Alcaine												SIN INFORMACIÓN
2019	44012	Alcalá de la Selva												SIN INFORMACIÓN
2019	44013	Alcañiz	22,0	2,0	20,0	9208,0	426,0	8782,0	2,0	17,0	1,0	2,0	1,0	COMPLETA
2019	44014	Alcorisa	11,0	6,0	5,0	4048,0	1868,0	2180,0	6,0	6,0	1,0	0,0	0,0	COMPLETA
2019	44016	Alfambra	1,0	0,0	1,0	88,0	0,0	88,0	0,0	0,0	0,0	1,0	1,0	COMPLETA
2019	44017	Aliaga	2,0	2,0	0,0	568,0	568,0	0,0	2,0	0,0	0,0	0,0	0,0	COMPLETA
2019	44018	Almohaja												SIN INFORMACIÓN
2019	44019	Alobras												SIN INFORMACIÓN
2019	44020	Alpeñés												SIN INFORMACIÓN
2019	44021	Allepuz												SIN INFORMACIÓN
2019	44022	Alloza												SIN INFORMACIÓN
2019	44023	Allueva												SIN INFORMACIÓN
2019	44024	Anadón												SIN INFORMACIÓN
2019	44025	Andorra	9,0	4,0	5,0	1347,0	854,0	493,0	4,0	5,0	0,0	2,0	1,0	COMPLETA
2019	44026	Arcos de las Salinas	1,0	0,0	1,0	560,0	0,0	560,0	0,0	1,0	0,0	0,0	0,0	COMPLETA
2019	44027	Arens de Lledó												SIN INFORMACIÓN
2019	44028	Argente												SIN INFORMACIÓN
2019	44029	Ariño												SIN INFORMACIÓN
2019	44031	Azaila												SIN INFORMACIÓN
2019	44032	Bádenas												SIN INFORMACIÓN
2019	44033	Báguena								1,0		1,0		INCOMPLETA
2019	44034	Bañón												SIN INFORMACIÓN
2019	44035	Barrachina	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	1,0	COMPLETA
2019	44036	Bea												SIN INFORMACIÓN
2019	44037	Beceite												SIN INFORMACIÓN
2019	44038	Belmonte de San José	4,0	0,0	4,0	2873,0	0,0	2873,0	0,0	1,0	0,0	0,0	0,0	COMPLETA
2019	44039	Bello	1,0	0,0	1,0	1058,0	0,0	1058,0	0,0	0,0	0,0	0,0	0,0	COMPLETA
2019	44040	Berge	1,0		1,0	1303,0		1303,0		1,0				INCOMPLETA
2019	44041	Bezas												SIN INFORMACIÓN
2019	44042	Blancas	1,0	0,0	1,0	87,0	0,0	87,0	0,0	1,0	0,0	0,0	0,0	COMPLETA
2019	44043	Blesa												SIN INFORMACIÓN
2019	44044	Bordón	1,0	1,0		317,0	317,0		1,0					INCOMPLETA
2019	44045	Bronchales												SIN INFORMACIÓN
2019	44046	Bueña												SIN INFORMACIÓN
2019	44047	Burbáguena												SIN INFORMACIÓN
2019	44048	Cabra de Mora	0,0	0,0	0,0	0,0	0,0	0,0	0,0	11,0	0,0	0,0	0,0	COMPLETA
2019	44049	Calaceite	2,0	0,0	2,0	1169,0	0,0	1169,0	0,0	7,0	2,0	0,0	1,0	COMPLETA
