Año	Provincia código	Provincia nombre	Edificios nueva planta, total	Edificios nueva planta, residencial	Edificios nueva planta, no residencial	Superficie nueva planta, total	Superficie nueva planta, residencial	Superficie nueva planta, no residencial	Viviendas nueva planta	Edificios rehabilitación	Viviendas rehabilitación	Edificios demolición	Viviendas demolición	Estado de la información
2019	22	Huesca	527,0	116,0	411,0	514343,0	61540,0	452803,0	318,0	248,0	56,0	54,0	52,0	ESTIMACIÓN
2019	44	Teruel	220,0	90,0	130,0	173148,0	53917,0	119231,0	213,0	218,0	22,0	52,0	37,0	ESTIMACIÓN
2019	50	Zaragoza	455,0	230,0	225,0	863016,0	431882,0	431134,0	2107,0	1486,0	49,0	146,0	173,0	ESTIMACIÓN
2015	22	Huesca	351,0	57,0	294,0	270533,0	19478,0	251055,0	70,0	218,0	78,0	38,0	37,0	ESTIMACIÓN
2015	44	Teruel	192,0	69,0	123,0	96346,0	25182,0	71164,0	115,0	168,0	21,0	58,0	54,0	ESTIMACIÓN
2015	50	Zaragoza	321,0	163,0	158,0	454973,0	216262,0	238711,0	1078,0	907,0	37,0	141,0	133,0	ESTIMACIÓN
2014	22	Huesca	284,0	54,0	230,0	222859,0	43303,0	179556,0	153,0	199,0	61,0	36,0	31,0	ESTIMACIÓN
2014	44	Teruel	156,0	58,0	98,0	75709,0	18234,0	57475,0	74,0	143,0	31,0	53,0	49,0	ESTIMACIÓN
2014	50	Zaragoza	346,0	166,0	180,0	356105,0	141751,0	214354,0	780,0	795,0	50,0	105,0	129,0	ESTIMACIÓN
2013	22	Huesca	292,0	64,0	228,0	202433,0	18811,0	183622,0	75,0	214,0	46,0	22,0	21,0	ESTIMACIÓN
2013	44	Teruel	141,0	56,0	85,0	41378,0	16601,0	24777,0	58,0	129,0	26,0	43,0	47,0	ESTIMACIÓN
2013	50	Zaragoza	368,0	220,0	148,0	423195,0	305218,0	117977,0	1653,0	746,0	23,0	139,0	105,0	ESTIMACIÓN
2012	22	Huesca	260,0	102,0	158,0	125749,0	28178,0	97571,0	112,0	256,0	56,0	42,0	40,0	ESTIMACIÓN
2012	44	Teruel	182,0	94,0	88,0	115486,0	34446,0	81040,0	105,0	154,0	29,0	51,0	42,0	ESTIMACIÓN
2012	50	Zaragoza	450,0	269,0	181,0	375390,0	207361,0	168029,0	1083,0	914,0	81,0	177,0	192,0	ESTIMACIÓN
2011	22	Huesca	267,0	124,0	143,0	125661,0	40151,0	85510,0	169,0	293,0	103,0	64,0	90,0	ESTIMACIÓN
2011	44	Teruel	221,0	137,0	84,0	99402,0	56662,0	42740,0	269,0	219,0	74,0	49,0	58,0	ESTIMACIÓN
2011	50	Zaragoza	629,0	427,0	202,0	695004,0	393493,0	301511,0	2187,0	1076,0	142,0	120,0	126,0	ESTIMACIÓN
2010	22	Huesca	302,0	150,0	152,0	192826,0	88403,0	104423,0	426,0	311,0	138,0	44,0	41,0	ESTIMACIÓN
2010	44	Teruel	236,0	159,0	77,0	90794,0	57124,0	33670,0	303,0	221,0	48,0	66,0	46,0	ESTIMACIÓN
