Año	CCAA código	CCAA nombre	Visados, total	Visados, obra nueva	Visados, ampliación	Visados, reforma	Visados, otros	Viviendas, obra nueva, total	Viviendas, obra nueva, unifamiliar	Viviendas, obra nueva, bloque	Viviendas, obra nueva, otros	Viviendas, ampliación o reforma
2013	02	Aragón	2022,0	469,0	59,0	788,0	706,0	1396,0	305,0	1091,0	0,0	552,0
2012	02	Aragón	2278,0	575,0	80,0	861,0	760,0	1662,0	377,0	1284,0	1,0	742,0
2011	02	Aragón	2775,0	876,0	88,0	1117,0	691,0	2832,0	597,0	2235,0	0,0	855,0
2010	02	Aragón	3292,0	1091,0	129,0	1312,0	758,0	5185,0	695,0	4489,0	1,0	978,0
2009	02	Aragón	3326,0	1114,0	111,0	1346,0	752,0	4082,0	744,0	3336,0	2,0	921,0
2008	02	Aragón	3755,0	1563,0	143,0	1260,0	787,0	7099,0	1202,0	5897,0	0,0	923,0
2007	02	Aragón	4692,0	2331,0	166,0	1302,0	893,0	21001,0	1617,0	19384,0	0,0	999,0
2006	02	Aragón	4879,0	2502,0	131,0	1054,0	1187,0	23781,0	3022,0	20758,0	1,0	1075,0
2005	02	Aragón	4664,0	2359,0	162,0	983,0	1150,0	16463,0	4166,0	12273,0	24,0	1188,0
2004	02	Aragón	4349,0	2198,0	130,0	947,0	1071,0	15513,0	4069,0	11432,0	12,0	1282,0
2003	02	Aragón	4066,0	2036,0	126,0	900,0	1000,0	14897,0	4165,0	10659,0	73,0	1127,0
2002	02	Aragón	3746,0	1824,0	117,0	797,0	1005,0	13846,0	4351,0	9473,0	22,0	1233,0
