Año	Municipio código	Municipio nombre	Visados, total	Visados, obra nueva	Visados, ampliación	Visados, reforma	Visados, otros	Viviendas, obra nueva, total	Viviendas, obra nueva, unifamiliar	Viviendas, obra nueva, bloque	Viviendas, obra nueva, otros	Viviendas, ampliación o reforma
2013	22048	Barbastro	6,0	1,0	0,0	3,0	2,0	10,0	0,0	10,0	0,0	2,0
2013	22112	Fraga	25,0	6,0	3,0	5,0	11,0	4,0	4,0	0,0	0,0	5,0
2013	22125	Huesca	71,0	7,0	4,0	40,0	20,0	13,0	9,0	4,0	0,0	32,0
2013	22130	Jaca	24,0	2,0	0,0	15,0	7,0	1,0	1,0	0,0	0,0	12,0
2013	22158	Monzón	11,0	4,0	1,0	4,0	2,0	3,0	3,0	0,0	0,0	4,0
2013	22199	Sabiñánigo	7,0	0,0	0,0	2,0	5,0	0,0	0,0	0,0	0,0	1,0
2013	44013	Alcañiz	10,0	2,0	1,0	3,0	4,0	4,0	4,0	0,0	0,0	1,0
2013	44216	Teruel	97,0	37,0	3,0	34,0	23,0	276,0	20,0	256,0	0,0	21,0
2013	50067	Calatayud	19,0	1,0	0,0	9,0	9,0	0,0	0,0	0,0	0,0	3,0
2013	50095	Ejea de los Caballeros	26,0	8,0	0,0	10,0	8,0	11,0	5,0	6,0	0,0	6,0
2013	50251	Tarazona	8,0	2,0	0,0	4,0	2,0	2,0	2,0	0,0	0,0	1,0
2013	50272	Utebo	4,0	0,0	0,0	0,0	4,0	0,0	0,0	0,0	0,0	0,0
2013	50297	Zaragoza	705,0	42,0	5,0	308,0	350,0	727,0	29,0	698,0	0,0	226,0
2012	22048	Barbastro	13,0	6,0	0,0	6,0	1,0	10,0	4,0	6,0	0,0	3,0
2012	22112	Fraga	22,0	5,0	3,0	9,0	5,0	4,0	4,0	0,0	0,0	9,0
2012	22125	Huesca	62,0	12,0	2,0	20,0	28,0	230,0	16,0	214,0	0,0	18,0
2012	22130	Jaca	35,0	8,0	1,0	16,0	10,0	33,0	3,0	30,0	0,0	14,0
2012	22158	Monzón	8,0	2,0	1,0	5,0	0,0	2,0	2,0	0,0	0,0	7,0
2012	22199	Sabiñánigo	9,0	2,0	0,0	7,0	0,0	2,0	2,0	0,0	0,0	5,0
2012	44013	Alcañiz	12,0	2,0	2,0	5,0	3,0	4,0	1,0	3,0	0,0	10,0
2012	44216	Teruel	61,0	16,0	3,0	23,0	19,0	132,0	8,0	124,0	0,0	34,0
2012	50067	Calatayud	27,0	6,0	0,0	9,0	12,0	13,0	6,0	7,0	0,0	7,0
2012	50095	Ejea de los Caballeros	20,0	6,0	0,0	8,0	6,0	12,0	3,0	9,0	0,0	8,0
2012	50251	Tarazona	13,0	1,0	0,0	5,0	7,0	0,0	0,0	0,0	0,0	2,0
2012	50272	Utebo	6,0	1,0	0,0	1,0	4,0	0,0	0,0	0,0	0,0	0,0
2012	50297	Zaragoza	736,0	49,0	3,0	337,0	345,0	843,0	30,0	813,0	0,0	262,0
2011	22048	Barbastro	19,0	9,0	1,0	8,0	1,0	7,0	5,0	2,0	0,0	6,0
2011	22112	Fraga	29,0	9,0	2,0	14,0	4,0	5,0	5,0	0,0	0,0	14,0
2011	22125	Huesca	53,0	12,0	1,0	25,0	15,0	148,0	10,0	138,0	0,0	20,0
2011	22130	Jaca	37,0	8,0	2,0	17,0	10,0	40,0	3,0	37,0	0,0	11,0
2011	22158	Monzón	14,0	7,0	0,0	5,0	2,0	3,0	3,0	0,0	0,0	4,0
2011	22199	Sabiñánigo	19,0	5,0	0,0	11,0	3,0	5,0	5,0	0,0	0,0	10,0
2011	44013	Alcañiz	38,0	7,0	0,0	30,0	1,0	26,0	7,0	19,0	0,0	25,0
2011	44216	Teruel	80,0	26,0	3,0	26,0	24,0	215,0	40,0	175,0	0,0	19,0
2011	50067	Calatayud	39,0	9,0	0,0	22,0	8,0	67,0	2,0	65,0	0,0	18,0
2011	50095	Ejea de los Caballeros	31,0	10,0	0,0	15,0	6,0	35,0	15,0	20,0	0,0	14,0
2011	50251	Tarazona	17,0	0,0	0,0	6,0	11,0	0,0	0,0	0,0	0,0	3,0
2011	50272	Utebo	11,0	6,0	0,0	3,0	2,0	54,0	2,0	52,0	0,0	0,0
2011	50297	Zaragoza	825,0	79,0	8,0	414,0	324,0	1318,0	23,0	1295,0	0,0	334,0
2010	22048	Barbastro	22,0	6,0	1,0	12,0	3,0	14,0	2,0	12,0	0,0	10,0
2010	22112	Fraga	21,0	7,0	4,0	8,0	2,0	5,0	4,0	0,0	1,0	6,0
2010	22125	Huesca	50,0	16,0	2,0	27,0	5,0	491,0	5,0	486,0	0,0	18,0
2010	22130	Jaca	53,0	8,0	3,0	22,0	20,0	11,0	3,0	8,0	0,0	18,0
2010	22158	Monzón	20,0	5,0	1,0	6,0	8,0	38,0	3,0	35,0	0,0	5,0
2010	22199	Sabiñánigo	35,0	9,0	1,0	15,0	10,0	8,0	8,0	0,0	0,0	12,0
2010	44013	Alcañiz	58,0	18,0	2,0	29,0	9,0	162,0	9,0	153,0	0,0	24,0
