Año	Provincia código	Provincia nombre	Visados, total	Visados, obra nueva	Visados, ampliación	Visados, reforma	Visados, otros	Viviendas, obra nueva, total	Viviendas, obra nueva, unifamiliar	Viviendas, obra nueva, bloque	Viviendas, obra nueva, otros	Viviendas, ampliación o reforma
2013	22	Huesca	461,0	134,0	24,0	197,0	106,0	134,0	83,0	51,0	0,0	154,0
2013	44	Teruel	390,0	161,0	23,0	119,0	87,0	401,0	113,0	288,0	0,0	94,0
2013	50	Zaragoza	1171,0	174,0	12,0	472,0	513,0	861,0	109,0	752,0	0,0	304,0
2012	22	Huesca	546,0	144,0	36,0	228,0	138,0	379,0	115,0	263,0	1,0	217,0
2012	44	Teruel	449,0	197,0	31,0	129,0	92,0	273,0	110,0	163,0	0,0	142,0
2012	50	Zaragoza	1283,0	234,0	13,0	504,0	530,0	1010,0	152,0	858,0	0,0	383,0
2011	22	Huesca	618,0	211,0	20,0	263,0	124,0	437,0	145,0	292,0	0,0	220,0
2011	44	Teruel	613,0	302,0	35,0	178,0	97,0	540,0	223,0	317,0	0,0	152,0
2011	50	Zaragoza	1544,0	363,0	33,0	676,0	470,0	1855,0	229,0	1626,0	0,0	483,0
2010	22	Huesca	814,0	282,0	49,0	338,0	144,0	954,0	200,0	753,0	1,0	277,0
2010	44	Teruel	819,0	370,0	45,0	244,0	160,0	1069,0	252,0	817,0	0,0	200,0
2010	50	Zaragoza	1659,0	439,0	35,0	730,0	454,0	3162,0	243,0	2919,0	0,0	501,0
2009	22	Huesca	918,0	291,0	40,0	409,0	178,0	932,0	235,0	696,0	1,0	305,0
2009	44	Teruel	736,0	340,0	36,0	228,0	131,0	452,0	250,0	201,0	1,0	185,0
2009	50	Zaragoza	1672,0	483,0	35,0	709,0	443,0	2698,0	259,0	2439,0	0,0	431,0
2008	22	Huesca	970,0	413,0	58,0	351,0	146,0	1456,0	405,0	1051,0	0,0	308,0
2008	44	Teruel	808,0	434,0	36,0	222,0	116,0	1424,0	319,0	1105,0	0,0	164,0
2008	50	Zaragoza	1977,0	716,0	49,0	687,0	525,0	4219,0	478,0	3741,0	0,0	451,0
2007	22	Huesca	1205,0	622,0	50,0	370,0	163,0	4528,0	517,0	4011,0	0,0	308,0
2007	44	Teruel	925,0	515,0	66,0	230,0	114,0	2449,0	366,0	2083,0	0,0	218,0
2007	50	Zaragoza	2562,0	1194,0	50,0	702,0	616,0	14024,0	734,0	13290,0	0,0	473,0
2006	22	Huesca	1365,0	736,0	53,0	358,0	214,0	5813,0	729,0	5083,0	1,0	425,0
2006	44	Teruel	841,0	505,0	34,0	159,0	143,0	2474,0	425,0	2049,0	0,0	162,0
2006	50	Zaragoza	2673,0	1261,0	44,0	537,0	830,0	15494,0	1868,0	13626,0	0,0	488,0
2005	22	Huesca	1319,0	689,0	64,0	315,0	247,0	5712,0	1519,0	4176,0	17,0	493,0
2005	44	Teruel	812,0	469,0	51,0	158,0	131,0	1654,0	557,0	1090,0	7,0	213,0
2005	50	Zaragoza	2533,0	1201,0	47,0	510,0	772,0	9097,0	2090,0	7007,0	0,0	482,0
2004	22	Huesca	1226,0	649,0	59,0	303,0	212,0	5467,0	955,0	4508,0	4,0	359,0
2004	44	Teruel	784,0	480,0	47,0	135,0	122,0	1192,0	475,0	717,0	0,0	246,0
2004	50	Zaragoza	2339,0	1069,0	24,0	509,0	737,0	8854,0	2639,0	6207,0	8,0	677,0
2003	22	Huesca	1208,0	638,0	64,0	288,0	217,0	5099,0	1090,0	3988,0	21,0	370,0
2003	44	Teruel	617,0	371,0	29,0	115,0	101,0	1056,0	356,0	694,0	6,0	107,0
2003	50	Zaragoza	2241,0	1027,0	33,0	497,0	682,0	8742,0	2719,0	5977,0	46,0	650,0
2002	22	Huesca	1027,0	524,0	40,0	241,0	220,0	3436,0	809,0	2617,0	10,0	306,0
2002	44	Teruel	610,0	344,0	34,0	117,0	114,0	977,0	253,0	714,0	10,0	200,0
2002	50	Zaragoza	2109,0	956,0	43,0	439,0	671,0	9433,0	3289,0	6142,0	2,0	727,0
