Año	Comarca código	Comarca nombre	Urbana   Número de recibos	Urbana   Base imponible (miles de euros)	Urbana   Base liquidable (miles de euros)	Cuota (euros)
2001	01	La Jacetania	34143,0	647849,64	647849,64	4393237,38
2001	02	Alto Gállego	17966,0	318595,48	293791,8	2054551,52
2001	03	Sobrarbe	7383,0	156832,89	156832,89	971120,0
2001	04	La Ribagorza	15549,0	343951,67	343951,67	2295679,5
2001	05	Cinco Villas	25310,0	406664,05	404735,77	2516510,0
2001	06	Hoya de Huesca / Plana de Uesca	55923,0	1445570,12	918002,5	7439979,0
2001	07	Somontano de Barbastro	19381,0	320556,92	320556,92	1987925,0
2001	08	Cinca Medio	16221,0	266364,64	241481,41	1844557,8
2001	09	La Litera / La Llitera	15546,0	260273,61	227951,27	1536038,0
2001	10	Los Monegros	17519,0	282757,18	269053,01	1434258,73
2001	11	Bajo Cinca / Baix Cinca	15026,0	339745,01	304623,02	1968227,34
2001	12	Tarazona y el Moncayo	13926,0	154577,3	154577,3	1030560,0
2001	13	Campo de Borja	11858,0	157514,34	154993,88	913380,0
2001	14	Aranda	8282,0	74027,48	74027,48	366480,0
2001	15	Ribera Alta del Ebro	15148,0	445987,49	401894,01	2233660,0
2001	16	Valdejalón	18009,0	280642,54	280642,54	1472140,0
2001	17	D.C. Zaragoza	433013,0	16385339,33	16033356,54	65497488,0
2001	18	Ribera Baja del Ebro	7527,0	163023,13	148571,9	729460,0
2001	19	Bajo Aragón-Caspe / Baix Aragó-Casp	11032,0	199631,52	199631,52	1035130,0
2001	20	Comunidad de Calatayud	41095,0	556685,14	556685,14	2885100,0
2001	21	Campo de Cariñena	9145,0	115152,55	115152,55	680320,0
2001	22	Campo de Belchite	6317,0	53138,15	53138,15	274960,0
2001	23	Bajo Martín	7614,0	87549,43	79949,42	438030,0
2001	24	Campo de Daroca	9487,0	91534,48	91534,48	410250,0
2001	25	Jiloca	17438,0	195051,88	195051,88	912760,0
2001	26	Cuencas Mineras	11584,0	88043,53	88043,53	521420,0
2001	27	Andorra-Sierra de Arcos	9960,0	170149,31	170149,31	977770,0
2001	28	Bajo Aragón	23434,0	331913,97	320062,34	1882270,0
2001	29	Comunidad de Teruel	38206,0	870118,12	870118,12	4063970,0
2001	30	Maestrazgo	5549,0	43774,94	43774,94	218490,0
2001	31	Sierra de Albarracín	7751,0	82297,92	65575,23	327420,0
2001	32	Gúdar-Javalambre	13764,0	135254,64	135254,64	761650,0
2001	33	Matarraña / Matarranya	9317,0	110886,82	103283,82	582070,0
2002	01	La Jacetania	33750,0	658586,0	658586,0	4475945,0
2002	02	Alto Gállego	17984,0	324243,0	303242,0	2146037,0
2002	03	Sobrarbe	7068,0	151919,0	151919,0	941296,0
2002	04	La Ribagorza	15218,0	344553,0	344553,0	2306416,0
2002	05	Cinco Villas	25335,0	401896,0	400171,0	2507476,0
2002	06	Hoya de Huesca / Plana de Uesca	55071,0	1460612,0	978619,0	8015568,0
2002	07	Somontano de Barbastro	18713,0	425389,0	322825,0	2012151,0
2002	08	Cinca Medio	16108,0	272081,0	250948,0	2028995,0
2002	09	La Litera / La Llitera	14208,0	253690,0	220415,0	1507146,0
2002	10	Los Monegros	15472,0	270057,0	257718,0	1391234,0
2002	11	Bajo Cinca / Baix Cinca	15208,0	346700,0	315224,0	2113219,0
2002	12	Tarazona y el Moncayo	14006,0	160953,0	160953,0	1100955,0
2002	13	Campo de Borja	12080,0	161800,0	159678,0	962303,0
2002	14	Aranda	8430,0	75824,0	75204,0	372126,0
2002	15	Ribera Alta del Ebro	15453,0	458388,0	420452,0	2340353,0
2002	16	Valdejalón	18287,0	290595,0	290595,0	1553057,0
2002	17	D.C. Zaragoza	439338,0	17055879,0	16741135,0	68397402,0
2002	18	Ribera Baja del Ebro	7551,0	167042,0	154500,0	760309,0
2002	19	Bajo Aragón-Caspe / Baix Aragó-Casp	11214,0	204214,0	204214,0	1070933,0
2002	20	Comunidad de Calatayud	41319,0	587786,0	587786,0	3054976,0
2002	21	Campo de Cariñena	9221,0	118292,0	118292,0	720462,0
2002	22	Campo de Belchite	6332,0	54295,0	54295,0	280961,0
2002	23	Bajo Martín	7466,0	88868,0	82171,0	449460,0
2002	24	Campo de Daroca	9548,0	92756,0	92756,0	415795,0
2002	25	Jiloca	17131,0	201701,0	201701,0	958913,0
2002	26	Cuencas Mineras	11306,0	89562,0	89562,0	527500,0
2002	27	Andorra-Sierra de Arcos	9819,0	173966,0	173966,0	998474,0
2002	28	Bajo Aragón	23662,0	348009,0	338793,0	1996430,0
2002	29	Comunidad de Teruel	38098,0	906939,0	906939,0	4262558,0
2002	30	Maestrazgo	5388,0	45048,0	45048,0	226463,0
2002	31	Sierra de Albarracín	7641,0	84388,0	69239,0	349086,0
2002	32	Gúdar-Javalambre	13760,0	141735,0	141735,0	797381,0
2002	33	Matarraña / Matarranya	9153,0	114540,0	107472,0	608557,0
