Año	Municipio código	Municipio nombre	Urbana   Número de recibos	Urbana   Base imponible (miles de euros)	Urbana   Base liquidable (miles de euros)	Cuota (euros)
2001	22001	Abiego	366,0	2861,52	2861,52	17170,0
2001	22002	Abizanda	100,0	10777,86	10777,86	91610,0
2001	22003	Adahuesca	166,0	1759,05	1759,05	10550,0
2001	22004	Agüero	339,0	1675,72	1675,72	12570,0
2001	22006	Aísa	2875,0	52562,71	52562,71	446780,0
2001	22007	Albalate de Cinca	737,0	10437,89	10437,89	52190,0
2001	22008	Albalatillo	302,0	2932,28	2932,28	11730,0
2001	22009	Albelda	744,0	7269,2	7269,2	36346,03
2001	22011	Albero Alto	78,0	808,13	808,13	3232,53
2001	22012	Albero Bajo	100,0	1050,6	1050,6	8930,08
2001	22013	Alberuela de Tubo	252,0	2862,96	2862,96	14310,0
2001	22014	Alcalá de Gurrea	450,0	28605,14	28605,14	243140,0
2001	22015	Alcalá del Obispo	548,0	3879,92	3879,92	15519,67
2001	22016	Alcampell	872,0	8874,42	8874,42	44372,1
2001	22017	Alcolea de Cinca	1040,0	16391,76	15265,11	79380,0
2001	22018	Alcubierre	407,0	3753,26	3753,26	20640,0
2001	22019	Alerre	171,0	3277,19	3277,19	16390,0
2001	22020	Alfántega	128,0	879,66	879,66	5720,0
2001	22021	Almudévar	1880,0	25553,04	25553,04	163540,0
2001	22022	Almunia de San Juan	605,0	6665,35	6665,35	33990,0
2001	22023	Almuniente	327,0	3296,08	3296,08	22748,0
2001	22024	Alquézar	351,0	3380,05	3380,05	21970,0
2001	22025	Altorricón	1563,0	20950,5	20950,5	121510,0
2001	22027	Angüés	497,0	4907,48	4907,48	19630,0
2001	22028	Ansó	658,0	6238,16	6238,16	37430,0
2001	22029	Antillón	113,0	775,82	775,82	5040,0
2001	22032	Aragüés del Puerto	211,0	2261,52	2261,52	13570,0
2001	22035	Arén	500,0	4125,31	4125,31	20630,0
2001	22036	Argavieso	117,0	800,76	800,76	3200,0
2001	22037	Arguis	258,0	3483,89	3483,89	17420,0
2001	22039	Ayerbe	1129,0	13329,16	13329,16	93310,0
2001	22040	Azanuy-Alins	376,0	2171,03	2171,03	17370,0
2001	22041	Azara	153,0	1388,65	1388,65	6940,0
2001	22042	Azlor	168,0	1253,74	1253,74	8770,0
