Año	Comarca código	Comarca nombre	Rústica   Base imponible (miles de euros)	Rústica   Cuota (euros)
2001	01	La Jacetania	22879,86	136308,0
2001	02	Alto Gállego	9104,15	59053,0
2001	03	Sobrarbe	14961,87	95784,0
2001	04	La Ribagorza	24237,67	158773,0
2001	05	Cinco Villas	220825,91	1361977,0
2001	06	Hoya de Huesca / Plana de Uesca	121980,01	699767,0
2001	07	Somontano de Barbastro	49525,21	313651,0
2001	08	Cinca Medio	85879,29	517316,0
2001	09	La Litera / La Llitera	72917,1	498000,0
2001	10	Los Monegros	182288,1	1128924,0
2001	11	Bajo Cinca / Baix Cinca	122840,49	754875,0
2001	12	Tarazona y el Moncayo	22972,4	130219,0
2001	13	Campo de Borja	38377,97	239483,0
2001	14	Aranda	6525,14	29099,0
2001	15	Ribera Alta del Ebro	65127,77	372179,0
2001	16	Valdejalón	85171,85	491017,0
2001	17	D.C. Zaragoza	145797,74	892782,0
2001	18	Ribera Baja del Ebro	49199,49	283728,0
2001	19	Bajo Aragón-Caspe / Baix Aragó-Casp	39256,55	250032,0
2001	20	Comunidad de Calatayud	68748,12	350291,0
2001	21	Campo de Cariñena	35086,91	191473,0
2001	22	Campo de Belchite	25792,59	173300,0
2001	23	Bajo Martín	26722,31	171326,0
2001	24	Campo de Daroca	26912,83	119654,0
2001	25	Jiloca	43547,61	249623,0
2001	26	Cuencas Mineras	18482,61	107768,0
2001	27	Andorra-Sierra de Arcos	9075,4	65330,0
2001	28	Bajo Aragón	32108,58	151868,0
2001	29	Comunidad de Teruel	54654,59	298543,0
2001	30	Maestrazgo	12311,56	69149,0
2001	31	Sierra de Albarracín	8687,91	40193,0
2001	32	Gúdar-Javalambre	15841,87	95879,0
2001	33	Matarraña / Matarranya	12287,69	66099,0
2002	01	La Jacetania	23401,0	139889,0
2002	02	Alto Gállego	9162,0	59417,0
2002	03	Sobrarbe	15896,0	101582,0
2002	04	La Ribagorza	25886,0	168649,0
2002	05	Cinco Villas	226173,0	1399044,0
2002	06	Hoya de Huesca / Plana de Uesca	126322,0	728863,0
2002	07	Somontano de Barbastro	52945,0	337436,0
2002	08	Cinca Medio	88757,0	548490,0
2002	09	La Litera / La Llitera	73423,0	503023,0
2002	10	Los Monegros	186853,0	1191074,0
2002	11	Bajo Cinca / Baix Cinca	127124,0	781763,0
2002	12	Tarazona y el Moncayo	23473,0	135073,0
2002	13	Campo de Borja	39144,0	253625,0
2002	14	Aranda	6609,0	29506,0
2002	15	Ribera Alta del Ebro	66652,0	382226,0
2002	16	Valdejalón	86983,0	506445,0
2002	17	D.C. Zaragoza	148944,0	914502,0
2002	18	Ribera Baja del Ebro	50122,0	289243,0
2002	19	Bajo Aragón-Caspe / Baix Aragó-Casp	40286,0	261279,0
2002	20	Comunidad de Calatayud	71459,0	367472,0
2002	21	Campo de Cariñena	36569,0	228872,0
2002	22	Campo de Belchite	26639,0	178392,0
2002	23	Bajo Martín	27338,0	175217,0
2002	24	Campo de Daroca	27530,0	122382,0
2002	25	Jiloca	44894,0	257332,0
2002	26	Cuencas Mineras	20261,0	118658,0
2002	27	Andorra-Sierra de Arcos	9292,0	66887,0
2002	28	Bajo Aragón	32872,0	156112,0
2002	29	Comunidad de Teruel	57844,0	318132,0
2002	30	Maestrazgo	12561,0	70636,0
2002	31	Sierra de Albarracín	8856,0	40983,0
2002	32	Gúdar-Javalambre	15501,0	93059,0
2002	33	Matarraña / Matarranya	12602,0	67747,0
