Año	Municipio código	Municipio nombre	Rústica   Base imponible (miles de euros)	Rústica   Cuota (euros)
2001	22001	Abiego	1552,86	12423,0
2001	22002	Abizanda	477,12	2958,0
2001	22003	Adahuesca	888,08	7105,0
2001	22004	Agüero	501,43	2507,0
2001	22006	Aísa	341,58	1025,0
2001	22007	Albalate de Cinca	7584,84	49301,0
2001	22008	Albalatillo	1207,34	7848,0
2001	22009	Albelda	8997,98	71984,0
2001	22011	Albero Alto	1162,69	5697,0
2001	22012	Albero Bajo	1936,85	16657,0
2001	22013	Alberuela de Tubo	2872,32	21542,0
2001	22014	Alcalá de Gurrea	4488,68	29176,0
2001	22015	Alcalá del Obispo	3327,8	9983,0
2001	22016	Alcampell	4385,23	28504,0
2001	22017	Alcolea de Cinca	10220,83	81767,0
2001	22018	Alcubierre	4443,86	26219,0
2001	22019	Alerre	589,55	3832,0
2001	22020	Alfántega	1104,45	6074,0
2001	22021	Almudévar	16206,19	79410,0
2001	22022	Almunia de San Juan	2352,98	20000,0
2001	22023	Almuniente	7431,99	39390,0
2001	22024	Alquézar	603,78	4830,0
2001	22025	Altorricón	6278,84	48975,0
2001	22027	Angüés	1950,8	9754,0
2001	22028	Ansó	801,82	4811,0
2001	22029	Antillón	930,16	7906,0
2001	22032	Aragüés del Puerto	228,59	1372,0
2001	22035	Arén	1258,04	7548,0
2001	22036	Argavieso	795,81	4377,0
2001	22037	Arguis	253,58	2155,0
2001	22039	Ayerbe	2800,89	17366,0
2001	22040	Azanuy-Alins	965,03	7238,0
2001	22041	Azara	527,63	1741,0
2001	22042	Azlor	486,97	1948,0
2001	22043	Baells	926,95	2781,0
2001	22044	Bailo	2433,08	15815,0
2001	22045	Baldellou	440,41	1321,0
2001	22046	Ballobar	4983,92	26415,0
2001	22047	Banastás	310,54	1863,0
2001	22048	Barbastro	8410,85	63081,0
2001	22049	Barbués	2684,03	11541,0
2001	22050	Barbuñales	548,24	3838,0
2001	22051	Bárcabo	877,23	4649,0
2001	22052	Belver de Cinca	13667,35	64236,0
2001	22053	Benabarre	3437,2	29560,0
2001	22054	Benasque	289,65	1303,0
2001	22055	Berbegal	3116,98	21819,0
2001	22057	Bielsa	304,78	1524,0
2001	22058	Bierge	961,67	6251,0
2001	22059	Biescas	1586,68	7933,0
2001	22060	Binaced	14901,85	104313,0
2001	22061	Binéfar	4175,01	16283,0
2001	22062	Bisaurri	334,49	1338,0
2001	22063	Biscarrués	1376,57	6883,0
2001	22064	Blecua y Torres	1664,46	14148,0
2001	22066	Boltaña	939,52	6107,0
2001	22067	Bonansa	308,3	1850,0
2001	22068	Borau	221,94	666,0
2001	22069	Broto	764,4	4739,0
2001	22072	Caldearenas	1634,99	10627,0
2001	22074	Campo	191,46	574,0
2001	22075	Camporrells	530,88	2654,0
2001	22076	Canal de Berdún	2819,53	18327,0
2001	22077	Candasnos	3609,29	10828,0
2001	22078	Canfranc	315,71	1579,0
2001	22079	Capdesaso	1533,33	7667,0
2001	22080	Capella	849,66	6797,0
2001	22081	Casbas de Huesca	2395,92	11980,0
2001	22082	Castejón del Puente	2461,83	10586,0
2001	22083	Castejón de Monegros	6105,37	36632,0
2001	22084	Castejón de Sos	468,35	3747,0
2001	22085	Castelflorite	3795,91	17082,0
2001	22086	Castiello de Jaca	250,58	1503,0
2001	22087	Castigaleu	521,9	3653,0
2001	22088	Castillazuelo	473,24	2603,0
2001	22089	Castillonroy	1252,32	3757,0
2001	22090	Colungo	380,87	2285,0
2001	22094	Chalamera	1500,71	8254,0
2001	22095	Chía	120,82	665,0
2001	22096	Chimillas	763,3	4580,0
2001	22099	Esplús	15033,56	120268,0
2001	22102	Estada	359,0	2334,0
2001	22103	Estadilla	2595,47	15054,0
2001	22105	Estopiñán del Castillo	1421,87	11375,0
2001	22106	Fago	22,17	133,0
2001	22107	Fanlo	451,54	2935,0
2001	22109	Fiscal	1374,29	8246,0
2001	22110	Fonz	3556,49	23473,0
2001	22111	Foradada del Toscar	657,9	3947,0
2001	22112	Fraga	51918,27	384195,0
2001	22113	Fueva (La)	2512,22	20098,0
2001	22114	Gistaín	239,29	1555,0
2001	22115	Grado (El)	1406,75	8441,0
2001	22116	Grañén	16935,13	81289,0
2001	22117	Graus	4884,33	34190,0
2001	22119	Gurrea de Gállego	15771,02	102512,0
2001	22122	Hoz de Jaca	55,65	250,0
2001	22124	Huerto	6943,03	45130,0
2001	22125	Huesca	15385,58	95391,0
2001	22126	Ibieca	460,36	2302,0
2001	22127	Igriés	896,43	2689,0
2001	22128	Ilche	7599,23	45595,0
2001	22129	Isábena	1009,68	3029,0
2001	22130	Jaca	8685,77	52115,0
2001	22131	Jasa	23,68	142,0
2001	22133	Labuerda	169,91	1019,0
2001	22135	Laluenga	2663,17	17311,0
2001	22136	Lalueza	10581,04	90997,0
2001	22137	Lanaja	14542,38	85800,0
2001	22139	Laperdiguera	664,76	4321,0
2001	22141	Lascellas-Ponzano	864,38	4322,0
2001	22142	Lascuarre	447,29	3578,0
2001	22143	Laspaúles	579,67	2319,0
2001	22144	Laspuña	210,1	1681,0
2001	22149	Loarre	1906,13	12390,0
2001	22150	Loporzano	3826,2	15305,0
2001	22151	Loscorrales	2584,84	15509,0
2001	22155	Monesma y Cajigar	659,54	4617,0
2001	22156	Monflorite-Lascasas	3309,86	14894,0
2001	22157	Montanuy	1245,61	7474,0
2001	22158	Monzón	27607,26	160122,0
2001	22160	Naval	364,07	2913,0
2001	22162	Novales	1411,35	6916,0
2001	22163	Nueno	1814,51	5444,0
2001	22164	Olvena	217,08	1411,0
2001	22165	Ontiñena	4502,5	22512,0
2001	22167	Osso de Cinca	7184,73	43108,0
2001	22168	Palo	160,97	1046,0
2001	22170	Panticosa	92,32	415,0
2001	22172	Peñalba	4419,44	24749,0
2001	22173	Peñas de Riglos (Las)	1648,13	7417,0
2001	22174	Peralta de Alcofea	6356,45	36867,0
2001	22175	Peralta de Calasanz	1794,73	11666,0
2001	22176	Peraltilla	622,88	2056,0
2001	22177	Perarrúa	453,41	3627,0
2001	22178	Pertusa	2432,87	17760,0
2001	22181	Piracés	1544,82	9887,0
2001	22182	Plan	346,32	2251,0
2001	22184	Poleñino	4593,91	37211,0
2001	22186	Pozán de Vero	494,07	2964,0
2001	22187	Puebla de Castro (La)	434,27	2606,0
2001	22188	Puente de Montañana	487,98	2928,0
2001	22189	Puértolas	376,24	3010,0
2001	22190	Pueyo de Araguás (El)	653,29	3920,0
2001	22193	Pueyo de Santa Cruz	1577,72	9466,0
2001	22195	Quicena	673,42	2828,0
2001	22197	Robres	4985,27	23431,0
2001	22199	Sabiñánigo	4359,75	32698,0
2001	22200	Sahún	508,73	1781,0
2001	22201	Salas Altas	592,14	3849,0
2001	22202	Salas Bajas	402,26	2615,0
2001	22203	Salillas	1831,67	10074,0
2001	22204	Sallent de Gállego	701,08	2103,0
2001	22205	San Esteban de Litera	7071,35	49499,0
2001	22206	Sangarrén	4178,38	33427,0
2001	22207	San Juan de Plan	176,3	1146,0
2001	22208	Santa Cilia	915,59	5036,0
2001	22209	Santa Cruz de la Serós	319,31	1756,0
2001	22212	Santaliestra y San Quílez	170,68	1024,0
2001	22213	Sariñena	29398,3	191089,0
2001	22214	Secastilla	284,32	853,0
2001	22215	Seira	178,76	1073,0
2001	22217	Sena	11646,26	81524,0
2001	22218	Senés de Alcubierre	954,1	5152,0
2001	22220	Sesa	1602,77	8815,0
2001	22221	Sesué	167,77	1007,0
2001	22222	Siétamo	2159,19	14035,0
2001	22223	Sopeira	314,44	1887,0
2001	22225	Tamarite de Litera	19259,63	121336,0
2001	22226	Tardienta	4428,07	28782,0
2001	22227	Tella-Sin	325,3	976,0
2001	22228	Tierz	795,17	3578,0
2001	22229	Tolva	903,04	5870,0
2001	22230	Torla-Ordesa	612,05	3978,0
2001	22232	Torralba de Aragón	1955,64	8996,0
2001	22233	Torre la Ribera	237,85	951,0
2001	22234	Torrente de Cinca	7377,52	47954,0
2001	22235	Torres de Alcanadre	2071,29	13463,0
2001	22236	Torres de Barbués	1886,26	11318,0
2001	22239	Tramaced	2079,19	13515,0
2001	22242	Valfarta	2053,62	11500,0
2001	22243	Valle de Bardají	112,93	598,0
2001	22244	Valle de Lierp	215,61	1143,0
