Año	CCAA código	CCAA nombre	Urbana   Número de recibos	Urbana   Base imponible (miles de euros)	Urbana   Base liquidable (miles de euros)	Urbana   Cuota íntegra (euros)	Urbana   Cuota líquida (euros)
2003	02	Aragón	993435,0	27709136,0	26393118,0	128383907,0	126666441,0
2004	02	Aragón	1023799,0	29029214,0	27573340,0	143114538,0	141321856,0
2005	02	Aragón	1040996,0	30600095,0	29115403,0	169501253,0	165132418,0
2006	02	Aragón	1055894,0	31324439,0	29616599,0	174352661,0	171891568,0
2007	02	Aragón	1072345,0	33699541,0	31300098,0	184799162,0	181195347,0
2008	02	Aragón	1105607,0	35983952,0	33365515,0	198922774,0	196153578,0
2009	02	Aragón	1146900,0	39697949,0	36082723,0	220762103,0	218099060,0
2010	02	Aragón	1181149,0	42699948,0	38391048,0	232881430,0	228434927,0
2011	02	Aragón	1206180,0	44072682,0	40094092,0	244974775,0	240471653,0
2012	02	Aragón	1224786,0	44800744,0	41412868,0	287353839,0	281828606,0
2013	02	Aragón	1232323,0	61558575,0	43835871,0	302265974,0	296492356,0
2014	02	Aragón	1245334,0	62122550,0	47046459,0	323053546,0	293437721,0
2015	02	Aragón	1258971,0	64079633,0	50604885,0	345066460,0	300567138,0
2016	02	Aragón	1261696,0	63804829,68	53133976,49	345764783,0	303995836,0
2017	02	Aragón	1271680,0	64816893,0	55940683,0	320530210,0	311091114,0
2018	02	Aragón	1293880,0	66080169,0	58982581,0	330244920,0	321584166,0
2019	02	Aragón	1306908,0	63775631,0	60395796,0	325773450,0	317362881,0
