Año	Comarca código	Comarca nombre	Urbana   Número de recibos	Urbana   Base imponible (miles de euros)	Urbana   Base liquidable (miles de euros)	Urbana   Cuota íntegra (euros)	Urbana   Cuota líquida (euros)
2003	01	La Jacetania	33887,0	678553,0	678553,0	4661069,0	4645937,0
2003	02	Alto Gállego	18640,0	425503,0	330942,0	2429387,0	2421937,0
2003	03	Sobrarbe	7479,0	156138,0	156138,0	1334196,0	1334012,0
2003	04	La Ribagorza	16831,0	362923,0	358539,0	2992314,0	2992314,0
2003	05	Cinco Villas	25912,0	401016,0	399721,0	2497626,0	2497485,0
2003	06	Hoya de Huesca / Plana de Uesca	55900,0	1482541,0	1052695,0	8659235,0	8605533,0
2003	07	Somontano de Barbastro	19479,0	440969,0	347428,0	2345242,0	2337951,0
2003	08	Cinca Medio	16473,0	278940,0	262140,0	2159900,0	2155989,0
2003	09	La Litera / La Llitera	14180,0	256771,0	227951,0	1663855,0	1663627,0
2003	10	Los Monegros	15834,0	278156,0	266886,0	1463493,0	1272504,0
2003	11	Bajo Cinca / Baix Cinca	15632,0	357686,0	326737,0	2332152,0	2041658,0
2003	12	Tarazona y el Moncayo	15225,0	167355,0	167355,0	1165744,0	1160975,0
2003	13	Campo de Borja	12629,0	167502,0	165851,0	1052493,0	944366,0
2003	14	Aranda	9487,0	82644,0	82110,0	406562,0	388179,0
2003	15	Ribera Alta del Ebro	16393,0	559983,0	460361,0	2573634,0	2328414,0
2003	16	Valdejalón	18980,0	323116,0	323116,0	1735506,0	1735506,0
2003	17	D.C. Zaragoza	446056,0	17817258,0	17358764,0	71111684,0	70702090,0
2003	18	Ribera Baja del Ebro	7415,0	164259,0	154266,0	793968,0	692051,0
2003	19	Bajo Aragón-Caspe / Baix Aragó-Casp	11251,0	208999,0	208999,0	1262867,0	1259552,0
2003	20	Comunidad de Calatayud	44726,0	627296,0	627296,0	3020627,0	3015508,0
2003	21	Campo de Cariñena	9576,0	120268,0	120268,0	735395,0	735395,0
2003	22	Campo de Belchite	6723,0	54145,0	54145,0	278681,0	278681,0
