Año	Municipio código	Municipio nombre	Urbana   Número de recibos	Urbana   Base imponible (miles de euros)	Urbana   Base liquidable (miles de euros)	Urbana   Cuota íntegra (euros)	Urbana   Cuota líquida (euros)
2003	22001	Abiego	385,0	3003,0	3003,0	18020,0	18020,0
2003	22002	Abizanda	86,0	11119,0	11119,0	138318,0	138318,0
2003	22003	Adahuesca	163,0	1638,0	1638,0	9829,0	9829,0
2003	22004	Agüero	381,0	1602,0	1602,0	12019,0	12019,0
2003	22006	Aísa	2861,0	51630,0	51630,0	438856,0	438856,0
2003	22007	Albalate de Cinca	724,0	10345,0	10345,0	51723,0	51723,0
2003	22008	Albalatillo	259,0	2650,0	2650,0	10599,0	10599,0
2003	22009	Albelda	776,0	7925,0	7925,0	39623,0	39623,0
2003	22011	Albero Alto	87,0	843,0	843,0	3372,0	3372,0
2003	22012	Albero Bajo	94,0	1087,0	1087,0	9237,0	9237,0
2003	22013	Alberuela de Tubo	168,0	2020,0	2020,0	10099,0	10099,0
2003	22014	Alcalá de Gurrea	350,0	28877,0	28877,0	245457,0	245457,0
2003	22015	Alcalá del Obispo	383,0	4079,0	4079,0	16315,0	16315,0
2003	22016	Alcampell	883,0	9317,0	9317,0	55904,0	55904,0
2003	22017	Alcolea de Cinca	1147,0	16461,0	15585,0	81041,0	80938,0
2003	22018	Alcubierre	381,0	3524,0	3524,0	20087,0	20087,0
2003	22019	Alerre	167,0	3500,0	3500,0	17499,0	17499,0
2003	22020	Alfántega	131,0	873,0	873,0	5673,0	5673,0
2003	22021	Almudévar	1844,0	22736,0	22736,0	149828,0	149828,0
2003	22022	Almunia de San Juan	534,0	6402,0	6402,0	35403,0	35403,0
2003	22023	Almuniente	343,0	3407,0	3407,0	23507,0	23507,0
2003	22024	Alquézar	360,0	3460,0	3460,0	22488,0	22488,0
2003	22025	Altorricón	962,0	14173,0	14173,0	86316,0	86316,0
2003	22027	Angüés	514,0	4493,0	4493,0	17971,0	17971,0
2003	22028	Ansó	669,0	5245,0	5245,0	31472,0	31472,0
2003	22029	Antillón	118,0	685,0	685,0	4453,0	4453,0
2003	22032	Aragüés del Puerto	207,0	1972,0	1972,0	11832,0	11832,0
2003	22035	Arén	429,0	3994,0	3994,0	19972,0	19972,0
2003	22036	Argavieso	113,0	833,0	833,0	3332,0	3332,0
2003	22037	Arguis	293,0	3635,0	3635,0	18177,0	18177,0
2003	22039	Ayerbe	1116,0	12150,0	12150,0	85051,0	85051,0
2003	22040	Azanuy-Alins	326,0	2175,0	2175,0	18486,0	18486,0
2003	22041	Azara	164,0	1354,0	1354,0	6768,0	6768,0
2003	22042	Azlor	183,0	1259,0	1259,0	8812,0	8812,0
2003	22043	Baells	193,0	1416,0	1416,0	4247,0	4247,0
2003	22044	Bailo	402,0	2341,0	2341,0	15215,0	15215,0
2003	22045	Baldellou	245,0	3563,0	3563,0	14252,0	14252,0
2003	22046	Ballobar	945,0	13542,0	10018,0	62108,0	62023,0
2003	22047	Banastás	141,0	3265,0	3265,0	13061,0	13061,0
2003	22048	Barbastro	11715,0	347731,0	254190,0	1700534,0	1693243,0
2003	22049	Barbués	85,0	800,0	800,0	3202,0	3202,0
2003	22050	Barbuñales	125,0	1136,0	1136,0	6815,0	6815,0
2003	22051	Bárcabo	169,0	1382,0	1382,0	5529,0	5529,0
2003	22052	Belver de Cinca	842,0	10552,0	10552,0	36931,0	36931,0
2003	22053	Benabarre	1254,0	12254,0	12254,0	91904,0	91904,0
2003	22054	Benasque	3911,0	92820,0	92820,0	519792,0	519792,0
2003	22055	Berbegal	323,0	2598,0	2598,0	11689,0	11689,0
2003	22057	Bielsa	554,0	13664,0	13664,0	123338,0	123338,0
2003	22058	Bierge	375,0	2626,0	2626,0	15758,0	15758,0
2003	22059	Biescas	4107,0	143725,0	68597,0	589892,0	588820,0
2003	22060	Binaced	1030,0	16850,0	16850,0	74142,0	74142,0
2003	22061	Binéfar	5375,0	145539,0	120524,0	983473,0	983297,0
2003	22062	Bisaurri	163,0	1360,0	1360,0	6120,0	6120,0
2003	22063	Biscarrués	268,0	2431,0	2431,0	24320,0	24320,0
2003	22064	Blecua y Torres	201,0	1609,0	1609,0	7238,0	7238,0
2003	22066	Boltaña	1011,0	14582,0	14582,0	109364,0	109364,0
2003	22067	Bonansa	75,0	1974,0	1974,0	22202,0	22202,0
2003	22068	Borau	103,0	960,0	960,0	5760,0	5760,0
2003	22069	Broto	823,0	10086,0	10086,0	58501,0	58501,0
2003	22072	Caldearenas	262,0	4039,0	4039,0	34065,0	34065,0
2003	22074	Campo	497,0	8020,0	8020,0	48117,0	48117,0
2003	22075	Camporrells	308,0	1896,0	1896,0	10427,0	10427,0
2003	22076	Canal de Berdún	619,0	4596,0	4596,0	27575,0	27575,0
2003	22077	Candasnos	367,0	29133,0	25285,0	113784,0	33906,0
2003	22078	Canfranc	1483,0	27202,0	27202,0	200838,0	200736,0
2003	22079	Capdesaso	169,0	1654,0	1654,0	6616,0	6616,0
2003	22080	Capella	423,0	2834,0	2834,0	12755,0	12755,0
2003	22081	Casbas de Huesca	499,0	3258,0	3258,0	17922,0	17922,0
2003	22082	Castejón del Puente	356,0	4405,0	4405,0	22025,0	22025,0
2003	22083	Castejón de Monegros	556,0	6617,0	6617,0	29776,0	29776,0
2003	22084	Castejón de Sos	648,0	10358,0	10358,0	77545,0	77545,0
2003	22085	Castelflorite	106,0	1307,0	1307,0	5880,0	5880,0
2003	22086	Castiello de Jaca	681,0	12640,0	12640,0	77757,0	77757,0
2003	22087	Castigaleu	58,0	300,0	300,0	1201,0	1201,0
2003	22088	Castillazuelo	247,0	1378,0	1378,0	8956,0	8956,0
2003	22089	Castillonroy	411,0	5089,0	5089,0	34249,0	34249,0
2003	22090	Colungo	128,0	797,0	797,0	3190,0	3190,0
2003	22094	Chalamera	127,0	954,0	954,0	4485,0	4485,0
2003	22095	Chía	96,0	1361,0	1361,0	9733,0	9733,0
2003	22096	Chimillas	184,0	3151,0	3151,0	12604,0	12604,0
2003	22099	Esplús	643,0	5844,0	5844,0	33601,0	33601,0
2003	22102	Estada	199,0	3534,0	3534,0	31923,0	31923,0
2003	22103	Estadilla	788,0	13977,0	13977,0	66072,0	66072,0
2003	22105	Estopiñán del Castillo	233,0	6054,0	6054,0	71746,0	71746,0
2003	22106	Fago	139,0	465,0	465,0	2322,0	2322,0
2003	22107	Fanlo	213,0	623,0	623,0	5297,0	5297,0
2003	22109	Fiscal	467,0	5470,0	5470,0	38290,0	38290,0
2003	22110	Fonz	1026,0	8610,0	8610,0	52941,0	52941,0
2003	22111	Foradada del Toscar	202,0	1765,0	1765,0	7058,0	7058,0
2003	22112	Fraga	8452,0	213238,0	191512,0	1589551,0	1432124,0
2003	22113	Fueva (La)	381,0	21974,0	21974,0	259229,0	259229,0
2003	22114	Gistaín	134,0	851,0	851,0	4254,0	4254,0
2003	22115	Grado (El)	645,0	19845,0	19845,0	168902,0	168902,0
2003	22116	Grañén	1349,0	18351,0	18351,0	124786,0	124786,0
2003	22117	Graus	4100,0	50482,0	50482,0	377377,0	377377,0
2003	22119	Gurrea de Gállego	1237,0	14398,0	14398,0	93587,0	93587,0
2003	22122	Hoz de Jaca	190,0	4283,0	4283,0	23222,0	23222,0
2003	22124	Huerto	380,0	3135,0	3135,0	12538,0	12538,0
2003	22125	Huesca	40487,0	1290653,0	860807,0	7489023,0	7435528,0
2003	22126	Ibieca	140,0	906,0	906,0	4530,0	4530,0
2003	22127	Igriés	222,0	4205,0	4205,0	25229,0	25022,0
2003	22128	Ilche	254,0	1676,0	1676,0	6704,0	6704,0
2003	22129	Isábena	310,0	3721,0	3721,0	14885,0	14885,0
2003	22130	Jaca	22233,0	504327,0	504327,0	3530288,0	3516931,0
2003	22131	Jasa	201,0	1238,0	1238,0	7429,0	7429,0
2003	22133	Labuerda	211,0	2587,0	2587,0	12933,0	12933,0
2003	22135	Laluenga	243,0	2476,0	2476,0	12381,0	12381,0
2003	22136	Lalueza	728,0	9622,0	9622,0	79862,0	79862,0
2003	22137	Lanaja	1172,0	12606,0	12606,0	88242,0	88242,0
2003	22139	Laperdiguera	108,0	624,0	624,0	2497,0	2497,0
2003	22141	Lascellas-Ponzano	258,0	1799,0	1799,0	10792,0	10792,0
2003	22142	Lascuarre	188,0	1207,0	1207,0	9653,0	9653,0
2003	22143	Laspaúles	327,0	2436,0	2436,0	12182,0	12182,0
2003	22144	Laspuña	208,0	2448,0	2448,0	20691,0	20691,0
2003	22149	Loarre	752,0	4169,0	4169,0	16678,0	16678,0
2003	22150	Loporzano	641,0	6670,0	6670,0	52983,0	52983,0
2003	22151	Loscorrales	215,0	1000,0	1000,0	4001,0	4001,0
2003	22155	Monesma y Cajigar	60,0	298,0	298,0	2085,0	2085,0
2003	22156	Monflorite-Lascasas	309,0	3031,0	3031,0	15153,0	15153,0
2003	22157	Montanuy	296,0	66313,0	66313,0	844392,0	844392,0
2003	22158	Monzón	11057,0	210588,0	194664,0	1810375,0	1806567,0
2003	22160	Naval	244,0	9188,0	9188,0	110195,0	110195,0
2003	22162	Novales	136,0	1390,0	1390,0	5561,0	5561,0
2003	22163	Nueno	541,0	10148,0	10148,0	65959,0	65959,0
2003	22164	Olvena	81,0	471,0	471,0	1884,0	1884,0
2003	22165	Ontiñena	553,0	4702,0	4702,0	16456,0	16456,0
2003	22167	Osso de Cinca	404,0	4901,0	4901,0	24507,0	24507,0
2003	22168	Palo	42,0	983,0	983,0	7085,0	7085,0
2003	22170	Panticosa	2167,0	42970,0	42970,0	186792,0	186792,0
2003	22172	Peñalba	471,0	20183,0	20183,0	90825,0	26824,0
2003	22173	Peñas de Riglos (Las)	573,0	5742,0	5742,0	34903,0	34903,0
2003	22174	Peralta de Alcofea	693,0	5792,0	5792,0	43438,0	43438,0
2003	22175	Peralta de Calasanz	387,0	3843,0	3843,0	15372,0	15372,0
2003	22176	Peraltilla	159,0	1338,0	1338,0	7358,0	7358,0
2003	22177	Perarrúa	196,0	1836,0	1836,0	7343,0	7343,0
2003	22178	Pertusa	184,0	1741,0	1741,0	13582,0	13582,0
2003	22181	Piracés	90,0	496,0	496,0	2730,0	2730,0
2003	22182	Plan	362,0	4955,0	4955,0	29730,0	29730,0
2003	22184	Poleñino	183,0	2228,0	2228,0	16045,0	16045,0
2003	22186	Pozán de Vero	223,0	1537,0	1537,0	10759,0	10759,0
2003	22187	Puebla de Castro (La)	727,0	15590,0	11206,0	55323,0	55323,0
2003	22188	Puente de Montañana	291,0	1329,0	1329,0	7444,0	7444,0
2003	22189	Puértolas	149,0	1484,0	1484,0	5937,0	5937,0
2003	22190	Pueyo de Araguás (El)	105,0	785,0	785,0	3927,0	3927,0
2003	22193	Pueyo de Santa Cruz	236,0	2337,0	2337,0	17527,0	17527,0
2003	22195	Quicena	143,0	1745,0	1745,0	6980,0	6980,0
2003	22197	Robres	475,0	7482,0	7482,0	44893,0	44893,0
2003	22199	Sabiñánigo	7639,0	147950,0	128517,0	1187379,0	1181001,0
2003	22200	Sahún	635,0	15738,0	15738,0	109901,0	109901,0
2003	22201	Salas Altas	295,0	2181,0	2181,0	13086,0	13086,0
2003	22202	Salas Bajas	153,0	1361,0	1361,0	4083,0	4083,0
2003	22203	Salillas	127,0	990,0	990,0	3960,0	3960,0
2003	22204	Sallent de Gállego	3953,0	80495,0	80495,0	399630,0	399630,0
2003	22205	San Esteban de Litera	797,0	10483,0	6678,0	46743,0	46743,0
2003	22206	Sangarrén	193,0	2604,0	2604,0	20833,0	20833,0
2003	22207	San Juan de Plan	113,0	886,0	886,0	6132,0	6132,0
2003	22208	Santa Cilia	211,0	1547,0	1547,0	9283,0	9283,0
2003	22209	Santa Cruz de la Serós	190,0	1953,0	1953,0	9767,0	9767,0
2003	22212	Santaliestra y San Quílez	106,0	832,0	832,0	4662,0	4662,0
2003	22213	Sariñena	3137,0	53876,0	53876,0	285541,0	280202,0
2003	22214	Secastilla	270,0	17972,0	17972,0	203060,0	203060,0
2003	22215	Seira	169,0	3798,0	3798,0	35187,0	35187,0
2003	22217	Sena	634,0	8316,0	5591,0	33544,0	33544,0
2003	22218	Senés de Alcubierre	94,0	771,0	771,0	4469,0	4469,0
2003	22220	Sesa	220,0	2436,0	2436,0	9745,0	9745,0
2003	22221	Sesué	172,0	2470,0	2470,0	20394,0	20394,0
2003	22222	Siétamo	564,0	6489,0	6489,0	32446,0	32446,0
2003	22223	Sopeira	208,0	8591,0	8591,0	100737,0	100737,0
2003	22225	Tamarite de Litera	2702,0	42554,0	42554,0	306391,0	306391,0
2003	22226	Tardienta	895,0	13885,0	13885,0	99974,0	99974,0
2003	22227	Tella-Sin	254,0	3370,0	3370,0	20218,0	20218,0
2003	22228	Tierz	129,0	1408,0	1408,0	4223,0	4223,0
2003	22229	Tolva	272,0	1550,0	1550,0	9301,0	9301,0
2003	22230	Torla-Ordesa	491,0	8517,0	8517,0	34067,0	34067,0
2003	22232	Torralba de Aragón	178,0	2331,0	2331,0	13987,0	13987,0
2003	22233	Torre la Ribera	75,0	821,0	821,0	3282,0	3282,0
2003	22234	Torrente de Cinca	691,0	22707,0	22707,0	102180,0	49076,0
2003	22235	Torres de Alcanadre	141,0	1066,0	1066,0	5863,0	5863,0
2003	22236	Torres de Barbués	191,0	2384,0	2384,0	13350,0	13350,0
2003	22239	Tramaced	97,0	1172,0	1172,0	4688,0	4688,0
2003	22242	Valfarta	99,0	1819,0	923,0	3968,0	3968,0
2003	22243	Valle de Bardají	35,0	286,0	286,0	1716,0	1716,0
2003	22244	Valle de Lierp	56,0	436,0	436,0	2614,0	2614,0
2003	22245	Velilla de Cinca	434,0	5727,0	3876,0	19376,0	19376,0
2003	22246	Beranuy	114,0	975,0	975,0	3899,0	3899,0
2003	22247	Viacamp y Litera	37,0	19387,0	19387,0	251399,0	251399,0
2003	22248	Vicién	157,0	1239,0	1239,0	6195,0	6195,0
2003	22249	Villanova	198,0	3761,0	3761,0	27333,0	27333,0
2003	22250	Villanúa	1676,0	41792,0	41792,0	195432,0	193759,0
2003	22251	Villanueva de Sigena	362,0	5991,0	4157,0	27022,0	27022,0
2003	22252	Yebra de Basa	124,0	1061,0	1061,0	7427,0	7427,0
2003	22253	Yésero	198,0	980,0	980,0	980,0	980,0
2003	22254	Zaidín	1268,0	14467,0	14467,0	57867,0	57867,0
2003	22901	Valle de Hecho	1025,0	11579,0	11579,0	46315,0	46315,0
2003	22902	Puente la Reina de Jaca	366,0	3847,0	3847,0	19617,0	19617,0
2003	22903	San Miguel del Cinca	588,0	6474,0	6474,0	31075,0	31075,0
2003	22904	Sotonera (La)	1022,0	11976,0	11976,0	52696,0	52696,0
2003	22905	Lupiñén-Ortilla	579,0	9181,0	9181,0	46822,0	46822,0
2003	22906	Santa María de Dulcis	151,0	1253,0	1253,0	10024,0	10024,0
2003	22907	Aínsa-Sobrarbe	1706,0	50372,0	50372,0	451356,0	451172,0
2003	22908	Hoz y Costeán	320,0	1466,0	1466,0	4397,0	4397,0
2003	22909	Vencillón	172,0	2954,0	2954,0	14771,0	14719,0
2003	44001	Ababuj	137,0	935,0	935,0	3740,0	3740,0
2003	44002	Abejuela	231,0	801,0	801,0	6808,0	6808,0
2003	44003	Aguatón	48,0	230,0	230,0	1150,0	1150,0
2003	44004	Aguaviva	819,0	8673,0	8673,0	43365,0	43365,0
2003	44005	Aguilar del Alfambra	142,0	996,0	996,0	4482,0	4482,0
2003	44006	Alacón	526,0	4592,0	4592,0	18368,0	18368,0
2003	44007	Alba	328,0	2728,0	2728,0	16368,0	16368,0
2003	44008	Albalate del Arzobispo	2406,0	28328,0	22542,0	128489,0	128489,0
2003	44009	Albarracín	1113,0	22020,0	14749,0	81120,0	81120,0
2003	44010	Albentosa	509,0	5952,0	5952,0	32736,0	32736,0
2003	44011	Alcaine	249,0	910,0	910,0	3640,0	3640,0
2003	44012	Alcalá de la Selva	1759,0	28213,0	28213,0	112852,0	112852,0
2003	44013	Alcañiz	10490,0	182048,0	182048,0	1092288,0	1092288,0
2003	44014	Alcorisa	3012,0	43851,0	39972,0	279804,0	279804,0
2003	44016	Alfambra	590,0	6879,0	6879,0	31643,0	31643,0
2003	44017	Aliaga	716,0	6365,0	6365,0	31825,0	31825,0
2003	44018	Almohaja	70,0	368,0	368,0	1472,0	1472,0
2003	44019	Alobras	155,0	1110,0	1110,0	6660,0	6660,0
2003	44020	Alpeñés	61,0	368,0	368,0	1656,0	1656,0
2003	44021	Allepuz	232,0	1354,0	1354,0	6770,0	6770,0
2003	44022	Alloza	1005,0	8835,0	8835,0	36224,0	36224,0
2003	44023	Allueva	56,0	218,0	218,0	1417,0	1417,0
2003	44024	Anadón	84,0	497,0	497,0	4224,0	4224,0
2003	44025	Andorra	5265,0	134887,0	134887,0	809322,0	809322,0
2003	44026	Arcos de las Salinas	405,0	3599,0	3599,0	28792,0	28792,0
2003	44027	Arens de Lledó	234,0	2079,0	2079,0	12474,0	12474,0
2003	44028	Argente	278,0	2068,0	2068,0	10340,0	10340,0
2003	44029	Ariño	894,0	8771,0	8771,0	61397,0	61397,0
2003	44031	Azaila	273,0	1823,0	1823,0	11850,0	11850,0
2003	44032	Bádenas	66,0	306,0	306,0	1224,0	1224,0
2003	44033	Báguena	689,0	5153,0	5153,0	25765,0	25765,0
2003	44034	Bañón	231,0	1516,0	1516,0	6064,0	6064,0
2003	44035	Barrachina	245,0	1637,0	1637,0	8185,0	8185,0
2003	44036	Bea	58,0	319,0	319,0	1595,0	1595,0
2003	44037	Beceite	672,0	6574,0	6574,0	26296,0	26296,0
