Año	Provincia código	Provincia nombre	Urbana   Número de recibos	Urbana   Base imponible (miles de euros)	Urbana   Base liquidable (miles de euros)	Urbana   Cuota íntegra (euros)	Urbana   Cuota líquida (euros)
2003	22	Huesca	208157,0	4581483,0	3877127,0	29301072,0	28853340,0
2003	44	Teruel	144021,0	2205898,0	2171640,0	11299329,0	11047829,0
2003	50	Zaragoza	641257,0	20921755,0	20344351,0	87783506,0	86765272,0
2004	22	Huesca	213693,0	4846768,0	4150005,0	31009622,0	30440912,0
2004	44	Teruel	161613,0	2395710,0	2351557,0	12824021,0	12796303,0
2004	50	Zaragoza	648493,0	21786736,0	21071778,0	99280895,0	98084641,0
2005	22	Huesca	215328,0	5026391,0	4403767,0	32953073,0	32634399,0
2005	44	Teruel	164169,0	2499529,0	2437560,0	13552057,0	13456492,0
2005	50	Zaragoza	661499,0	23074175,0	22274076,0	122996123,0	119041527,0
2006	22	Huesca	218286,0	5093163,0	4397759,0	34188364,0	34045209,0
2006	44	Teruel	165240,0	2638148,0	2544318,0	14418708,0	13110262,0
2006	50	Zaragoza	672368,0	23593128,0	22674522,0	125745589,0	124736097,0
2007	22	Huesca	223136,0	5352917,0	4703092,0	36816433,0	36558860,0
2007	44	Teruel	166142,0	2795340,0	2645879,0	15124256,0	14408371,0
2007	50	Zaragoza	683067,0	25551284,0	23951127,0	132858473,0	130228116,0
2008	22	Huesca	231378,0	5636306,0	5093153,0	40260852,0	40022815,0
2008	44	Teruel	170824,0	3006171,0	2776360,0	16298203,0	14957474,0
2008	50	Zaragoza	703405,0	27341475,0	25496002,0	142363719,0	141173289,0
2009	22	Huesca	243507,0	7037771,0	5648448,0	45184993,0	44956604,0
2009	44	Teruel	176030,0	3365117,0	3070093,0	18258598,0	17111367,0
2009	50	Zaragoza	727363,0	29295061,0	27364182,0	157318512,0	156031089,0
2010	22	Huesca	252351,0	8045094,0	6214115,0	49237383,0	49031321,0
2010	44	Teruel	180543,0	3699743,0	3303693,0	19955414,0	18334956,0
2010	50	Zaragoza	748255,0	30955111,0	28873240,0	163688633,0	161068650,0
2011	22	Huesca	257235,0	8307945,0	6587539,0	51296716,0	51125010,0
2011	44	Teruel	184850,0	3880780,0	3479156,0	21384305,0	19735471,0
2011	50	Zaragoza	764095,0	31883957,0	30027397,0	172293754,0	169611172,0
2012	22	Huesca	262381,0	8448891,0	6934240,0	57041232,0	56439100,0
2012	44	Teruel	188746,0	4013455,0	3633588,0	24634730,0	22813307,0
2012	50	Zaragoza	773659,0	32338398,0	30845040,0	205677877,0	202576199,0
2013	22	Huesca	263404,0	9046659,0	7341532,0	59020963,0	58721067,0
2013	44	Teruel	190624,0	3861088,0	3777441,0	25765538,0	23778195,0
2013	50	Zaragoza	778295,0	48650828,0	32716898,0	217479473,0	213993094,0
2014	22	Huesca	266336,0	9256284,0	7861636,0	59653022,0	59355399,0
2014	44	Teruel	192603,0	4162639,0	3989343,0	26593480,0	23926567,0
2014	50	Zaragoza	786395,0	48703627,0	35195480,0	236807044,0	210155755,0
2015	22	Huesca	268877,0	9964616,0	8321145,0	61342336,0	61037695,0
2015	44	Teruel	194064,0	4699924,0	4699183,0	32317754,0	25661863,0
2015	50	Zaragoza	796030,0	49415093,0	37584557,0	251406370,0	213867580,0
2016	22	Huesca	270075,0	9013509,41	8468468,49	61681375,0	61322711,0
2016	44	Teruel	194697,0	5238695,74	5139959,21	29179121,0	26225927,0
2016	50	Zaragoza	796924,0	49552624,53	39525548,79	254904287,0	216447198,0
2017	22	Huesca	271314,0	9232239,0	8822347,0	63437890,0	63024614,0
2017	44	Teruel	195266,0	5427537,0	5427537,0	30521932,0	26762515,0
2017	50	Zaragoza	805100,0	50157117,0	41690799,0	226570388,0	221303985,0
2018	22	Huesca	288893,0	9466583,0	9178102,0	65329112,0	64991051,0
2018	44	Teruel	196920,0	5896997,0	5896997,0	31777777,0	28333664,0
2018	50	Zaragoza	808067,0	50716589,0	43907482,0	233138031,0	228259451,0
2019	22	Huesca	290934,0	9658326,0	9462203,0	66758207,0	66468812,0
2019	44	Teruel	194533,0	6099428,0	6088474,0	32721367,0	28964052,0
2019	50	Zaragoza	821441,0	48017877,0	44845119,0	226293876,0	221930017,0
