Año	CCAA código	CCAA nombre	Rústica   Número de recibos	Rústica   Base imponible (miles de euros)	Rústica   Base liquidable (miles de euros)	Rústica   Cuota íntegra (euros)	Rústica   Cuota líquida (euros)
2003	02	Aragón		2077081,0	1876278,0	11338878,0	11338878,0
2004	02	Aragón		2148897,0	1914497,0	11934403,0	11821291,0
2005	02	Aragón	353020,0	2201929,0	1961623,0	12344969,0	12194477,0
2006	02	Aragón	342479,0	2040633,0		13044372,0	12543959,0
2007	02	Aragón	350047,0	2319570,0	2176715,0	14097058,0	13414552,0
2008	02	Aragón	355375,0	2429405,0	2288037,0	15021799,0	14343548,0
2009	02	Aragón	381023,0	2647977,0	2536293,0	16847912,0	15731440,0
2010	02	Aragón	378399,0	2799238,0	2632275,0	17595547,0	16405292,0
2011	02	Aragón	370259,0	2875835,0	2753820,0	18451936,0	17068325,0
2012	02	Aragón	410414,0	2744837,0	2656381,0	18116639,0	17562374,0
2013	02	Aragón	417310,0	3423286,0	3224673,0	22103270,0	21436229,0
2014	02	Aragón	374809,0	3333545,0	3242535,0	22143499,0	21182359,0
2015	02	Aragón	353615,0	3623000,0	3390138,0	23239997,0	22613357,0
2016	02	Aragón	354108,0	3893802,47	3673001,69	24810554,0	22827283,0
2017	02	Aragón	380761,0	4107548,0	4010365,0	27024138,0	25304974,0
2018	02	Aragón	384093,0	4294032,0	4115206,0	27428970,0	25976497,0
2019	02	Aragón	384894,0	4471727,0	4316920,0	28678631,0	27754161,0
