Año	Comarca código	Comarca nombre	Rústica   Número de recibos	Rústica   Base imponible (miles de euros)	Rústica   Base liquidable (miles de euros)	Rústica   Cuota íntegra (euros)	Rústica   Cuota líquida (euros)
2003	01	La Jacetania		37956,0	26197,0	156065,0	156065,0
2003	02	Alto Gállego		16188,0	11910,0	77747,0	77747,0
2003	03	Sobrarbe		27867,0	19470,0	125756,0	125756,0
2003	04	La Ribagorza		33225,0	29665,0	191935,0	191935,0
2003	05	Cinco Villas		237201,0	209231,0	1301228,0	1301228,0
2003	06	Hoya de Huesca / Plana de Uesca		134788,0	129452,0	750617,0	750617,0
2003	07	Somontano de Barbastro		56749,0	55166,0	350139,0	350139,0
2003	08	Cinca Medio		92505,0	90939,0	567878,0	567878,0
2003	09	La Litera / La Llitera		77040,0	75895,0	526283,0	526283,0
2003	10	Los Monegros		196758,0	184854,0	1173103,0	1173103,0
2003	11	Bajo Cinca / Baix Cinca		134542,0	128419,0	790067,0	790067,0
2003	12	Tarazona y el Moncayo		27067,0	25259,0	146231,0	146231,0
2003	13	Campo de Borja		42505,0	40092,0	260099,0	260099,0
2003	14	Aranda		8884,0	7122,0	31421,0	31421,0
2003	15	Ribera Alta del Ebro		69815,0	66937,0	385084,0	385084,0
2003	16	Valdejalón		91959,0	84437,0	497610,0	497610,0
2003	17	D.C. Zaragoza		160818,0	144589,0	893840,0	893840,0
2003	18	Ribera Baja del Ebro		57739,0	53440,0	307941,0	307941,0
2003	19	Bajo Aragón-Caspe / Baix Aragó-Casp		44602,0	41508,0	268490,0	268490,0
2003	20	Comunidad de Calatayud		83909,0	76009,0	394724,0	394724,0
2003	21	Campo de Cariñena		40130,0	38398,0	240362,0	240362,0
2003	22	Campo de Belchite		29670,0	27103,0	180978,0	180978,0
2003	23	Bajo Martín		30162,0	29942,0	192023,0	192023,0
2003	24	Campo de Daroca		32270,0	27899,0	125992,0	125992,0
2003	25	Jiloca		52543,0	51719,0	295990,0	295990,0
2003	26	Cuencas Mineras		24424,0	22890,0	134590,0	134590,0
2003	27	Andorra-Sierra de Arcos		12206,0	11433,0	81682,0	81682,0
2003	28	Bajo Aragón		40909,0	39266,0	190863,0	190863,0
2003	29	Comunidad de Teruel		66882,0	64436,0	353619,0	353619,0
2003	30	Maestrazgo		17941,0	14562,0	81942,0	81942,0
2003	31	Sierra de Albarracín		40421,0	12477,0	55261,0	55261,0
2003	32	Gúdar-Javalambre		35965,0	19767,0	123730,0	123730,0
2003	33	Matarraña / Matarranya		21441,0	15795,0	85588,0	85588,0
2004	01	La Jacetania		38703,0	26291,0	146637,0	119534,0
2004	02	Alto Gállego		17205,0	12224,0	81410,0	59475,0
2004	03	Sobrarbe		30428,0	21697,0	140277,0	110142,0
2004	04	La Ribagorza		33910,0	29431,0	195436,0	177589,0
2004	05	Cinco Villas		249253,0	221352,0	1424101,0	1424101,0
2004	06	Hoya de Huesca / Plana de Uesca		137764,0	131511,0	774353,0	767040,0
2004	07	Somontano de Barbastro		59523,0	57312,0	378748,0	377400,0
2004	08	Cinca Medio		95203,0	93320,0	568768,0	568710,0
2004	09	La Litera / La Llitera		78984,0	77389,0	612831,0	612054,0
2004	10	Los Monegros		204188,0	191780,0	1245003,0	1244141,0
2004	11	Bajo Cinca / Baix Cinca		141933,0	135722,0	855561,0	855089,0
2004	12	Tarazona y el Moncayo		27693,0	26807,0	163812,0	162849,0
2004	13	Campo de Borja		43196,0	39802,0	267786,0	267786,0
2004	14	Aranda		9038,0	7164,0	31600,0	30415,0
2004	15	Ribera Alta del Ebro		70538,0	67878,0	392782,0	390840,0
2004	16	Valdejalón		95506,0	87410,0	519580,0	519580,0
2004	17	D.C. Zaragoza		162971,0	143196,0	885317,0	884519,0
2004	18	Ribera Baja del Ebro		61922,0	54297,0	325164,0	325164,0
2004	19	Bajo Aragón-Caspe / Baix Aragó-Casp		50434,0	47990,0	332369,0	331995,0
2004	20	Comunidad de Calatayud		85542,0	76214,0	399149,0	399149,0
2004	21	Campo de Cariñena		40723,0	38879,0	248724,0	248724,0
2004	22	Campo de Belchite		30309,0	27474,0	183560,0	183560,0
2004	23	Bajo Martín		30706,0	29444,0	195534,0	195534,0
2004	24	Campo de Daroca		33008,0	28480,0	128868,0	128868,0
2004	25	Jiloca		53847,0	52348,0	303923,0	303923,0
2004	26	Cuencas Mineras		25377,0	22535,0	140115,0	140115,0
2004	27	Andorra-Sierra de Arcos		12312,0	11536,0	82467,0	82467,0
2004	28	Bajo Aragón		42164,0	27798,0	196599,0	196599,0
2004	29	Comunidad de Teruel		68373,0	63532,0	361348,0	361348,0
2004	30	Maestrazgo		18456,0	15189,0	83671,0	83671,0
2004	31	Sierra de Albarracín		41249,0	12762,0	56504,0	56504,0
2004	32	Gúdar-Javalambre		36806,0	19814,0	126279,0	126279,0
2004	33	Matarraña / Matarranya		21633,0	15919,0	86127,0	86127,0
2005	01	La Jacetania	2439,0	39443,0	26786,0	149378,0	121405,0
2005	02	Alto Gállego	1087,0	17543,0	12461,0	82998,0	60632,0
2005	03	Sobrarbe	2451,0	31229,0	22211,0	143726,0	112885,0
2005	04	La Ribagorza	4474,0	34606,0	30022,0	199359,0	181096,0
2005	05	Cinco Villas	13779,0	256862,0	228080,0	1483043,0	1470159,0
2005	06	Hoya de Huesca / Plana de Uesca	8827,0	140805,0	134419,0	791454,0	783803,0
2005	07	Somontano de Barbastro	6621,0	60867,0	58610,0	387394,0	385038,0
2005	08	Cinca Medio	5998,0	97482,0	95535,0	582937,0	581795,0
2005	09	La Litera / La Llitera	6184,0	80400,0	78771,0	623585,0	622799,0
2005	10	Los Monegros	10588,0	208767,0	196097,0	1275666,0	1274634,0
2005	11	Bajo Cinca / Baix Cinca	8487,0	147726,0	141288,0	892271,0	891782,0
2005	12	Tarazona y el Moncayo	10309,0	28439,0	27528,0	173821,0	172698,0
2005	13	Campo de Borja	11441,0	43623,0	40219,0	271795,0	271067,0
2005	14	Aranda	6469,0	9266,0	7331,0	32342,0	31035,0
2005	15	Ribera Alta del Ebro	7637,0	71968,0	69242,0	405802,0	403651,0
2005	16	Valdejalón	10514,0	98308,0	90001,0	543614,0	543353,0
2005	17	D.C. Zaragoza	20311,0	166301,0	145919,0	917361,0	916274,0
2005	18	Ribera Baja del Ebro	6144,0	63012,0	55241,0	334059,0	333123,0
2005	19	Bajo Aragón-Caspe / Baix Aragó-Casp	7203,0	53709,0	51073,0	355006,0	354469,0
2005	20	Comunidad de Calatayud	32871,0	87453,0	77929,0	420514,0	419552,0
2005	21	Campo de Cariñena	6535,0	41774,0	39885,0	259918,0	259869,0
2005	22	Campo de Belchite	7327,0	30967,0	28072,0	187485,0	187354,0
2005	23	Bajo Martín	8027,0	31335,0	30011,0	203410,0	202558,0
2005	24	Campo de Daroca	10695,0	33468,0	28869,0	135530,0	135158,0
2005	25	Jiloca	23013,0	54771,0	53247,0	316494,0	310933,0
2005	26	Cuencas Mineras	13249,0	25908,0	23010,0	144188,0	140594,0
2005	27	Andorra-Sierra de Arcos	8298,0	12581,0	11790,0	85186,0	85186,0
2005	28	Bajo Aragón	16913,0	43145,0	28439,0	205560,0	204267,0
2005	29	Comunidad de Teruel	25428,0	69844,0	64904,0	371526,0	371453,0
2005	30	Maestrazgo	7078,0	18591,0	15116,0	86481,0	86420,0
2005	31	Sierra de Albarracín	10888,0	42076,0	13018,0	65066,0	61945,0
2005	32	Gúdar-Javalambre	19144,0	37559,0	20224,0	129661,0	129661,0
2005	33	Matarraña / Matarranya	12591,0	22101,0	16275,0	88339,0	87829,0
2006	01	La Jacetania	2350,0	28352,0		153256,0	119511,0
2006	02	Alto Gállego	1123,0	14809,0		95513,0	68320,0
2006	03	Sobrarbe	2467,0	21945,0		145943,0	118456,0
2006	04	La Ribagorza	4468,0	31606,0		213649,0	190647,0
2006	05	Cinco Villas	13018,0	230091,0		1497148,0	1497096,0
2006	06	Hoya de Huesca / Plana de Uesca	9067,0	138268,0		824621,0	815504,0
2006	07	Somontano de Barbastro	6564,0	60477,0		407843,0	405951,0
2006	08	Cinca Medio	5708,0	97862,0		613251,0	611298,0
2006	09	La Litera / La Llitera	6068,0	80083,0		641134,0	639263,0
2006	10	Los Monegros	10390,0	202031,0		1400782,0	1399355,0
2006	11	Bajo Cinca / Baix Cinca	8520,0	144841,0		934337,0	933829,0
2006	12	Tarazona y el Moncayo	9301,0	27833,0		179749,0	178629,0
2006	13	Campo de Borja	10697,0	40986,0		299483,0	299101,0
2006	14	Aranda	5810,0	7488,0		35597,0	34205,0
2006	15	Ribera Alta del Ebro	7295,0	70203,0		415475,0	413284,0
2006	16	Valdejalón	9902,0	93286,0		568358,0	568300,0
2006	17	D.C. Zaragoza	18779,0	151602,0		960126,0	920291,0
2006	18	Ribera Baja del Ebro	5835,0	55584,0		341446,0	340616,0
2006	19	Bajo Aragón-Caspe / Baix Aragó-Casp	7258,0	52346,0		368704,0	364780,0
2006	20	Comunidad de Calatayud	30704,0	80731,0		440623,0	434433,0
2006	21	Campo de Cariñena	6390,0	40902,0		272308,0	272308,0
2006	22	Campo de Belchite	7038,0	28780,0		192283,0	192257,0
2006	23	Bajo Martín	7815,0	31266,0		213871,0	196241,0
2006	24	Campo de Daroca	10068,0	29332,0		137850,0	137450,0
2006	25	Jiloca	22882,0	55705,0		333994,0	308425,0
2006	26	Cuencas Mineras	12826,0	23999,0		156353,0	131635,0
2006	27	Andorra-Sierra de Arcos	8082,0	12295,0		88337,0	72589,0
2006	28	Bajo Aragón	16966,0	29849,0		214849,0	205151,0
2006	29	Comunidad de Teruel	25327,0	68642,0		393649,0	347088,0
2006	30	Maestrazgo	7015,0	17721,0		100946,0	75043,0
2006	31	Sierra de Albarracín	10880,0	17712,0		81763,0	54250,0
2006	32	Gúdar-Javalambre	19182,0	34557,0		216707,0	111564,0
2006	33	Matarraña / Matarranya	12684,0	19449,0		104424,0	87089,0
2007	01	La Jacetania	2351,0	33589,0	30870,0	169559,0	135100,0
2007	02	Alto Gállego	1104,0	15136,0	15078,0	97934,0	69957,0
2007	03	Sobrarbe	2421,0	22287,0	22287,0	148417,0	120469,0
2007	04	La Ribagorza	4400,0	32106,0	32106,0	217968,0	194337,0
2007	05	Cinco Villas	13512,0	256800,0	236303,0	1543333,0	1537056,0
2007	06	Hoya de Huesca / Plana de Uesca	8795,0	144018,0	142371,0	891970,0	883943,0
2007	07	Somontano de Barbastro	6605,0	64598,0	63325,0	428117,0	426334,0
2007	08	Cinca Medio	5765,0	106805,0	103619,0	656558,0	656443,0
2007	09	La Litera / La Llitera	6295,0	124197,0	104274,0	823469,0	822136,0
2007	10	Los Monegros	10463,0	219335,0	209699,0	1470498,0	1469371,0
2007	11	Bajo Cinca / Baix Cinca	8416,0	150131,0	150015,0	969194,0	968738,0
2007	12	Tarazona y el Moncayo	9713,0	30295,0	29139,0	190637,0	189476,0
2007	13	Campo de Borja	11539,0	45056,0	42129,0	305160,0	305143,0
2007	14	Aranda	6093,0	9356,0	7602,0	36169,0	34781,0
2007	15	Ribera Alta del Ebro	7423,0	75222,0	71857,0	431088,0	429178,0
2007	16	Valdejalón	10310,0	111968,0	95344,0	584835,0	584775,0
2007	17	D.C. Zaragoza	24338,0	156986,0	143560,0	898889,0	898262,0
2007	18	Ribera Baja del Ebro	6080,0	70773,0	59154,0	376996,0	376992,0
2007	19	Bajo Aragón-Caspe / Baix Aragó-Casp	5653,0	55870,0	50918,0	362773,0	360740,0
2007	20	Comunidad de Calatayud	32058,0	91369,0	82361,0	452180,0	451789,0
2007	21	Campo de Cariñena	6597,0	45520,0	42834,0	287625,0	287618,0
2007	22	Campo de Belchite	7173,0	32084,0	29317,0	195921,0	195869,0
2007	23	Bajo Martín	7791,0	32710,0	32710,0	226405,0	208936,0
2007	24	Campo de Daroca	10375,0	34926,0	30047,0	140890,0	140872,0
2007	25	Jiloca	22661,0	59533,0	58479,0	347870,0	323286,0
2007	26	Cuencas Mineras	13070,0	31922,0	29389,0	193312,0	164343,0
2007	27	Andorra-Sierra de Arcos	8257,0	20425,0	17032,0	119654,0	103071,0
2007	28	Bajo Aragón	16762,0	48586,0	46929,0	384269,0	362815,0
2007	29	Comunidad de Teruel	24969,0	71720,0	71720,0	409207,0	350144,0
2007	30	Maestrazgo	6755,0	19295,0	19295,0	110673,0	76767,0
2007	31	Sierra de Albarracín	10839,0	43988,0	43988,0	251509,0	78001,0
2007	32	Gúdar-Javalambre	18645,0	39973,0	39973,0	250485,0	119531,0
2007	33	Matarraña / Matarranya	12819,0	22991,0	22991,0	123494,0	88279,0
2008	01	La Jacetania	2354,0	34093,0	31860,0	176862,0	141264,0
2008	02	Alto Gállego	1107,0	15431,0	15387,0	100176,0	71623,0
2008	03	Sobrarbe	2463,0	24464,0	23697,0	163338,0	134113,0
2008	04	La Ribagorza	4431,0	32741,0	32741,0	223492,0	199272,0
2008	05	Cinco Villas	13704,0	266803,0	249466,0	1655994,0	1643301,0
2008	06	Hoya de Huesca / Plana de Uesca	8889,0	148723,0	146286,0	919343,0	911122,0
2008	07	Somontano de Barbastro	6743,0	71227,0	67714,0	472288,0	470518,0
2008	08	Cinca Medio	5849,0	108694,0	105913,0	731239,0	731130,0
2008	09	La Litera / La Llitera	6287,0	126720,0	109561,0	869441,0	868076,0
2008	10	Los Monegros	10679,0	232498,0	220304,0	1565687,0	1564537,0
2008	11	Bajo Cinca / Baix Cinca	8458,0	154083,0	153964,0	997646,0	997173,0
2008	12	Tarazona y el Moncayo	9768,0	31213,0	30576,0	198839,0	194829,0
2008	13	Campo de Borja	11653,0	45936,0	42965,0	312780,0	312769,0
2008	14	Aranda	6004,0	10767,0	8985,0	43464,0	40998,0
2008	15	Ribera Alta del Ebro	7665,0	76568,0	73705,0	450658,0	446994,0
2008	16	Valdejalón	9491,0	123833,0	105344,0	646348,0	635461,0
2008	17	D.C. Zaragoza	24540,0	165811,0	155089,0	971055,0	953076,0
2008	18	Ribera Baja del Ebro	6166,0	79559,0	69448,0	446284,0	428503,0
2008	19	Bajo Aragón-Caspe / Baix Aragó-Casp	5773,0	61422,0	55196,0	394468,0	388521,0
2008	20	Comunidad de Calatayud	32067,0	94589,0	86638,0	478060,0	469515,0
2008	21	Campo de Cariñena	6704,0	47532,0	45910,0	332972,0	321596,0
2008	22	Campo de Belchite	7252,0	33208,0	30406,0	204445,0	202942,0
2008	23	Bajo Martín	7826,0	33300,0	33223,0	232986,0	224149,0
2008	24	Campo de Daroca	10527,0	35508,0	30972,0	144865,0	144115,0
2008	25	Jiloca	22963,0	61598,0	60402,0	356585,0	335604,0
2008	26	Cuencas Mineras	13429,0	32503,0	29988,0	202206,0	185706,0
2008	27	Andorra-Sierra de Arcos	8282,0	21257,0	17817,0	126748,0	119277,0
2008	28	Bajo Aragón	16849,0	52197,0	50314,0	404632,0	392040,0
2008	29	Comunidad de Teruel	26997,0	73142,0	73041,0	412160,0	377742,0
2008	30	Maestrazgo	7513,0	19659,0	19654,0	117054,0	92839,0
2008	31	Sierra de Albarracín	11244,0	45058,0	45048,0	264220,0	90931,0
2008	32	Gúdar-Javalambre	18761,0	43277,0	42774,0	270455,0	152406,0
2008	33	Matarraña / Matarranya	12937,0	25991,0	23649,0	135009,0	101406,0
2009	01	La Jacetania	4587,0	62365,0	60106,0	324624,0	256280,0
2009	02	Alto Gállego	2485,0	20844,0	20801,0	128703,0	85834,0
2009	03	Sobrarbe	4404,0	34991,0	34395,0	245557,0	184819,0
2009	04	La Ribagorza	8196,0	39812,0	38728,0	258839,0	217532,0
2009	05	Cinco Villas	13329,0	278502,0	273049,0	1818978,0	1735041,0
2009	06	Hoya de Huesca / Plana de Uesca	13786,0	157348,0	154854,0	986857,0	945064,0
2009	07	Somontano de Barbastro	10215,0	71912,0	69431,0	492296,0	482395,0
2009	08	Cinca Medio	7163,0	110659,0	108718,0	780320,0	772613,0
2009	09	La Litera / La Llitera	8720,0	127074,0	109402,0	873110,0	865395,0
