Año	Municipio código	Municipio nombre	Rústica   Número de recibos	Rústica   Base imponible (miles de euros)	Rústica   Base liquidable (miles de euros)	Rústica   Cuota íntegra (euros)	Rústica   Cuota líquida (euros)
2003	22001	Abiego		1709,0	1645,0	13144,0	13144,0
2003	22002	Abizanda		588,0	581,0	3605,0	3605,0
2003	22003	Adahuesca		1006,0	788,0	6300,0	6300,0
2003	22004	Agüero		812,0	613,0	3066,0	3066,0
2003	22006	Aísa		1454,0	390,0	1107,0	1107,0
2003	22007	Albalate de Cinca		8286,0	8258,0	53680,0	53680,0
2003	22008	Albalatillo		1284,0	1284,0	8346,0	8346,0
2003	22009	Albelda		9559,0	9518,0	76147,0	76147,0
2003	22011	Albero Alto		1226,0	1204,0	5901,0	5901,0
2003	22012	Albero Bajo		1966,0	1884,0	16203,0	16203,0
2003	22013	Alberuela de Tubo		3020,0	2947,0	22095,0	22095,0
2003	22014	Alcalá de Gurrea		4920,0	4907,0	31893,0	31893,0
2003	22015	Alcalá del Obispo		3524,0	3458,0	10373,0	10373,0
2003	22016	Alcampell		4871,0	4675,0	32723,0	32723,0
2003	22017	Alcolea de Cinca		10993,0	10607,0	84853,0	84853,0
2003	22018	Alcubierre		4746,0	4111,0	25075,0	25075,0
2003	22019	Alerre		611,0	611,0	3974,0	3974,0
2003	22020	Alfántega		1248,0	1217,0	7304,0	7304,0
2003	22021	Almudévar		17189,0	17083,0	85552,0	85552,0
2003	22022	Almunia de San Juan		2559,0	2503,0	21280,0	21280,0
2003	22023	Almuniente		7763,0	7713,0	40855,0	40855,0
2003	22024	Alquézar		696,0	660,0	5276,0	5276,0
2003	22025	Altorricón		6591,0	6587,0	53616,0	53616,0
2003	22027	Angüés		2102,0	2073,0	10366,0	10366,0
2003	22028	Ansó		2430,0	2430,0	14577,0	14577,0
2003	22029	Antillón		987,0	933,0	7932,0	7932,0
2003	22032	Aragüés del Puerto		1132,0	1068,0	6410,0	6410,0
2003	22035	Arén		1858,0	1713,0	10278,0	10278,0
2003	22036	Argavieso		838,0	773,0	4252,0	4252,0
2003	22037	Arguis		637,0	365,0	3107,0	3107,0
2003	22039	Ayerbe		3003,0	2861,0	17739,0	17739,0
2003	22040	Azanuy-Alins		1094,0	1034,0	7753,0	7753,0
2003	22041	Azara		584,0	571,0	1884,0	1884,0
2003	22042	Azlor		531,0	529,0	2114,0	2114,0
2003	22043	Baells		1035,0	1034,0	3100,0	3100,0
2003	22044	Bailo		3267,0	2681,0	17429,0	17429,0
2003	22045	Baldellou		589,0	538,0	1613,0	1613,0
2003	22046	Ballobar		5992,0	5433,0	29334,0	29334,0
2003	22047	Banastás		311,0	302,0	1815,0	1815,0
2003	22048	Barbastro		11094,0	10684,0	80044,0	80044,0
2003	22049	Barbués		2866,0	2825,0	12149,0	12149,0
2003	22050	Barbuñales		584,0	584,0	4087,0	4087,0
2003	22051	Bárcabo		1193,0	1178,0	6245,0	6245,0
2003	22052	Belver de Cinca		14283,0	14033,0	65933,0	65933,0
2003	22053	Benabarre		3762,0	3734,0	32116,0	32116,0
2003	22054	Benasque		1141,0	432,0	1943,0	1943,0
2003	22055	Berbegal		3381,0	3272,0	22907,0	22907,0
2003	22057	Bielsa		3659,0	339,0	3055,0	3055,0
2003	22058	Bierge		1673,0	1608,0	10454,0	10454,0
2003	22059	Biescas		3620,0	1749,0	8743,0	8743,0
2003	22060	Binaced		16711,0	16456,0	115189,0	115189,0
2003	22061	Binéfar		4279,0	4091,0	19965,0	19965,0
2003	22062	Bisaurri		498,0	281,0	1058,0	1058,0
2003	22063	Biscarrués		1497,0	1462,0	7232,0	7232,0
2003	22064	Blecua y Torres		1785,0	1748,0	14856,0	14856,0
2003	22066	Boltaña		2097,0	1837,0	11939,0	11939,0
2003	22067	Bonansa		367,0	363,0	2178,0	2178,0
2003	22068	Borau		913,0	190,0	570,0	570,0
2003	22069	Broto		1668,0	1132,0	7021,0	7021,0
2003	22072	Caldearenas		2249,0	1718,0	11170,0	11170,0
2003	22074	Campo		653,0	442,0	1327,0	1327,0
2003	22075	Camporrells		737,0	623,0	3108,0	3108,0
2003	22076	Canal de Berdún		3351,0	2392,0	15551,0	15551,0
2003	22077	Candasnos		3859,0	2940,0	8821,0	8821,0
2003	22078	Canfranc		686,0	70,0	350,0	350,0
2003	22079	Capdesaso		1616,0	1233,0	6165,0	6165,0
2003	22080	Capella		1033,0	1029,0	8231,0	8231,0
2003	22081	Casbas de Huesca		2698,0	2667,0	16004,0	16004,0
2003	22082	Castejón del Puente		2596,0	2589,0	11133,0	11133,0
2003	22083	Castejón de Monegros		6526,0	5821,0	34922,0	34922,0
2003	22084	Castejón de Sos		569,0	517,0	4109,0	4109,0
2003	22085	Castelflorite		3975,0	3950,0	17774,0	17774,0
2003	22086	Castiello de Jaca		364,0	288,0	1692,0	1692,0
2003	22087	Castigaleu		553,0	553,0	3869,0	3869,0
2003	22088	Castillazuelo		570,0	568,0	3123,0	3123,0
2003	22089	Castillonroy		1400,0	1346,0	3981,0	3981,0
2003	22090	Colungo		466,0	365,0	2093,0	2093,0
2003	22094	Chalamera		1774,0	1753,0	10169,0	10169,0
2003	22095	Chía		209,0	120,0	654,0	654,0
2003	22096	Chimillas		814,0	793,0	4759,0	4759,0
2003	22099	Esplús		15065,0	15064,0	120488,0	120488,0
2003	22102	Estada		424,0	423,0	2752,0	2752,0
2003	22103	Estadilla		2911,0	2859,0	16550,0	16550,0
2003	22105	Estopiñán del Castillo		1654,0	1493,0	11942,0	11942,0
2003	22106	Fago		44,0	44,0	264,0	264,0
