Año	Provincia código	Provincia nombre	Rústica   Número de recibos	Rústica   Base imponible (miles de euros)	Rústica   Base liquidable (miles de euros)	Rústica   Cuota íntegra (euros)	Rústica   Cuota líquida (euros)
2003	22	Huesca		772415,0	725173,0	4572862,0	4572862,0
2003	44	Teruel		342894,0	282287,0	1595288,0	1595288,0
2003	50	Zaragoza		961772,0	868818,0	5170728,0	5170728,0
2004	22	Huesca		799054,0	746327,0	4850206,0	4742356,0
2004	44	Teruel		350923,0	270877,0	1632567,0	1632567,0
2004	50	Zaragoza		998920,0	897293,0	5451630,0	5446368,0
2005	22	Huesca	52293,0	819226,0	765159,0	4974420,0	4861870,0
2005	44	Teruel	144629,0	357911,0	276034,0	1695911,0	1680846,0
2005	50	Zaragoza	156098,0	1024792,0	920430,0	5674638,0	5651761,0
2006	22	Huesca	52012,0	788626,0		5272997,0	5145092,0
2006	44	Teruel	143659,0	311195,0		1904893,0	1589075,0
2006	50	Zaragoza	146808,0	940812,0		5866482,0	5809792,0
2007	22	Huesca	51750,0	871915,0	840810,0	5710765,0	5584255,0
2007	44	Teruel	142568,0	391143,0	382506,0	2416878,0	1875173,0
2007	50	Zaragoza	155729,0	1056512,0	953399,0	5969415,0	5955124,0
2008	22	Huesca	52215,0	905696,0	872239,0	6041359,0	5911177,0
2008	44	Teruel	146801,0	407982,0	395910,0	2522055,0	2072100,0
2008	50	Zaragoza	156359,0	1115727,0	1019888,0	6458385,0	6360271,0
2009	22	Huesca	76747,0	1006133,0	973986,0	6733872,0	6373182,0
2009	44	Teruel	148310,0	437822,0	416893,0	2705809,0	2272784,0
2009	50	Zaragoza	155966,0	1204022,0	1145414,0	7408231,0	7085474,0
2010	22	Huesca	72006,0	1056754,0	1000366,0	6979641,0	6593581,0
2010	44	Teruel	149247,0	463053,0	436106,0	2875221,0	2403097,0
2010	50	Zaragoza	157146,0	1279431,0	1195803,0	7740685,0	7408614,0
2011	22	Huesca	64726,0	1084773,0	1069957,0	7487247,0	6988249,0
2011	44	Teruel	148466,0	472218,0	464847,0	3059938,0	2484992,0
2011	50	Zaragoza	157067,0	1318844,0	1219016,0	7904751,0	7595084,0
2012	22	Huesca	78066,0	1090956,0	1054738,0	7569077,0	7279490,0
2012	44	Teruel	148457,0	457936,0	457936,0	3016683,0	2896024,0
2012	50	Zaragoza	183891,0	1195945,0	1143707,0	7530879,0	7386860,0
2013	22	Huesca	78225,0	1178508,0	1141579,0	8168916,0	7854291,0
2013	44	Teruel	150359,0	461194,0	461194,0	3054077,0	2739650,0
2013	50	Zaragoza	188726,0	1783584,0	1621900,0	10880277,0	10842288,0
2014	22	Huesca	78354,0	1226572,0	1198027,0	8477042,0	8058236,0
2014	44	Teruel	147255,0	497784,0	480799,0	3208359,0	2778946,0
2014	50	Zaragoza	149200,0	1609189,0	1563709,0	10458098,0	10345177,0
2015	22	Huesca	54906,0	1326035,0	1215821,0	8648236,0	8646462,0
2015	44	Teruel	148893,0	537930,0	452225,0	3061114,0	2760509,0
2015	50	Zaragoza	149816,0	1759035,0	1722092,0	11530647,0	11206386,0
2016	22	Huesca	55575,0	1463368,54	1333478,83	9322496,0	8429931,0
2016	44	Teruel	149719,0	575502,69	517766,49	3408079,0	2896748,0
2016	50	Zaragoza	148814,0	1854931,24	1821756,37	12079979,0	11500604,0
2017	22	Huesca	55521,0	1544200,0	1519677,0	10644805,0	10426648,0
2017	44	Teruel	150072,0	581405,0	581405,0	3789202,0	2932952,0
2017	50	Zaragoza	175168,0	1981943,0	1909283,0	12590131,0	11945374,0
2018	22	Huesca	83775,0	1658916,0	1624125,0	11215728,0	10826954,0
2018	44	Teruel	150782,0	534858,0	449507,0	2773548,0	2461760,0
2018	50	Zaragoza	149536,0	2100258,0	2041574,0	13439694,0	12687783,0
2019	22	Huesca	83843,0	1722223,0	1693188,0	11567052,0	11220676,0
2019	44	Teruel	150991,0	703580,0	617791,0	3994828,0	3525993,0
2019	50	Zaragoza	150060,0	2045924,0	2005941,0	13116751,0	13007492,0
