Año	Municipio código	Municipio nombre	Total ingresos	Impuestos directos	Impuestos indirectos	Tasas y otros ingresos	Transferencias corrientes	Ingresos patrimoniales	Enajenación inversiones reales	Transferencias de capital	Activos financieros	Pasivos financieros	Tipo de presupuesto	Estado de la información
2004	22001	Abiego	352777,84	44200,0	6000,0	44600,0	75384,64	16800,0	15000,0	89861,81	0,0	60931,39	Presupuestos	Consolidada
2004	22002	Abizanda	568291,66	150400,0	1500,0	41110,0	96700,0	23212,0	0,0	255369,66	0,0	0,0	Presupuestos	Consolidada
2004	22003	Adahuesca	424902,02	26700,0	0,0	51700,0	40962,59	44481,8	0,0	184560,0	0,0	76497,63	Presupuestos	Consolidada
2004	22004	Agüero	380270,0	19500,0	11000,0	213020,0	77200,0	20170,0	0,0	39380,0	0,0	0,0	Presupuestos	Consolidada
2004	22006	Aísa	1207722,34	490499,52	45000,0	116725,06	147473,0	28288,76	0,0	379736,0	0,0	0,0	Presupuestos	Consolidada
2004	22007	Albalate de Cinca	910336,57	170123,19	23000,0	112650,0	228939,85	1100,0	0,0	249523,53	0,0	125000,0	Presupuestos	Consolidada
2004	22008	Albalatillo	174730,0	29890,0	3000,0	20750,0	49640,0	150,0	0,0	71300,0	0,0	0,0	Presupuestos	Consolidada
2004	22009	Albelda	1079167,58	156680,48	17000,0	124167,82	235684,19	14150,0	120202,42	342571,95	0,0	68710,72	Presupuestos	Consolidada
2004	22011	Albero Alto	379816,48	12538,19	2500,0	9221,36	32058,62	7900,66	0,0	315597,65	0,0	0,0	Presupuestos	Consolidada
2004	22012	Albero Bajo	195640,0	32500,0	8000,0	16225,0	29730,0	12850,0	10000,0	86335,0	0,0	0,0	Presupuestos	Consolidada
2004	22013	Alberuela de Tubo	500220,0	52730,0	950,0	23730,0	119160,0	9650,0	0,0	294000,0	0,0	0,0	Presupuestos	Consolidada
2004	22014	Alcalá de Gurrea											Presupuestos	Sin información
2004	22015	Alcalá del Obispo											Presupuestos	Sin información
2004	22016	Alcampell	934727,63	148421,38	10000,0	110774,06	149800,0	27732,02	0,0	42580,0	0,0	445420,17	Presupuestos	Consolidada
2004	22017	Alcolea de Cinca	1632534,62	255733,57	22000,0	167397,38	285240,48	21700,0	0,0	880463,19	0,0	0,0	Presupuestos	Consolidada
2004	22018	Alcubierre	341152,0	77500,0	7000,0	75263,0	81176,0	22001,0	14881,0	33331,0	0,0	30000,0	Presupuestos	Consolidada
2004	22019	Alerre	275000,0	33100,0	10000,0	16600,0	51100,0	600,0	0,0	163600,0	0,0	0,0	Presupuestos	Consolidada
2004	22020	Alfántega	140390,0	21830,0	7800,0	10616,0	34275,89	5739,91	0,0	60128,2	0,0	0,0	Presupuestos	Consolidada
2004	22021	Almudévar	2076403,43	463054,0	90763,0	313907,73	490910,76	9202,73	57550,85	349727,0	1287,36	300000,0	Presupuestos	Consolidada
2004	22022	Almunia de San Juan											Presupuestos	Sin información
2004	22023	Almuniente	419891,44	99197,13	0,0	42033,21	125459,28	7721,01	30103,09	57500,0	0,0	57877,72	Presupuestos	Consolidada
2004	22024	Alquézar	1192770,0	43717,0	17000,0	72700,0	260954,0	21400,0	372000,0	404999,0	0,0	0,0	Presupuestos	Consolidada
2004	22025	Altorricón	1286045,0	253737,0	38200,0	314508,0	281000,0	3000,0	6000,0	389600,0	0,0	0,0	Presupuestos	Consolidada
2004	22027	Angüés	331870,3	54103,18	0,0	65595,49	90207,76	6968,46	0,0	114995,41	0,0	0,0	Presupuestos	Consolidada
2004	22028	Ansó	1411548,49	54850,0	5820,0	15055,0	324590,0	84783,49	0,0	809600,0	0,0	116850,0	Presupuestos	Consolidada
2004	22029	Antillón	177811,0	21051,0	0,0	27760,0	43146,0	21890,0	0,0	63964,0	0,0	0,0	Presupuestos	Consolidada
2004	22032	Aragüés del Puerto	167700,0	19500,0	6700,0	7400,0	34500,0	24600,0	0,0	75000,0	0,0	0,0	Presupuestos	Consolidada
2004	22035	Arén	540200,0	56000,0	0,0	52700,0	111200,0	300,0	0,0	320000,0	0,0	0,0	Presupuestos	Consolidada
2004	22036	Argavieso											Presupuestos	Sin información
