Año	Comarca código	Comarca nombre	Tipo de presupuesto	Estado de la información	Total gastos	Gastos de personal	Gastos en bienes corrientes y servicios	Gastos financieros	Transferencias corrientes	Gastos, fondo de contingencia	Inversiones reales	Transferencias de capital	Activos financieros	Pasivos financieros
2004	01	La Jacetania	Presupuestos	Consolidada	4310700,0	1169950,0	1042600,0	15000,0	678650,0		712500,0	677000,0	0,0	15000,0
2004	02	Alto Gállego	Presupuestos	Consolidada	3781061,8	1373307,5	1473680,1	68577,4	351492,0		288713,3	198058,2	0,0	27233,4
2004	03	Sobrarbe	Presupuestos	Consolidada	4010662,4	1481000,0	1111128,9	1801,0	100600,0		1252131,5	64001,0	0,0	0,0
2004	04	La Ribagorza	Presupuestos	Consolidada	3847186,0	1479900,0	870200,0	1200,0	546450,0		703436,0	246000,0	0,0	0,0
2004	05	Cinco Villas	Presupuestos	Consolidada	5303557,0	223700,0	1084200,0	0,0	1390820,0		506347,0	2098490,0	0,0	0,0
2004	06	Hoya de Huesca / Plana de Uesca	Presupuestos	Consolidada	6719772,8	1535946,0	1211950,9	6000,0	2206101,4		1759774,5	0,0	0,0	0,0
2004	07	Somontano de Barbastro	Presupuestos	Consolidada	4487844,3	2010678,0	854256,6	9500,0	333612,9		1134638,8	134157,8	0,0	11000,0
2004	08	Cinca Medio	Presupuestos	Consolidada	3803800,0	1277900,0	855000,0	9000,0	539100,0		411800,0	696000,0	0,0	15000,0
2004	09	La Litera / La Llitera	Presupuestos	Consolidada	4239193,5	2070662,0	1190424,4	0,0	270500,0		407101,0	300506,1	0,0	0,0
2004	10	Los Monegros	Presupuestos	Consolidada	5968265,0	805798,7	2143581,1	9915,5	2192607,7		795494,2	0,0	0,0	20867,9
2004	11	Bajo Cinca / Baix Cinca	Presupuestos	Sin información										
2004	12	Tarazona y el Moncayo	Presupuestos	Consolidada	3055900,0	624020,0	1211860,0	0,0	737020,0		483000,0	0,0	0,0	0,0
2004	13	Campo de Borja	Presupuestos	Consolidada	3904239,6	979183,1	717261,8	1,0	440775,6		1690957,4	76060,7	0,0	0,0
2004	14	Aranda	Presupuestos	Sin información										
2004	15	Ribera Alta del Ebro	Presupuestos	Consolidada	3671393,5	1460995,9	1019950,7	3000,0	283929,0		578138,4	325379,5	0,0	0,0
2004	16	Valdejalón	Presupuestos	Consolidada	1097982,6	446516,4	264305,2	13645,8	9015,2		331595,1	0,0	0,0	32904,9
2004	18	Ribera Baja del Ebro	Presupuestos	Consolidada	2664039,1	576887,9	972786,5	0,0	329835,6		258977,3	525551,8	0,0	0,0
2004	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Presupuestos	Sin información										
2004	20	Comunidad de Calatayud	Presupuestos	Consolidada	4368396,0	632486,0	854500,0	0,0	1444000,0		471410,0	960000,0	6000,0	0,0
2004	21	Campo de Cariñena	Presupuestos	Consolidada	4142015,1	373600,0	713900,0	26875,1	329504,0		1617000,0	1081136,0	0,0	0,0
2004	22	Campo de Belchite	Presupuestos	Consolidada	1606115,0	308651,8	401598,7	1020,0	879779,4		15065,1	0,0	0,0	0,0
2004	23	Bajo Martín	Presupuestos	Consolidada	1824760,7	242373,8	598414,4	950,0	229673,2		290209,6	452539,7	0,0	10600,0
2004	24	Campo de Daroca	Presupuestos	Sin información										
2004	25	Jiloca	Presupuestos	Consolidada	3915850,8	873691,9	407274,0	0,0	1223759,6		908004,7	503120,7	0,0	0,0
2004	26	Cuencas Mineras	Presupuestos	Consolidada	2587477,5	258366,1	243792,3	0,0	1010458,4		1074860,7	0,0	0,0	0,0
2004	27	Andorra-Sierra de Arcos	Presupuestos	Consolidada	2397050,0	567847,4	647521,0	3005,0	358644,8		420031,8	400000,0	0,0	0,0
2004	28	Bajo Aragón	Presupuestos	Consolidada	3655607,3	1446668,5	726355,6	5000,0	757016,5		684566,8	36000,0	0,0	0,0
2004	29	Comunidad de Teruel	Presupuestos	Consolidada	3643138,1	128053,9	254707,3	0,0	2500153,5		0,0	760223,3	0,0	0,0
2004	30	Maestrazgo	Presupuestos	Consolidada	2001043,0	494908,2	324494,8	308,9	308924,4		277819,9	592666,8	0,0	1920,0
2004	31	Sierra de Albarracín	Presupuestos	Consolidada	3163420,6	312825,2	424061,0	0,0	676716,0		1742032,0	7786,4	0,0	0,0
2004	32	Gúdar-Javalambre	Presupuestos	Consolidada	1969727,1	167684,0	154292,3	0,0	918782,0		224225,8	504743,0	0,0	0,0
2004	33	Matarraña / Matarranya	Presupuestos	Consolidada	3217150,0	536856,0	588745,0	2600,0	516177,0		1306772,0	266000,0	0,0	0,0
2005	01	La Jacetania	Presupuestos	Consolidada	4664350,2	1571024,9	935851,0	15450,0	751500,0		684080,0	676444,2	0,0	30000,0
2005	02	Alto Gállego	Presupuestos	Consolidada	4096000,0	1647321,3	1372058,8	60001,5	580886,6		206500,0	156608,4	0,0	72623,4
2005	03	Sobrarbe	Presupuestos	Consolidada	4520011,9	1423600,0	1191403,7	2201,0	20600,0		1617620,6	264586,6	0,0	0,0
2005	04	La Ribagorza	Presupuestos	Consolidada	3922547,0	1534510,0	837162,0	1200,0	543905,0		677270,0	328500,0	0,0	0,0
