Año	Municipio código	Municipio nombre	Tipo de presupuesto	Estado de la información	Área gastos, total	Área gastos, deuda pública	Área gastos, servicios públicos básicos	Área gastos, actuaciones protección y promoción social	Área gastos, producción bienes públicos carácter preferente	Área gastos, actuaciones carácter económico	Área gastos, actuaciones carácter general
2010	22001	Abiego	Presupuestos	Consolidada	460940,9	15065,0	208678,0	14942,84	98973,0	7000,0	116282,06
2010	22002	Abizanda	Presupuestos	Consolidada	628412,25	0,0	0,0	26000,0	476150,66	0,0	126261,59
2010	22003	Adahuesca	Presupuestos	Consolidada	430890,57	6005,0	87816,0	2010,0	157747,98	56542,0	120769,59
2010	22004	Agüero	Presupuestos	Consolidada	374864,0	51400,0	90314,0	139000,0	10200,0	0,0	83950,0
2010	22006	Aísa	Presupuestos	Consolidada	1014715,04	61767,13	257163,03	630,0	34530,0	165374,77	495250,11
2010	22007	Albalate de Cinca	Presupuestos	Consolidada	1394842,05	71354,31	366926,0	61200,0	551873,96	103514,26	239973,52
2010	22008	Albalatillo	Presupuestos	Consolidada	294371,0	6250,0	0,0	7450,0	211561,0	0,0	69110,0
2010	22009	Albelda	Presupuestos	Consolidada	1060720,0	54891,76	340723,99	0,0	200193,22	228071,75	236839,28
2010	22011	Albero Alto	Presupuestos	Consolidada	223685,75	0,0	90776,95	0,0	61743,64	46565,31	24599,85
2010	22012	Albero Bajo	Presupuestos	Consolidada	153425,0	4050,0	42395,0	0,0	7000,0	99980,0	0,0
2010	22013	Alberuela de Tubo	Presupuestos	Consolidada	434051,0	10800,0	0,0	15394,0	310276,0	9000,0	88581,0
2010	22014	Alcalá de Gurrea	Presupuestos	Consolidada	963731,0	0,0	348515,0	125518,0	304465,0	13700,0	171533,0
2010	22015	Alcalá del Obispo	Presupuestos	Clasificación Económica de la Administración General							
2010	22016	Alcampell	Presupuestos	Consolidada	645498,0	66500,0	89000,0	52000,0	118348,0	81840,0	237810,0
2010	22017	Alcolea de Cinca	Presupuestos	Consolidada	1322262,91	80138,06	107077,45	60300,0	555960,41	53500,0	465286,99
2010	22018	Alcubierre	Presupuestos	Consolidada	571532,75	32761,96	56738,74	6939,56	258492,65	34200,0	182399,84
2010	22019	Alerre	Presupuestos	Consolidada	402305,06	491,93	314045,71	0,0	19741,5	8000,0	60025,92
2010	22020	Alfántega	Presupuestos	Sin información							
2010	22021	Almudévar	Presupuestos	Consolidada	3433954,0	190734,77	315300,0	484592,12	1168428,36	49000,0	1225898,75
2010	22022	Almunia de San Juan	Presupuestos	Consolidada	639526,0	24737,01	121256,0	30500,0	315429,67	0,0	147603,32
2010	22023	Almuniente	Presupuestos	Consolidada	895909,06	67871,62	0,0	0,0	45000,0	483811,97	299225,47
2010	22024	Alquézar	Presupuestos	Consolidada	904486,64	0,0	505115,13	28148,7	198336,96	12005,0	160880,85
2010	22025	Altorricón	Presupuestos	Consolidada	1543545,0	70000,0	499349,0	7000,0	647999,0	57000,0	262197,0
2010	22027	Angüés	Presupuestos	Consolidada	508242,14	11000,0	0,0	20955,71	293660,45	15000,0	167625,98
2010	22028	Ansó	Presupuestos	Consolidada	905280,0	18700,0	0,0	26430,0	87000,0	479700,0	293450,0
2010	22029	Antillón	Presupuestos	Consolidada	326060,46	19927,15	0,0	0,0	39745,3	22200,0	244188,01
2010	22032	Aragüés del Puerto	Presupuestos	Consolidada	258792,0	17700,0	116767,0	0,0	20000,0	0,0	104325,0
2010	22035	Arén	Presupuestos	Sin información							
2010	22036	Argavieso	Presupuestos	Consolidada	155130,0	3510,0	17900,0	0,0	103080,0	500,0	30140,0
2010	22037	Arguis	Presupuestos	Sin información							
2010	22039	Ayerbe	Presupuestos	Consolidada	2360842,23	78778,0	1543183,92	0,0	59600,0	6000,0	673280,31
2010	22040	Azanuy-Alins	Presupuestos	Sin información							
2010	22041	Azara	Presupuestos	Consolidada	387400,0	3600,0	107900,0	1000,0	213300,0	5000,0	56600,0
2010	22042	Azlor	Presupuestos	Consolidada	572665,0	11450,0	347900,0	54900,0	98350,0	0,0	60065,0
2010	22043	Baells	Presupuestos	Sin información							
2010	22044	Bailo	Presupuestos	Consolidada	638300,54	68648,59	0,0	30005,14	210642,84	152074,69	176929,28
2010	22045	Baldellou	Presupuestos	Sin información							
2010	22046	Ballobar	Presupuestos	Sin información							
2010	22047	Banastás	Presupuestos	Consolidada	134453,88	0,0	20000,0	0,0	44441,5	3200,0	66812,38
2010	22048	Barbastro	Presupuestos	Consolidada	16057610,47	1422993,75	5257224,09	1781196,86	4107002,8	565071,54	2924121,43
2010	22049	Barbués	Presupuestos	Consolidada	205553,76	100,0	26500,0	4800,0	5700,0	146553,76	21900,0
2010	22050	Barbuñales	Presupuestos	Consolidada	221213,0	2935,0	189643,0	2950,0	6400,0	0,0	19285,0
2010	22051	Bárcabo	Presupuestos	Consolidada	329147,8	5096,0	88287,55	9600,08	167101,11	0,0	59063,06
2010	22052	Belver de Cinca	Presupuestos	Sin información							
2010	22053	Benabarre	Presupuestos	Consolidada	3364045,0	147800,0	874883,17	1082500,0	830083,51	200535,0	228243,32
2010	22054	Benasque	Presupuestos	Consolidada	4165500,0	371600,0	1362800,0	400000,0	1047420,0	185000,0	798680,0
2010	22055	Berbegal	Presupuestos	Sin información							
2010	22057	Bielsa	Presupuestos	Consolidada	1443312,8	0,0	486050,0	15600,0	145272,0	25368,0	771022,8
2010	22058	Bierge	Presupuestos	Consolidada	970270,08	0,0	0,0	25000,0	43000,0	713600,08	188670,0
2010	22059	Biescas	Presupuestos	Consolidada	3287000,0	258878,28	620467,63	686032,0	318525,0	115500,0	1287597,09
2010	22060	Binaced	Presupuestos	Consolidada	1475282,71	44034,95	709481,89	93512,95	157700,0	71000,0	399552,92
2010	22061	Binéfar	Presupuestos	Consolidada	7421648,43	408323,37	2411036,44	39853,37	2308194,0	174098,17	2080143,08
2010	22062	Bisaurri	Presupuestos	Consolidada	318032,84	0,0	24500,0	0,0	15643,52	55000,0	222889,32
2010	22063	Biscarrués	Presupuestos	Consolidada	220300,0	9600,0	41000,0	9150,0	38000,0	18000,0	104550,0
2010	22064	Blecua y Torres	Presupuestos	Consolidada	341636,73	28704,07	0,0	16000,0	33302,42	3600,0	260030,24
2010	22066	Boltaña	Presupuestos	Consolidada	2136681,35	15907,08	2260,1	138000,0	1768971,35	0,0	211542,82
2010	22067	Bonansa	Presupuestos	Consolidada	258470,0	7100,0	94150,0	2980,0	79025,0	3200,0	72015,0
2010	22068	Borau	Presupuestos	Consolidada	137377,42	0,0	5041,32	11661,09	54691,86	32544,1	33439,05
2010	22069	Broto	Presupuestos	Consolidada	998146,2	54450,0	192523,16	40000,0	38994,8	162278,24	509900,0
2010	22072	Caldearenas	Presupuestos	Consolidada	415549,0	0,0	110842,0	23356,0	18550,0	59651,0	203150,0
2010	22074	Campo	Presupuestos	Consolidada	675180,0	71600,0	62840,0	39400,0	160200,0	52000,0	289140,0
2010	22075	Camporrells	Presupuestos	Sin información							
2010	22076	Canal de Berdún	Presupuestos	Sin información							
2010	22077	Candasnos	Presupuestos	Sin información							
2010	22078	Canfranc	Presupuestos	Clasificación Económica de la Administración General							
2010	22079	Capdesaso	Presupuestos	Consolidada	379502,01	28765,19	7521,87	0,0	297882,52	0,0	45332,43
2010	22080	Capella	Presupuestos	Consolidada	285850,0	0,0	0,0	0,0	0,0	0,0	285850,0
2010	22081	Casbas de Huesca	Presupuestos	Consolidada	445329,4	11505,0	72000,0	107,21	224495,45	0,0	137221,74
2010	22082	Castejón del Puente	Presupuestos	Consolidada	786287,44	13104,04	0,0	0,0	423046,41	155003,79	195133,2
2010	22083	Castejón de Monegros	Presupuestos	Consolidada	860585,15	40646,56	0,0	67626,56	29934,24	299204,67	423173,12
2010	22084	Castejón de Sos	Presupuestos	Consolidada	1721107,0	57667,0	311215,0	630799,0	321436,0	0,0	399990,0
2010	22085	Castelflorite	Presupuestos	Consolidada	376974,0	6812,0	0,0	5684,0	286945,0	0,0	77533,0
2010	22086	Castiello de Jaca	Presupuestos	Consolidada	788266,57	4400,0	403426,67	47200,0	156303,63	64800,0	112136,27
2010	22087	Castigaleu	Presupuestos	Consolidada	201660,6	0,0	0,0	0,0	0,0	0,0	201660,6
2010	22088	Castillazuelo	Presupuestos	Consolidada	366529,36	38600,02	0,0	0,0	132673,24	136191,95	59064,15
2010	22089	Castillonroy	Presupuestos	Consolidada	474500,0	0,0	311000,0	500,0	52000,0	69000,0	42000,0
2010	22090	Colungo	Presupuestos	Consolidada	178320,0	27200,0	150,0	2300,0	106289,92	0,0	42380,08
2010	22094	Chalamera	Presupuestos	Sin información							
2010	22095	Chía	Presupuestos	Consolidada	211409,63	0,0	83795,84	0,0	37106,83	0,0	90506,96
2010	22096	Chimillas	Presupuestos	Consolidada	165492,24	0,0	23745,69	0,0	24641,5	0,0	117105,05
2010	22099	Esplús	Presupuestos	Consolidada	678497,0	0,0	152798,36	1900,0	217823,86	142119,64	163855,14
2010	22102	Estada	Presupuestos	Consolidada	239035,39	0,0	72584,47	0,0	23454,49	0,0	142996,43
2010	22103	Estadilla	Presupuestos	Consolidada	2789870,37	108355,6	790234,0	25040,16	377498,28	30601,44	1458140,89
2010	22105	Estopiñán del Castillo	Presupuestos	Consolidada	340966,27	16000,0	55391,04	20000,0	31250,11	0,0	218325,12
2010	22106	Fago	Presupuestos	Consolidada	122250,0	3450,0	0,0	0,0	95100,0	0,0	23700,0
2010	22107	Fanlo	Presupuestos	Consolidada	681219,0	0,0	586169,0	8000,0	4000,0	0,0	83050,0
2010	22109	Fiscal	Presupuestos	Consolidada	937162,44	39909,28	0,0	22500,0	644857,0	35100,0	194796,16
2010	22110	Fonz	Presupuestos	Consolidada	1136855,0	53611,0	3650,0	0,0	639000,0	16000,0	424594,0
2010	22111	Foradada del Toscar	Presupuestos	Clasificación Económica de la Administración General							
2010	22112	Fraga	Presupuestos	Consolidada	12804100,0	745600,0	4622700,0	122000,0	3270200,0	1242100,0	2801500,0
2010	22113	Fueva (La)	Presupuestos	Consolidada	984705,0	468705,0	280800,0	4300,0	11400,0	73800,0	145700,0
2010	22114	Gistaín	Presupuestos	Sin información							
2010	22115	Grado (El)	Presupuestos	Consolidada	915600,0	108750,0	326400,0	37200,0	149500,0	65400,0	228350,0
2010	22116	Grañén	Presupuestos	Consolidada	1988529,32	306098,15	364896,0	105911,0	390145,17	4550,0	816929,0
2010	22117	Graus	Presupuestos	Consolidada	5893825,0	309749,0	1043343,0	1328224,0	1707066,0	796425,0	709018,0
2010	22119	Gurrea de Gállego	Presupuestos	Consolidada	1912750,0	114900,0	807600,0	326900,0	323900,0	40100,0	299350,0
2010	22122	Hoz de Jaca	Presupuestos	Consolidada	256196,0	4000,0	22100,0	15500,0	0,0	122314,0	92282,0
2010	22124	Huerto	Presupuestos	Consolidada	736064,49	27431,68	0,0	14565,18	565547,62	0,0	128520,01
2010	22125	Huesca	Presupuestos	Consolidada	50732718,17	3348533,65	21284502,56	7976236,85	9446281,61	1409637,4	7267526,1
2010	22126	Ibieca	Presupuestos	Consolidada	123868,24	560,0	76272,0	3725,0	8807,24	0,0	34504,0
2010	22127	Igriés	Presupuestos	Consolidada	398645,0	500,0	215245,0	23000,0	75500,0	0,0	84400,0
2010	22128	Ilche	Presupuestos	Consolidada	235991,92	7150,0	50768,41	12300,0	152499,51	12200,0	1074,0
2010	22129	Isábena	Presupuestos	Consolidada	518552,95	15790,78	322765,86	32981,54	71386,44	1480,0	74148,33
2010	22130	Jaca	Presupuestos	Consolidada	20010856,0	2210147,0	7101838,0	613851,0	4722762,0	2454220,0	2908038,0
2010	22131	Jasa	Presupuestos	Consolidada	225836,64	10250,0	89189,0	0,0	11000,0	0,0	115397,64
2010	22133	Labuerda	Presupuestos	Consolidada	301695,6	3310,0	0,0	15000,0	179362,49	0,0	104023,11
2010	22135	Laluenga	Presupuestos	Consolidada	594520,0	0,0	0,0	15120,0	62000,0	366400,0	151000,0
2010	22136	Lalueza	Presupuestos	Consolidada	922363,01	56800,0	212000,0	0,0	241377,45	27000,0	385185,56
2010	22137	Lanaja	Presupuestos	Consolidada	1330592,62	11500,0	581156,13	78332,64	251708,6	0,0	407895,25
2010	22139	Laperdiguera	Presupuestos	Consolidada	288700,0	0,0	0,0	5000,0	45200,0	198160,0	40340,0
2010	22141	Lascellas-Ponzano	Presupuestos	Consolidada	651858,63	12550,0	0,0	6150,0	58000,0	484058,63	91100,0
2010	22142	Lascuarre	Presupuestos	Consolidada	315400,0	0,0	0,0	0,0	0,0	0,0	315400,0
2010	22143	Laspaúles	Presupuestos	Sin información							
2010	22144	Laspuña	Presupuestos	Consolidada	405000,0	22300,0	125567,0	900,0	37200,0	34927,0	184106,0
2010	22149	Loarre	Presupuestos	Consolidada	356416,11	8550,0	100960,0	33447,7	27349,63	2000,0	184108,78
2010	22150	Loporzano	Presupuestos	Clasificación Económica de la Administración General							
2010	22151	Loscorrales	Presupuestos	Consolidada	198850,0	8235,0	136100,0	0,0	28830,0	0,0	25685,0
2010	22155	Monesma y Cajigar	Presupuestos	Consolidada	112971,63	0,0	0,0	0,0	0,0	0,0	112971,63
2010	22156	Monflorite-Lascasas	Presupuestos	Consolidada	468373,0	6100,0	226250,0	41078,0	27000,0	1000,0	166945,0
2010	22157	Montanuy	Presupuestos	Consolidada	1747200,0	1300,0	323000,0	82300,0	177900,0	843100,0	319600,0
2010	22158	Monzón	Presupuestos	Consolidada	20363916,53	2077500,0	7135702,96	2848059,4	4157726,67	307050,0	3837877,5
2010	22160	Naval	Presupuestos	Consolidada	745647,97	10280,0	52100,0	0,0	51000,0	471170,12	161097,85
2010	22162	Novales	Presupuestos	Consolidada	282211,93	5350,0	150548,5	0,0	65777,35	21862,5	38673,58
2010	22163	Nueno	Presupuestos	Consolidada	1089074,0	500,0	599330,0	52000,0	255494,0	3000,0	178750,0
2010	22164	Olvena	Presupuestos	Consolidada	203161,25	0,0	145000,0	3338,64	2510,0	0,0	52312,61
2010	22165	Ontiñena	Presupuestos	Consolidada	421395,29	11200,0	40310,0	38800,0	46165,29	77600,0	207320,0
2010	22167	Osso de Cinca	Presupuestos	Consolidada	733808,32	16089,41	162400,98	42000,0	151792,79	18000,0	343525,14
2010	22168	Palo	Presupuestos	Consolidada	311379,0	110103,2	52550,0	1100,0	66000,0	28000,0	53625,8
2010	22170	Panticosa	Presupuestos	Consolidada	2369720,0	124200,0	237000,0	182700,0	159000,0	660318,0	1006502,0
2010	22172	Peñalba	Presupuestos	Consolidada	1039640,71	0,0	30000,0	44000,0	774719,68	0,0	190921,03
2010	22173	Peñas de Riglos (Las)	Presupuestos	Consolidada	298447,45	0,0	143128,0	0,0	47000,0	12619,45	95700,0
2010	22174	Peralta de Alcofea	Presupuestos	Consolidada	1034116,59	0,0	126542,57	44663,68	832510,34	30400,0	0,0
2010	22175	Peralta de Calasanz	Presupuestos	Consolidada	302673,0	21204,0	135827,0	0,0	63540,0	9500,0	72602,0
2010	22176	Peraltilla	Presupuestos	Consolidada	310800,0	8700,0	204300,0	2550,0	30075,0	10000,0	55175,0
2010	22177	Perarrúa	Presupuestos	Consolidada	671394,56	4158,33	297000,0	3100,0	49041,23	190195,0	127900,0
2010	22178	Pertusa	Presupuestos	Consolidada	375487,56	11950,63	310111,93	12000,0	9300,0	0,0	32125,0
2010	22181	Piracés	Presupuestos	Consolidada	141806,41	3750,0	92041,74	0,0	14101,01	4854,5	27059,16
2010	22182	Plan	Presupuestos	Consolidada	392842,85	10700,0	137700,0	0,0	26300,0	16000,0	202142,85
2010	22184	Poleñino	Presupuestos	Consolidada	314645,48	6545,92	96001,0	0,0	70572,0	12000,0	129526,56
2010	22186	Pozán de Vero	Presupuestos	Consolidada	620862,15	11600,0	0,0	0,0	86582,55	417602,26	105077,34
2010	22187	Puebla de Castro (La)	Presupuestos	Consolidada	1666644,22	17400,0	156021,39	39432,95	49000,0	1213889,88	190900,0
2010	22188	Puente de Montañana	Presupuestos	Sin información							
2010	22189	Puértolas	Presupuestos	Consolidada	984705,0	468705,0	280800,0	4300,0	11400,0	73800,0	145700,0
2010	22190	Pueyo de Araguás (El)	Presupuestos	Consolidada	393598,03	0,0	0,0	0,0	306434,53	0,0	87163,5
2010	22193	Pueyo de Santa Cruz	Presupuestos	Sin información							
2010	22195	Quicena	Presupuestos	Consolidada	188270,0	19150,0	55500,0	19000,0	7600,0	13720,0	73300,0
2010	22197	Robres	Presupuestos	Consolidada	1021430,0	42000,0	95700,0	33200,0	14900,0	583500,0	252130,0
