Año	Código de la comarca	Comarca	Unidades de trabajo que son jefes de explotación	Unidades de trabajo que son asalariados	Unidades de trabajo que son asalariados fijos	Unidades de trabajo que son asalariados eventuales	Unidades de trabajo que son mano de obra familiar	Unidades de trabajo que siendo mano de obra familiar son titulares explotación	Unidades de trabajo que siendo mano de obra familiar son cónyuges	Unidades de trabajo que siendo mano de obra familiar son otros diferentes
1989	01	La Jacetania	577,0	55,0	42,0	12,0	755,0	555,0	75,0	121,0
1989	02	Alto Gállego	229,0	28,0	20,0	8,0	275,0	207,0	23,0	44,0
1989	03	Sobrarbe	559,0	28,0	18,0	11,0	748,0	552,0	80,0	114,0
1989	04	La Ribagorza	966,0	105,0	77,0	28,0	1288,0	933,0	130,0	227,0
1989	05	Cinco Villas	1878,0	717,0	542,0	171,0	2229,0	1553,0	57,0	616,0
1989	06	Hoya de Huesca / Plana de Uesca	1371,0	505,0	451,0	50,0	1540,0	1297,0	19,0	221,0
1989	07	Somontano de Barbastro	1139,0	144,0	69,0	73,0	1336,0	1127,0	66,0	141,0
1989	08	Cinca Medio	1127,0	277,0	198,0	77,0	1399,0	1091,0	65,0	242,0
1989	09	La Litera / La Llitera	1439,0	428,0	306,0	122,0	1958,0	1400,0	211,0	348,0
1989	10	Los Monegros	1963,0	508,0	428,0	75,0	2279,0	1866,0	74,0	338,0
1989	11	Bajo Cinca / Baix Cinca	1739,0	403,0	249,0	151,0	2455,0	1701,0	253,0	502,0
1989	12	Tarazona y el Moncayo	645,0	127,0	90,0	36,0	777,0	631,0	47,0	99,0
1989	13	Campo de Borja	1049,0	116,0	54,0	62,0	1333,0	1024,0	71,0	235,0
1989	14	Aranda	370,0	65,0	21,0	44,0	480,0	353,0	31,0	98,0
1989	15	Ribera Alta del Ebro	944,0	293,0	180,0	112,0	1054,0	905,0	42,0	107,0
1989	16	Valdejalón	1446,0	673,0	191,0	479,0	1772,0	1368,0	81,0	325,0
1989	17	D.C. Zaragoza	2213,0	873,0	696,0	176,0	2502,0	2076,0	95,0	329,0
1989	18	Ribera Baja del Ebro	688,0	272,0	165,0	107,0	768,0	661,0	41,0	67,0
1989	19	Bajo Aragón-Caspe / Baix Aragó-Casp	1073,0	221,0	109,0	112,0	1441,0	1048,0	166,0	226,0
1989	20	Comunidad de Calatayud	2974,0	528,0	215,0	313,0	3533,0	2821,0	221,0	484,0
1989	21	Campo de Cariñena	809,0	533,0	131,0	401,0	1036,0	750,0	56,0	228,0
1989	22	Campo de Belchite	632,0	68,0	57,0	11,0	703,0	611,0	30,0	60,0
1989	23	Bajo Martín	699,0	163,0	91,0	71,0	774,0	684,0	46,0	45,0
1989	24	Campo de Daroca	830,0	114,0	70,0	44,0	948,0	785,0	61,0	102,0
1989	25	Jiloca	1480,0	122,0	66,0	56,0	1837,0	1447,0	194,0	189,0
1989	26	Cuencas Mineras	460,0	50,0	35,0	14,0	575,0	453,0	62,0	58,0
1989	27	Andorra-Sierra de Arcos	355,0	17,0	16,0	1,0	427,0	345,0	43,0	40,0
1989	28	Bajo Aragón	1407,0	167,0	104,0	63,0	1940,0	1375,0	270,0	293,0
1989	29	Comunidad de Teruel	1629,0	142,0	103,0	36,0	2204,0	1600,0	302,0	295,0
1989	30	Maestrazgo	473,0	25,0	16,0	8,0	783,0	463,0	164,0	153,0
1989	31	Sierra de Albarracín	443,0	131,0	46,0	82,0	538,0	433,0	41,0	59,0
1989	32	Gúdar-Javalambre	706,0	73,0	53,0	19,0	988,0	687,0	184,0	112,0
1989	33	Matarraña / Matarranya	1318,0	63,0	31,0	31,0	1884,0	1294,0	292,0	295,0
1999	01	La Jacetania	450,157	89,876	75,402	14,474	575,832	422,057	43,395	110,38
1999	02	Alto Gállego	211,676	38,069	31,582	6,487	253,451	193,623	15,602	44,226
1999	03	Sobrarbe	471,64	36,964	31,036	5,928	635,855	452,456	80,053	103,346
1999	04	La Ribagorza	844,762	240,511	204,164	36,347	1070,468	758,008	166,023	146,437
1999	05	Cinco Villas	2092,019	1353,369	1112,587	240,782	1922,264	1620,907	80,061	221,296
1999	06	Hoya de Huesca / Plana de Uesca	1340,239	509,472	461,595	47,877	1398,62	1200,774	58,06	139,786
1999	07	Somontano de Barbastro	1069,866	257,93	175,591	82,339	1212,397	985,912	106,941	119,544
1999	08	Cinca Medio	909,089	396,273	301,124	95,149	906,329	753,924	71,737	80,668
1999	09	La Litera / La Llitera	1269,527	657,7	523,206	134,494	1369,801	1054,97	139,171	175,66
1999	10	Los Monegros	1798,622	839,59	734,963	104,627	1849,149	1491,77	112,543	244,836
1999	11	Bajo Cinca / Baix Cinca	1865,011	1287,003	632,204	654,799	2350,008	1608,777	310,924	430,307
1999	12	Tarazona y el Moncayo	525,837	136,281	122,355	13,926	553,81	468,497	41,707	43,606
1999	13	Campo de Borja	904,506	216,365	165,817	50,548	1095,798	826,273	100,256	169,269
1999	14	Aranda	396,189	28,207	14,646	13,561	483,991	381,427	44,845	57,719
1999	15	Ribera Alta del Ebro	617,78	399,954	284,826	115,128	614,469	512,445	44,776	57,248
1999	16	Valdejalón	1294,316	1145,598	451,011	694,587	1471,139	1093,275	115,387	262,477
1999	17	D.C. Zaragoza	1474,608	912,951	728,403	184,548	1418,156	1197,278	87,264	133,614
1999	18	Ribera Baja del Ebro	468,284	404,02	258,181	145,839	473,335	394,876	36,016	42,443
