Año	CCAA código	CCAA nombre	Renta disponible bruta
2017	02	Aragón	21375504008,0
2016	02	Aragón	20728731007,0
2015	02	Aragón	20160568010,0
2014	02	Aragón	19672632997,0
2013	02	Aragón	19921400993,0
2012	02	Aragón	20012536015,0
2011	02	Aragón	21178496998,0
2010	02	Aragón	20884480994,0
2009	02	Aragón	21092488002,0
2008	02	Aragón	21291351985,0
2007	02	Aragón	20202603998,0
2006	02	Aragón	19171242008,0
2005	02	Aragón	17984131995,0
2004	02	Aragón	16893457008,0
2003	02	Aragón	16218957999,0
2002	02	Aragón	15226099001,0
2001	02	Aragón	14234350000,0
2000	02	Aragón	13282261000,0
