Año	Renta disponible bruta	Código	Comarca
2017	345688189,0	01	La Jacetania
2017	243578720,0	02	Alto Gállego
2017	125883918,0	03	Sobrarbe
2017	193536963,0	04	La Ribagorza
2017	412333499,0	05	Cinco Villas
2017	1224681699,0	06	Hoya de Huesca / Plana de Uesca
2017	368733303,0	07	Somontano de Barbastro
2017	360029474,0	08	Cinca Medio
2017	256326694,0	09	La Litera / La Llitera
2017	228511479,0	10	Los Monegros
2017	334318472,0	11	Bajo Cinca / Baix Cinca
2017	185124929,0	12	Tarazona y el Moncayo
2017	180496863,0	13	Campo de Borja
2017	78367309,0	14	Aranda
2017	359395409,0	15	Ribera Alta del Ebro
2017	347579776,0	16	Valdejalón
2017	13205051837,0	17	D.C. Zaragoza
2017	112048791,0	18	Ribera Baja del Ebro
2017	174224284,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2017	486091869,0	20	Comunidad de Calatayud
2017	113486229,0	21	Campo de Cariñena
2017	40224395,0	22	Campo de Belchite
2017	73798150,0	23	Bajo Martín
2017	70258070,0	24	Campo de Daroca
2017	149373287,0	25	Jiloca
2017	108193991,0	26	Cuencas Mineras
2017	158599199,0	27	Andorra-Sierra de Arcos
2017	406204043,0	28	Bajo Aragón
2017	752976402,0	29	Comunidad de Teruel
2017	38043487,0	30	Maestrazgo
2017	51233104,0	31	Sierra de Albarracín
2017	99338584,0	32	Gúdar-Javalambre
2017	91771590,0	33	Matarraña / Matarranya
2016	339043168,0	01	La Jacetania
2016	234497172,0	02	Alto Gállego
2016	118142513,0	03	Sobrarbe
2016	181996688,0	04	La Ribagorza
2016	399106625,0	05	Cinco Villas
2016	1186575414,0	06	Hoya de Huesca / Plana de Uesca
2016	357300384,0	07	Somontano de Barbastro
2016	342782467,0	08	Cinca Medio
2016	249306477,0	09	La Litera / La Llitera
2016	215930627,0	10	Los Monegros
2016	323069742,0	11	Bajo Cinca / Baix Cinca
2016	179487470,0	12	Tarazona y el Moncayo
2016	175456379,0	13	Campo de Borja
2016	77102371,0	14	Aranda
2016	347522427,0	15	Ribera Alta del Ebro
2016	337539302,0	16	Valdejalón
2016	12803823501,0	17	D.C. Zaragoza
2016	108712758,0	18	Ribera Baja del Ebro
2016	168491065,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2016	477819866,0	20	Comunidad de Calatayud
2016	110571127,0	21	Campo de Cariñena
2016	40595973,0	22	Campo de Belchite
2016	72058276,0	23	Bajo Martín
2016	65848794,0	24	Campo de Daroca
2016	146953211,0	25	Jiloca
2016	108214278,0	26	Cuencas Mineras
2016	158777053,0	27	Andorra-Sierra de Arcos
2016	400771887,0	28	Bajo Aragón
2016	732580514,0	29	Comunidad de Teruel
2016	36338024,0	30	Maestrazgo
2016	49339834,0	31	Sierra de Albarracín
2016	93255875,0	32	Gúdar-Javalambre
2016	89719745,0	33	Matarraña / Matarranya
2015	327766898,0	01	La Jacetania
2015	227651650,0	02	Alto Gállego
2015	111990364,0	03	Sobrarbe
2015	177365847,0	04	La Ribagorza
2015	386706158,0	05	Cinco Villas
2015	1156275335,0	06	Hoya de Huesca / Plana de Uesca
2015	345367876,0	07	Somontano de Barbastro
