Año	Municipio código	Municipio nombre	Renta disponible bruta
2016	22007	Albalate de Cinca	12771111,0
2016	22017	Alcolea de Cinca	15740253,0
2016	22021	Almudévar	32318251,0
2016	22025	Altorricón	17716100,0
2016	22039	Ayerbe	13771562,0
2016	22048	Barbastro	281311806,0
2016	22052	Belver de Cinca	14070070,0
2016	22053	Benabarre	14350738,0
2016	22054	Benasque	37644741,0
2016	22059	Biescas	26251872,0
2016	22060	Binaced	18422951,0
2016	22061	Binéfar	142193031,0
2016	22112	Fraga	218223838,0
2016	22116	Grañén	20419535,0
2016	22117	Graus	51773899,0
2016	22119	Gurrea de Gállego	17178024,0
2016	22125	Huesca	986500381,0
2016	22130	Jaca	265273467,0
2016	22137	Lanaja	11508573,0
2016	22158	Monzón	263334159,0
2016	22199	Sabiñánigo	159747488,0
2016	22204	Sallent de Gállego	29146088,0
2016	22213	Sariñena	58355248,0
2016	22225	Tamarite de Litera	48579314,0
2016	22234	Torrente de Cinca	11251656,0
2016	22254	Zaidín	18135251,0
2016	22907	Aínsa-Sobrarbe	38415759,0
2016	44008	Albalate del Arzobispo	23696887,0
2016	44009	Albarracín	16152158,0
2016	44013	Alcañiz	253120844,0
2016	44014	Alcorisa	46214197,0
2016	44025	Andorra	127343117,0
2016	44049	Calaceite	11166679,0
2016	44050	Calamocha	67279748,0
2016	44051	Calanda	42544216,0
2016	44076	Cella	29197084,0
2016	44122	Híjar	20151757,0
2016	44145	Mas de las Matas	13532628,0
2016	44153	Monreal del Campo	33078407,0
2016	44155	Montalbán	17736871,0
2016	44158	Mora de Rubielos	23145975,0
2016	44209	Santa Eulalia	12162173,0
2016	44210	Sarrión	13901761,0
2016	44216	Teruel	625262944,0
2016	44238	Utrillas	45604670,0
2016	44246	Valderrobres	29376975,0
2016	50006	Ainzón	12744487,0
2016	50008	Alagón	95038700,0
2016	50017	Alfajarín	32498125,0
2016	50018	Alfamén	13437433,0
2016	50020	Alhama de Aragón	14113107,0
2016	50025	Almunia de Doña Godina (La)	103088028,0
2016	50034	Ariza	12836595,0
2016	50038	Ateca	19959021,0
2016	50045	Belchite	17557781,0
2016	50055	Borja	71598527,0
2016	50057	Brea de Aragón	19313068,0
2016	50062	Burgo de Ebro (El)	34933134,0
2016	50066	Cadrete	56819872,0
2016	50067	Calatayud	314234283,0
2016	50068	Calatorao	31054918,0
2016	50073	Cariñena	47077604,0
2016	50074	Caspe	123353481,0
2016	50089	Cuarte de Huerva	205697423,0
2016	50094	Daroca	33847769,0
2016	50095	Ejea de los Caballeros	233942747,0
2016	50099	Épila	54607976,0
2016	50101	Escatrón	13708793,0
2016	50102	Fabara	9662624,0
2016	50107	Figueruelas	19820629,0
2016	50115	Fuentes de Ebro	59310986,0
2016	50118	Gallur	37710228,0
2016	50119	Gelsa	11611453,0
2016	50126	Illueca	40644671,0
2016	50132	Joyosa (La)	11671288,0
2016	50137	Leciñena	12174730,0
