Año	Salario Retribución	Salario Perceptores	Salario medio anual	Pensión Retribución	Pensión Perceptores	Pensión media por persona	Desempleo Retribución	Desempleo Perceptores	Desempleo medio por percepción	CCAA
1999	6246964656,0	468533,0	13333,0	2078017291,0	287146,0	7237,0	129432984,0	62163,0	2082,0	Aragón
2000	6831673103,0	490401,0	13931,0	2181018866,0	288646,0	7556,0	128720690,0	55700,0	2311,0	Aragón
2001	7381079290,0	506400,0	14576,0	2358109739,0	290655,0	8113,0	153695220,0	68133,0	2256,0	Aragón
2002	7872301417,0	518304,0	15189,0	2450938892,0	291674,0	8403,0	170076954,0	65130,0	2611,0	Aragón
2003	8516067490,0	535687,0	15897,0	2601440250,0	289836,0	8976,0	175105654,0	67139,0	2608,0	Aragón
2005	9715643991,0	570683,0	17025,0	2909185296,0	287705,0	10112,0	193317897,0	67985,0	2844,0	Aragón
2006	10620443746,0	592062,0	17938,0	3141940000,0	290555,0	10814,0	213090000,0	71836,0	2966,0	Aragón
2007	11621337603,0	612120,0	18985,0	3278664000,0	297128,0	11035,0	226189000,0	75769,0	2985,0	Aragón
2008	12388667131,0	624119,0	19850,0	3587787000,0	306237,0	11716,0	322846000,0	104033,0	3103,0	Aragón
2009	11728821864,0	595187,0	19706,0	3724293000,0	309144,0	12047,0	595478000,0	151329,0	3935,0	Aragón
2010	11517840379,0	584738,0	19697,0	3895721000,0	311319,0	12514,0	604868000,0	157975,0	3829,0	Aragón
