Municipio código	Municipio nombre	Salario Percepciones	Salario Retribución	Salario medio por percepción	Pensión Percepciones	Pensión Retribución	Pensión media por percepción	Desempleo Perceptores	Desempleo Retribución	Desempleo prestación media anual	Año
22001	Abiego	75,0	617321,1	8230,948	94,0	456885,63	4860,48542553191				1999
22001	Abiego	68,0	657877,3	9674,66617647059	87,0	453728,64	5215,27172413793				2000
22001	Abiego	74,0	671212,55	9070,43986486486	90,0	472915,45	5254,61611111111	8,0	18988,28	2373,535	2001
22001	Abiego	76,0	712629,45	9376,70328947368	84,0	466729,0	5556,29761904762	7,0	14508,83	2072,69	2002
22001	Abiego	79,0	756680,75	9578,23734177215	81,0	490677,02	6057,74098765432	9,0	22532,32	2503,59111111111	2003
22001	Abiego	86,0	858450,19	9981,97895348837	86,0	490415,34	5702,50395348837	8,0	26400,76	3300,095	2004
22001	Abiego	82,0	889527,71	10847,898902439	81,0	506580,56	6254,08098765432	8,0	21292,39	2661,54875	2005
22001	Abiego	83,0	1058398,17	12751,7851807229	80,0	521475,76	6518,447	9,0	24160,47	2684,49666666667	2006
22001	Abiego	105,0	1112476,03	10595,0098095238	82,0	563704,01	6874,43914634146	10,0	39173,47	3917,347	2007
22001	Abiego	89,0	1171682,28	13164,9694382022	93,0	772261,28	8303,8847311828	11,0	32853,92	2986,72	2008
22001	Abiego	81,0	1170852,16	14454,9649382716	91,0	719874,85	7910,71263736264	10,0	37266,92	3726,692	2009
22001	Abiego	93,0	1276748,11	13728,4743010753	90,0	713187,42	7924,30466666667	11,0	46670,09	4242,73545454546	2010
22002	Abizanda	36,0	174023,69	4833,99138888889	25,0	103495,2	4139,808				1999
22002	Abizanda	37,0	219380,8	5929,21081081081	23,0	113984,22	4955,83565217391				2000
22002	Abizanda	32,0	253503,91	7921,9971875	27,0	152002,86	5629,73555555556				2001
22002	Abizanda	40,0	277953,29	6948,83225	25,0	143513,02	5740,5208				2002
22002	Abizanda	43,0	311006,77	7232,71558139535	26,0	138824,7	5339,41153846154				2003
22002	Abizanda	41,0	342487,67	8353,35780487805	22,0	146413,75	6655,17045454545				2004
22002	Abizanda	33,0	311903,53	9451,62212121212	23,0	179843,21	7819,27				2005
