Año	Salario Perceptores	Salario Percepciones por persona	Salario Retribución	Salario medio por persona	Pensión Perceptores	Pensión Percepciones por persona	Pensión media por persona	Desempleo Perceptores	Desempleo medio por percepción	Provincia código	Provincia nombre
2010	94969,0	1,26	1707407917,0	17979,0	54936,0	1,14	11462,0	22772,0	3818,0	22	Huesca
2010	56510,0	1,24	1012575463,0	17919,0	37263,0	1,13	11519,0	14588,0	3768,0	44	Teruel
2010	433259,0	1,25	8797856999,0	20306,0	219120,0	1,14	12946,0	120615,0	3838,0	50	Zaragoza
2009	96718,0	1,27	1754673743,0	18142,0	54594,0	1,14	10980,0	20859,0	3841,0	22	Huesca
2009	57691,0	1,24	1034185126,0	17926,0	37432,0	1,14	11073,0	13980,0	3696,0	44	Teruel
2009	440778,0	1,25	8939962995,0	20282,0	217118,0	1,14	12483,0	116490,0	3981,0	50	Zaragoza
2008	99825,0	1,32	1815143367,0	18183,0	53820,0	1,21	10725,0	16093,0	2984,0	22	Huesca
2008	60944,0	1,32	1076781027,0	17668,0	37382,0	1,14	10845,0	10314,0	2955,0	44	Teruel
2008	463350,0	1,35	9496742736,0	20496,0	215035,0	1,14	12115,0	77626,0	3148,0	50	Zaragoza
2007	98937,0	1,38	1712039127,0	17304,0	52636,0	1,15	9982,0	12189,0	2825,0	22	Huesca
2007	62043,0	1,37	1036204208,0	16701,0	37229,0	1,14	10229,0	7810,0	3010,0	44	Teruel
2007	451140,0	1,4	8873094268,0	19668,0	207263,0	1,14	11447,0	55770,0	3017,0	50	Zaragoza
2006	94661,0	1,36	1558336616,0	16462,0	51795,0	1,15	9736,0	11351,0	2741,0	22	Huesca
2006	57914,0	1,33	920723587,0	15898,0	36781,0	1,14	9955,0	7058,0	3104,0	44	Teruel
2006	439487,0	1,37	8141383543,0	18525,0	201979,0	1,15	11246,0	53427,0	2996,0	50	Zaragoza
2005	91687,0	1,35	1418809860,0	15474,0	51626,0	1,15	9157,0	10438,0	2687,0	22	Huesca
2005	54782,0	1,32	835986747,0	15260,0	36880,0	1,14	9406,0	6524,0	2964,0	44	Teruel
2005	424214,0	1,35	7460847383,0	17587,0	199199,0	1,14	10490,0	51023,0	2860,0	50	Zaragoza
2004	85770,0	1,35	1311092604,0	15286,0	51357,0	1,14	8650,0	10144,0	2483,0	22	Huesca
2004	51653,0	1,32	771194024,0	14930,0	36834,0	1,13	8995,0	6303,0	2834,0	44	Teruel
2004	401643,0	1,33	6910342099,0	17205,0	196628,0	1,15	9844,0	55886,0	2445,0	50	Zaragoza
2003	85502,0	1,33	1227114521,0	14352,0	51898,0	1,14	8325,0	10126,0	2336,0	22	Huesca
2003	50907,0	1,3	724431941,0	14230,0	38186,0	1,12	8540,0	6244,0	2858,0	44	Teruel
2003	399278,0	1,33	6564521028,0	16441,0	199752,0	1,13	9228,0	50769,0	2632,0	50	Zaragoza
2002	82274,0	1,3	1131187864,0	13749,0	52559,0	1,14	7815,0	9529,0	2238,0	22	Huesca
2002	48756,0	1,26	664416197,0	13627,0	38923,0	1,13	8271,0	6300,0	2929,0	44	Teruel
2002	387274,0	1,3	6076697357,0	15691,0	200192,0	1,13	8583,0	49301,0	2643,0	50	Zaragoza
2001	79872,0	1,3	1053081053,0	13185,0	52646,0	1,13	7601,0	9026,0	2086,0	22	Huesca
2001	47340,0	1,26	618781845,0	13071,0	39300,0	1,12	7673,0	5900,0	2810,0	44	Teruel
2001	379188,0	1,3	5709216393,0	15056,0	198709,0	1,13	8336,0	53207,0	2223,0	50	Zaragoza
2000	77404,0	1,31	970164083,0	12534,0	52121,0	1,12	7015,0	8091,0	2109,0	22	Huesca
2000	46670,0	1,26	567055370,0	12150,0	39442,0	1,1	7149,0	5356,0	2827,0	44	Teruel
2000	366327,0	1,32	5294453649,0	14453,0	197083,0	1,12	7781,0	42253,0	2284,0	50	Zaragoza
1999	73709,0	1,29	889330957,0	12065,0	52049,0	1,12	6711,0	8272,0	2091,0	22	Huesca
1999	43848,0	1,27	521312534,0	11889,0	39023,0	1,09	6804,0	5371,0	2967,0	44	Teruel
1999	350976,0	1,29	4836321165,0	13780,0	196074,0	1,13	7463,0	48520,0	1983,0	50	Zaragoza
