Año	Municipio código	Municipio nombre	Tipo licencias código	Tipo licencias descripción	Autorizaciones según tipo
2020	22001	Abiego	MDL-N	Transporte mercancías ligeras nacionales servicio público	0
2020	22001	Abiego	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	0
2020	22001	Abiego	MDP-N	Transporte mercancías pesadas nacionales servicio público	0
2020	22001	Abiego	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	0
2020	22001	Abiego	MPC-N	Transporte mercancías propias nacional	3
2020	22001	Abiego	MPCE-N	transporte mercancías propias nacional autorizado por empresa	3
2020	22001	Abiego	OT	Operador de transporte	0
2020	22001	Abiego	VD-N	Transporte de viajeros nacionales servicio público	0
2020	22001	Abiego	VDE-N	Transporte de viajeros nacionales servicio público autorizado por empresa	0
2020	22001	Abiego	VPC-N	Transporte privado de viajeros nacional	0
2020	22001	Abiego	VPCE-N	Transporte privado de viajeros	0
2020	22001	Abiego	VS-N	Ambulancias nacionales servicio público	0
2020	22001	Abiego	VSE-N	Transporte público ambulancias nacional empresa	0
2020	22001	Abiego	VSPC-N	Transporte privado ambulancias nacional	0
2020	22001	Abiego	VSPCE-N	Transporte privado ambulancias nacional empresa	0
2020	22001	Abiego	VT-N	Licencias taxi	0
2020	22001	Abiego	VTC-N	Transporte de alquiler con conductor nacional	0
2020	22006	Aísa	MDL-N	Transporte mercancías ligeras nacionales servicio público	0
2020	22006	Aísa	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	0
2020	22006	Aísa	MDP-N	Transporte mercancías pesadas nacionales servicio público	2
2020	22006	Aísa	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	1
2020	22006	Aísa	MPC-N	Transporte mercancías propias nacional	2
2020	22006	Aísa	MPCE-N	transporte mercancías propias nacional autorizado por empresa	1
2020	22006	Aísa	OT	Operador de transporte	0
2020	22006	Aísa	VD-N	Transporte de viajeros nacionales servicio público	0
2020	22006	Aísa	VDE-N	Transporte de viajeros nacionales servicio público autorizado por empresa	0
2020	22006	Aísa	VPC-N	Transporte privado de viajeros nacional	1
2020	22006	Aísa	VPCE-N	Transporte privado de viajeros	1
2020	22006	Aísa	VS-N	Ambulancias nacionales servicio público	0
2020	22006	Aísa	VSE-N	Transporte público ambulancias nacional empresa	0
2020	22006	Aísa	VSPC-N	Transporte privado ambulancias nacional	0
2020	22006	Aísa	VSPCE-N	Transporte privado ambulancias nacional empresa	0
2020	22006	Aísa	VT-N	Licencias taxi	0
2020	22006	Aísa	VTC-N	Transporte de alquiler con conductor nacional	0
2020	22007	Albalate de Cinca	MDL-N	Transporte mercancías ligeras nacionales servicio público	1
2020	22007	Albalate de Cinca	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	1
2020	22007	Albalate de Cinca	MDP-N	Transporte mercancías pesadas nacionales servicio público	11
2020	22007	Albalate de Cinca	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	6
2020	22007	Albalate de Cinca	MPC-N	Transporte mercancías propias nacional	9
2020	22007	Albalate de Cinca	MPCE-N	transporte mercancías propias nacional autorizado por empresa	4
2020	22007	Albalate de Cinca	OT	Operador de transporte	0
2020	22007	Albalate de Cinca	VD-N	Transporte de viajeros nacionales servicio público	0
2020	22007	Albalate de Cinca	VDE-N	Transporte de viajeros nacionales servicio público autorizado por empresa	0
2020	22007	Albalate de Cinca	VPC-N	Transporte privado de viajeros nacional	0
2020	22007	Albalate de Cinca	VPCE-N	Transporte privado de viajeros	0
2020	22007	Albalate de Cinca	VS-N	Ambulancias nacionales servicio público	0
2020	22007	Albalate de Cinca	VSE-N	Transporte público ambulancias nacional empresa	0
2020	22007	Albalate de Cinca	VSPC-N	Transporte privado ambulancias nacional	0
2020	22007	Albalate de Cinca	VSPCE-N	Transporte privado ambulancias nacional empresa	0
