Año	Provincia código	Provincia nombre	Tipo licencias código	Tipo licencias descripción	Licencias
2018	22	Huesca	OT	Operaciones de transporte	47
2018	22	Huesca	VD-N	Transporte de viajeros nacionales servicio público	333
2018	22	Huesca	VS-N	Ambulancias nacionales servicio público	8
2018	22	Huesca	VT-N	Licencias taxi	237
2018	22	Huesca	MDL-N	Transporte mercancías ligeras nacionales servicio público	106
2018	22	Huesca	MDP-N	Transporte mercancías pesadas nacionales servicio público	2581
2018	22	Huesca	MPC-N	Transporte mercancías propias nacional	954
2018	22	Huesca	VPC-N	Transporte privado de viajeros nacional	9
2018	22	Huesca	VTC-N	Transporte de alquiler con conductor nacional	6
2018	22	Huesca	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	72
2018	22	Huesca	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	591
2018	22	Huesca	MPCE-N	transporte mercancías propias nacional autorizado por empresa	536
2018	22	Huesca	VSPC-N	Transporte privado ambulancias nacional	0
2018	22	Huesca	VD	Transporte público viajeros en autobús	2
2018	22	Huesca	XD-N	Servicio público nacional mixto-Mercancías y viajeros	0
2018	22	Huesca	VSPCE-N	Transporte privado ambulancias nacional empresa	0
2018	22	Huesca	VSE-N	Transporte público ambulancias nacional empresa	1
2018	22	Huesca	VDE-N	Transporte de viajeros nacionales servicio público autorizado por empresa	4
2018	44	Teruel	OT	Operaciones de transporte	20
2018	44	Teruel	VD-N	Transporte de viajeros nacionales servicio público	74
2018	44	Teruel	VS-N	Ambulancias nacionales servicio público	18
2018	44	Teruel	VT-N	Licencias taxi	86
2018	44	Teruel	MDL-N	Transporte mercancías ligeras nacionales servicio público	86
2018	44	Teruel	MDP-N	Transporte mercancías pesadas nacionales servicio público	2030
2018	44	Teruel	MPC-N	Transporte mercancías propias nacional	672
2018	44	Teruel	VPC-N	Transporte privado de viajeros nacional	0
2018	44	Teruel	VTC-N	Transporte de alquiler con conductor nacional	23
2018	44	Teruel	MDLE-N	Transporte mercancías ligeras nacional servicio público autorizado por empresa	56
2018	44	Teruel	MDPE-N	Transporte mercancías pesadas nacinal servicio público autorizado por empresa	386
2018	44	Teruel	MPCE-N	transporte mercancías propias nacional autorizado por empresa	405
2018	44	Teruel	VSPC-N	Transporte privado ambulancias nacional	0
2018	44	Teruel	VD	Transporte público viajeros en autobús	2
2018	44	Teruel	XD-N	Servicio público nacional mixto-Mercancías y viajeros	3
2018	44	Teruel	VSPCE-N	Transporte privado ambulancias nacional empresa	0
2018	44	Teruel	VSE-N	Transporte público ambulancias nacional empresa	2
2018	44	Teruel	VDE-N	Transporte de viajeros nacionales servicio público autorizado por empresa	1
2018	50	Zaragoza	OT	Operaciones de transporte	189
2018	50	Zaragoza	VD-N	Transporte de viajeros nacionales servicio público	544
2018	50	Zaragoza	VS-N	Ambulancias nacionales servicio público	98
2018	50	Zaragoza	VT-N	Licencias taxi	1897
2018	50	Zaragoza	MDL-N	Transporte mercancías ligeras nacionales servicio público	1298
