Año	Comarca código	Comarca nombre	Número de actividades	Sector código	Sector	Rama código	Rama de actividad
2018	01	La Jacetania	166	1	Agricultura, ganadería y pesca	01	Agricultura, ganadería, silvicultura y pesca (cnae 01, 02, 03)
2018	01	La Jacetania	5	2	Industria y energía	02	Industrias extractivas (cnae 05, 06, 07, 08, 09)
2018	01	La Jacetania	30	2	Industria y energía	03	Industria de la alimentación, bebidas y tabaco (cnae 10, 11, 12)
2018	01	La Jacetania	8	2	Industria y energía	04	Industria textil, confección de prendas de vestir, cuero y calzado (cnae 13, 14, 15)
2018	01	La Jacetania	27	2	Industria y energía	05	Industria de la madera y corcho, papel y artes gráficas (cnae 16, 17, 18)
2018	01	La Jacetania	1	2	Industria y energía	06	Coquerías y refino de petróleo; industria química; productos farmacéuticos (cnae 19, 20, 21)
2018	01	La Jacetania	8	2	Industria y energía	07	Fabricación de productos de caucho y plástico y de otros minerales no metálicos (cnae 22, 23)
2018	01	La Jacetania	31	2	Industria y energía	08	Metalurgia y fabricación de productos metálicos, excepto maquinaria y equipo (cnae 24, 25)
2018	01	La Jacetania	6	2	Industria y energía	09	Fabricación de productos informáticos, electrónicos y ópticos; material y equipo eléctrico; maquinaria y equipo (cnae 26, 27, 28)
2018	01	La Jacetania	3	2	Industria y energía	10	Fabricación de material de transporte (cnae 29, 30)
2018	01	La Jacetania	25	2	Industria y energía	11	Fabricación de muebles; otras industrias manufactureras y reparación e instalación de maquinaria y equipo (cnae 31, 32, 33)
2018	01	La Jacetania	17	2	Industria y energía	12	Suministro de energía eléctrica, gas, vapor y aire acondicionado (cnae 35)
2018	01	La Jacetania	18	2	Industria y energía	13	Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación (cnae 36, 37, 38, 39)
2018	01	La Jacetania	598	3	Construcción	14	Construcción (cnae 41, 42, 43)
2018	01	La Jacetania	974	4	Servicios	15	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas (cnae 45, 46, 47)
2018	01	La Jacetania	111	4	Servicios	16	Transporte y almacenamiento (cnae 49, 50, 51, 52, 53)
2018	01	La Jacetania	645	4	Servicios	17	Hostelería (cnae 55, 56)
2018	01	La Jacetania	40	4	Servicios	18	Información y comunicaciones (cnae 58, 59, 60, 61, 62, 63)
2018	01	La Jacetania	73	4	Servicios	19	Actividades financieras y de seguros (cnae 64, 65, 66)
2018	01	La Jacetania	449	4	Servicios	20	Actividades inmobiliarias (cnae 68)
2018	01	La Jacetania	258	4	Servicios	21	Actividades profesionales, científicas y técnicas (cnae 69, 70, 71, 72, 73, 74, 75)
2018	01	La Jacetania	222	4	Servicios	22	Actividades administrativas y servicios auxliares (cnae 77, 78, 79, 80, 81, 82)
2018	01	La Jacetania	163	4	Servicios	23	Educación (cnae 85)
2018	01	La Jacetania	94	4	Servicios	24	Actividades sanitarias y de servicios sociales (cnae 86, 87, 88)
2018	01	La Jacetania	187	4	Servicios	25	Actividades artísticas, recreativas y de entretenimiento (cnae 90, 91, 92, 93)
