Año	Municipio código	Municipio nombre	Sector código	Sector	Rama código	Rama de actividad	Número de actividades
2009	22001	Abiego	1	Agricultura, ganadería y pesca	01	Agricultura, ganadería, silvicultura y pesca (cnae 01, 02, 03)	15
2009	22001	Abiego	2	Industria y energía	03	Industria de la alimentación, bebidas y tabaco (cnae 10, 11, 12)	1
2009	22001	Abiego	2	Industria y energía	05	Industria de la madera y corcho, papel y artes gráficas (cnae 16, 17, 18)	1
2009	22001	Abiego	2	Industria y energía	12	Suministro de energía eléctrica, gas, vapor y aire acondicionado (cnae 35)	2
2009	22001	Abiego	3	Construcción	14	Construcción (cnae 41, 42, 43)	10
2009	22001	Abiego	4	Servicios	15	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas (cnae 45, 46, 47)	13
2009	22001	Abiego	4	Servicios	16	Transporte y almacenamiento (cnae 49, 50, 51, 52, 53)	3
2009	22001	Abiego	4	Servicios	17	Hostelería (cnae 55, 56)	14
2009	22001	Abiego	4	Servicios	18	Información y comunicaciones (cnae 58, 59, 60, 61, 62, 63)	1
2009	22001	Abiego	4	Servicios	19	Actividades financieras y de seguros (cnae 64, 65, 66)	1
2009	22001	Abiego	4	Servicios	20	Actividades inmobiliarias (cnae 68)	2
2009	22001	Abiego	4	Servicios	21	Actividades profesionales, científicas y técnicas (cnae 69, 70, 71, 72, 73, 74, 75)	6
2009	22001	Abiego	4	Servicios	22	Actividades administrativas y servicios auxliares (cnae 77, 78, 79, 80, 81, 82)	1
2009	22001	Abiego	4	Servicios	25	Actividades artísticas, recreativas y de entretenimiento (cnae 90, 91, 92, 93)	1
2009	22001	Abiego	4	Servicios	26	Otros servicios (cnae 94, 95, 96)	1
2009	22002	Abizanda	1	Agricultura, ganadería y pesca	01	Agricultura, ganadería, silvicultura y pesca (cnae 01, 02, 03)	9
2009	22002	Abizanda	3	Construcción	14	Construcción (cnae 41, 42, 43)	6
2009	22002	Abizanda	4	Servicios	15	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas (cnae 45, 46, 47)	1
2009	22002	Abizanda	4	Servicios	17	Hostelería (cnae 55, 56)	13
2009	22002	Abizanda	4	Servicios	22	Actividades administrativas y servicios auxliares (cnae 77, 78, 79, 80, 81, 82)	2
2009	22002	Abizanda	4	Servicios	25	Actividades artísticas, recreativas y de entretenimiento (cnae 90, 91, 92, 93)	4
2009	22003	Adahuesca	1	Agricultura, ganadería y pesca	01	Agricultura, ganadería, silvicultura y pesca (cnae 01, 02, 03)	7
2009	22003	Adahuesca	2	Industria y energía	03	Industria de la alimentación, bebidas y tabaco (cnae 10, 11, 12)	3
