Año	Provincia código	Provincia nombre	Sector código	Sector	Rama código	Rama de actividad	Número de actividades
2018	22	Huesca	1	Agricultura, ganadería y pesca	01	Agricultura, ganadería, silvicultura y pesca (cnae 01, 02, 03)	4436
2018	22	Huesca	2	Industria y energía	02	Industrias extractivas (cnae 05, 06, 07, 08, 09)	56
2018	22	Huesca	2	Industria y energía	03	Industria de la alimentación, bebidas y tabaco (cnae 10, 11, 12)	558
2018	22	Huesca	2	Industria y energía	04	Industria textil, confección de prendas de vestir, cuero y calzado (cnae 13, 14, 15)	140
2018	22	Huesca	2	Industria y energía	05	Industria de la madera y corcho, papel y artes gráficas (cnae 16, 17, 18)	306
2018	22	Huesca	2	Industria y energía	06	Coquerías y refino de petróleo; industria química; productos farmacéuticos (cnae 19, 20, 21)	104
2018	22	Huesca	2	Industria y energía	07	Fabricación de productos de caucho y plástico y de otros minerales no metálicos (cnae 22, 23)	150
2018	22	Huesca	2	Industria y energía	08	Metalurgia y fabricación de productos metálicos, excepto maquinaria y equipo (cnae 24, 25)	495
2018	22	Huesca	2	Industria y energía	09	Fabricación de productos informáticos, electrónicos y ópticos; material y equipo eléctrico; maquinaria y equipo (cnae 26, 27, 28)	146
2018	22	Huesca	2	Industria y energía	10	Fabricación de material de transporte (cnae 29, 30)	46
2018	22	Huesca	2	Industria y energía	11	Fabricación de muebles; otras industrias manufactureras y reparación e instalación de maquinaria y equipo (cnae 31, 32, 33)	284
2018	22	Huesca	2	Industria y energía	12	Suministro de energía eléctrica, gas, vapor y aire acondicionado (cnae 35)	444
2018	22	Huesca	2	Industria y energía	13	Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación (cnae 36, 37, 38, 39)	199
2018	22	Huesca	3	Construcción	14	Construcción (cnae 41, 42, 43)	5597
2018	22	Huesca	4	Servicios	15	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas (cnae 45, 46, 47)	10189
2018	22	Huesca	4	Servicios	16	Transporte y almacenamiento (cnae 49, 50, 51, 52, 53)	1441
2018	22	Huesca	4	Servicios	17	Hostelería (cnae 55, 56)	4329
2018	22	Huesca	4	Servicios	18	Información y comunicaciones (cnae 58, 59, 60, 61, 62, 63)	525
2018	22	Huesca	4	Servicios	19	Actividades financieras y de seguros (cnae 64, 65, 66)	920
2018	22	Huesca	4	Servicios	20	Actividades inmobiliarias (cnae 68)	4591
2018	22	Huesca	4	Servicios	21	Actividades profesionales, científicas y técnicas (cnae 69, 70, 71, 72, 73, 74, 75)	3242
2018	22	Huesca	4	Servicios	22	Actividades administrativas y servicios auxliares (cnae 77, 78, 79, 80, 81, 82)	2115
2018	22	Huesca	4	Servicios	23	Educación (cnae 85)	1693
2018	22	Huesca	4	Servicios	24	Actividades sanitarias y de servicios sociales (cnae 86, 87, 88)	996
2018	22	Huesca	4	Servicios	25	Actividades artísticas, recreativas y de entretenimiento (cnae 90, 91, 92, 93)	1575
2018	22	Huesca	4	Servicios	26	Otros servicios (cnae 94, 95, 96)	1658
2018	44	Teruel	1	Agricultura, ganadería y pesca	01	Agricultura, ganadería, silvicultura y pesca (cnae 01, 02, 03)	1653
2018	44	Teruel	2	Industria y energía	02	Industrias extractivas (cnae 05, 06, 07, 08, 09)	133
2018	44	Teruel	2	Industria y energía	03	Industria de la alimentación, bebidas y tabaco (cnae 10, 11, 12)	463
2018	44	Teruel	2	Industria y energía	04	Industria textil, confección de prendas de vestir, cuero y calzado (cnae 13, 14, 15)	78
2018	44	Teruel	2	Industria y energía	05	Industria de la madera y corcho, papel y artes gráficas (cnae 16, 17, 18)	229
2018	44	Teruel	2	Industria y energía	06	Coquerías y refino de petróleo; industria química; productos farmacéuticos (cnae 19, 20, 21)	47
2018	44	Teruel	2	Industria y energía	07	Fabricación de productos de caucho y plástico y de otros minerales no metálicos (cnae 22, 23)	154
2018	44	Teruel	2	Industria y energía	08	Metalurgia y fabricación de productos metálicos, excepto maquinaria y equipo (cnae 24, 25)	253
2018	44	Teruel	2	Industria y energía	09	Fabricación de productos informáticos, electrónicos y ópticos; material y equipo eléctrico; maquinaria y equipo (cnae 26, 27, 28)	52
2018	44	Teruel	2	Industria y energía	10	Fabricación de material de transporte (cnae 29, 30)	25
2018	44	Teruel	2	Industria y energía	11	Fabricación de muebles; otras industrias manufactureras y reparación e instalación de maquinaria y equipo (cnae 31, 32, 33)	147
2018	44	Teruel	2	Industria y energía	12	Suministro de energía eléctrica, gas, vapor y aire acondicionado (cnae 35)	355
2018	44	Teruel	2	Industria y energía	13	Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación (cnae 36, 37, 38, 39)	144
2018	44	Teruel	3	Construcción	14	Construcción (cnae 41, 42, 43)	3454
