CCAA código	CCAA nombre	Año	División (2 dígitos) código	División (2 dígitos) descripción	Número de actividades
02	Aragón	2018	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	9188
02	Aragón	2018	02	Silvicultura y explotación forestal	224
02	Aragón	2018	05	Extracción de antracita, hulla y lignito	20
02	Aragón	2018	06	Extracción de crudo de petróleo y gas natural	2
02	Aragón	2018	07	Extracción de minerales metálicos	2
02	Aragón	2018	08	Otras industrias extractivas	286
02	Aragón	2018	09	Actividades de apoyo a las industrias extractivas	2
02	Aragón	2018	10	Industria de la alimentación	1809
02	Aragón	2018	11	Fabricación de bebidas	318
02	Aragón	2018	13	Industria textil	317
02	Aragón	2018	14	Confección de prendas de vestir	516
02	Aragón	2018	15	Industria del cuero y del calzado	201
02	Aragón	2018	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	593
02	Aragón	2018	17	Industria del papel	96
02	Aragón	2018	18	Artes gráficas y reproducción de soportes grabados	733
02	Aragón	2018	20	Industria química	306
02	Aragón	2018	21	Fabricación de productos farmacéuticos	38
02	Aragón	2018	22	Fabricación de productos de caucho y plásticos	293
02	Aragón	2018	23	Fabricación de otros productos minerales no metálicos	511
02	Aragón	2018	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	74
02	Aragón	2018	25	Fabricación de productos metálicos, excepto maquinaria y equipo	2317
02	Aragón	2018	26	Fabricación de productos informáticos, electrónicos y ópticos	170
02	Aragón	2018	27	Fabricación de material y equipo eléctrico	196
02	Aragón	2018	28	Fabricación de maquinaria y equipo n.c.o.p.	669
02	Aragón	2018	29	Fabricación de vehículos de motor, remolques y semirremolques	243
02	Aragón	2018	30	Fabricación de otro material de transporte	66
02	Aragón	2018	31	Fabricación de muebles	626
02	Aragón	2018	32	Otras industrias manufactureras	535
02	Aragón	2018	33	Reparación e instalación de maquinaria y equipo	686
02	Aragón	2018	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	1889
02	Aragón	2018	36	Captación, depuración y distribución de agua	98
02	Aragón	2018	37	Recogida y tratamiento de aguas residuales	265
02	Aragón	2018	38	Recogida, tratamiento y eliminación de residuos; valorización	179
02	Aragón	2018	39	Actividades de descontaminación y otros servicios de gestión de residuos	167
02	Aragón	2018	41	Construcción de edificios	9223
02	Aragón	2018	42	Ingeniería civil	1313
02	Aragón	2018	43	Actividades de construcción especializada	15614
02	Aragón	2018	45	Venta y reparación de vehículos de motor y motocicletas	4802
02	Aragón	2018	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	12662
02	Aragón	2018	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	34906
02	Aragón	2018	49	Transporte terrestre y por tubería	7510
02	Aragón	2018	50	Transporte marítimo y por vías navegables interiores	6
02	Aragón	2018	51	Transporte aéreo	7
02	Aragón	2018	52	Almacenamiento y actividades anexas al transporte	1243
02	Aragón	2018	53	Actividades postales y de correos	989
02	Aragón	2018	55	Servicios de alojamiento	2440
02	Aragón	2018	56	Servicios de comidas y bebidas	13922
02	Aragón	2018	58	Edición	555
02	Aragón	2018	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	484
02	Aragón	2018	60	Actividades de programación y emisión de radio y televisión	142
02	Aragón	2018	61	Telecomunicaciones	232
02	Aragón	2018	62	Programación, consultoría y otras actividades relacionadas con la informática	1736
02	Aragón	2018	63	Servicios de información	212
02	Aragón	2018	64	Servicios financieros, excepto seguros y fondos de pensiones	1267
02	Aragón	2018	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	169
02	Aragón	2018	66	Actividades auxiliares a los servicios financieros y a los seguros	3822
02	Aragón	2018	68	Actividades inmobiliarias	23127
02	Aragón	2018	69	Actividades jurídicas y de contabilidad	6749
02	Aragón	2018	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	5825
02	Aragón	2018	72	Investigación y desarrollo	1132
02	Aragón	2018	73	Publicidad y estudios de mercado	1984
02	Aragón	2018	74	Otras actividades profesionales, científicas y técnicas	3453
02	Aragón	2018	75	Actividades veterinarias	638
02	Aragón	2018	77	Actividades de alquiler	2234
02	Aragón	2018	78	Actividades relacionadas con el empleo	390
02	Aragón	2018	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	615
02	Aragón	2018	80	Actividades de seguridad e investigación	180
02	Aragón	2018	81	Servicios a edificios y actividades de jardinería	1825
02	Aragón	2018	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	5366
02	Aragón	2018	85	Educación	7844
02	Aragón	2018	86	Actividades sanitarias	5903
02	Aragón	2018	87	Asistencia en establecimientos residenciales	472
02	Aragón	2018	88	Actividades de servicios sociales sin alojamiento	469
02	Aragón	2018	90	Actividades de creación, artísticas y espectáculos	3237
02	Aragón	2018	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	607
02	Aragón	2018	92	Actividades de juegos de azar y apuestas	736
02	Aragón	2018	93	Actividades deportivas, recreativas y de entretenimiento	1801
02	Aragón	2018	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	1737
02	Aragón	2018	96	Otros servicios personales	6709
