Año	Comarca código	Comarca nombre	División (2 dígitos) código	División (2 dígitos) descripción	Número de actividades
2018	01	La Jacetania	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	157
2018	01	La Jacetania	02	Silvicultura y explotación forestal	9
2018	01	La Jacetania	06	Extracción de crudo de petróleo y gas natural	1
2018	01	La Jacetania	08	Otras industrias extractivas	4
2018	01	La Jacetania	10	Industria de la alimentación	25
2018	01	La Jacetania	11	Fabricación de bebidas	5
2018	01	La Jacetania	13	Industria textil	2
2018	01	La Jacetania	14	Confección de prendas de vestir	6
2018	01	La Jacetania	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	16
2018	01	La Jacetania	17	Industria del papel	1
2018	01	La Jacetania	18	Artes gráficas y reproducción de soportes grabados	10
2018	01	La Jacetania	20	Industria química	1
2018	01	La Jacetania	23	Fabricación de otros productos minerales no metálicos	8
2018	01	La Jacetania	25	Fabricación de productos metálicos, excepto maquinaria y equipo	31
2018	01	La Jacetania	27	Fabricación de material y equipo eléctrico	2
2018	01	La Jacetania	28	Fabricación de maquinaria y equipo n.c.o.p.	4
2018	01	La Jacetania	29	Fabricación de vehículos de motor, remolques y semirremolques	1
2018	01	La Jacetania	30	Fabricación de otro material de transporte	2
2018	01	La Jacetania	31	Fabricación de muebles	2
2018	01	La Jacetania	32	Otras industrias manufactureras	13
2018	01	La Jacetania	33	Reparación e instalación de maquinaria y equipo	10
2018	01	La Jacetania	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	17
2018	01	La Jacetania	36	Captación, depuración y distribución de agua	13
2018	01	La Jacetania	37	Recogida y tratamiento de aguas residuales	2
2018	01	La Jacetania	39	Actividades de descontaminación y otros servicios de gestión de residuos	3
2018	01	La Jacetania	41	Construcción de edificios	252
2018	01	La Jacetania	42	Ingeniería civil	38
2018	01	La Jacetania	43	Actividades de construcción especializada	308
2018	01	La Jacetania	45	Venta y reparación de vehículos de motor y motocicletas	64
2018	01	La Jacetania	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	120
2018	01	La Jacetania	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	790
2018	01	La Jacetania	49	Transporte terrestre y por tubería	103
2018	01	La Jacetania	52	Almacenamiento y actividades anexas al transporte	3
2018	01	La Jacetania	53	Actividades postales y de correos	5
2018	01	La Jacetania	55	Servicios de alojamiento	177
2018	01	La Jacetania	56	Servicios de comidas y bebidas	468
2018	01	La Jacetania	58	Edición	9
2018	01	La Jacetania	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	5
2018	01	La Jacetania	60	Actividades de programación y emisión de radio y televisión	1
2018	01	La Jacetania	62	Programación, consultoría y otras actividades relacionadas con la informática	20
2018	01	La Jacetania	63	Servicios de información	5
2018	01	La Jacetania	64	Servicios financieros, excepto seguros y fondos de pensiones	17
2018	01	La Jacetania	66	Actividades auxiliares a los servicios financieros y a los seguros	56
2018	01	La Jacetania	68	Actividades inmobiliarias	449
2018	01	La Jacetania	69	Actividades jurídicas y de contabilidad	85
2018	01	La Jacetania	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	61
2018	01	La Jacetania	72	Investigación y desarrollo	15
2018	01	La Jacetania	73	Publicidad y estudios de mercado	26
2018	01	La Jacetania	74	Otras actividades profesionales, científicas y técnicas	60
2018	01	La Jacetania	75	Actividades veterinarias	11
2018	01	La Jacetania	77	Actividades de alquiler	53
2018	01	La Jacetania	78	Actividades relacionadas con el empleo	3
2018	01	La Jacetania	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	45
2018	01	La Jacetania	81	Servicios a edificios y actividades de jardinería	55
2018	01	La Jacetania	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	66
2018	01	La Jacetania	85	Educación	163
2018	01	La Jacetania	86	Actividades sanitarias	85
2018	01	La Jacetania	87	Asistencia en establecimientos residenciales	7
2018	01	La Jacetania	88	Actividades de servicios sociales sin alojamiento	2
2018	01	La Jacetania	90	Actividades de creación, artísticas y espectáculos	62
2018	01	La Jacetania	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	25
2018	01	La Jacetania	92	Actividades de juegos de azar y apuestas	15
2018	01	La Jacetania	93	Actividades deportivas, recreativas y de entretenimiento	85
2018	01	La Jacetania	95	Reparación de ordenadores, efectos personales y artículos de uso doméstico	35
2018	01	La Jacetania	96	Otros servicios personales	121
2018	02	Alto Gállego	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	54
2018	02	Alto Gállego	02	Silvicultura y explotación forestal	13
2018	02	Alto Gállego	06	Extracción de crudo de petróleo y gas natural	1
2018	02	Alto Gállego	08	Otras industrias extractivas	2
2018	02	Alto Gállego	10	Industria de la alimentación	18
2018	02	Alto Gállego	11	Fabricación de bebidas	14
2018	02	Alto Gállego	13	Industria textil	7
2018	02	Alto Gállego	14	Confección de prendas de vestir	6
2018	02	Alto Gállego	15	Industria del cuero y del calzado	1
2018	02	Alto Gállego	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	10
2018	02	Alto Gállego	18	Artes gráficas y reproducción de soportes grabados	5
2018	02	Alto Gállego	20	Industria química	15
2018	02	Alto Gállego	21	Fabricación de productos farmacéuticos	1
2018	02	Alto Gállego	22	Fabricación de productos de caucho y plásticos	4
2018	02	Alto Gállego	23	Fabricación de otros productos minerales no metálicos	4
2018	02	Alto Gállego	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	3
2018	02	Alto Gállego	25	Fabricación de productos metálicos, excepto maquinaria y equipo	26
2018	02	Alto Gállego	28	Fabricación de maquinaria y equipo n.c.o.p.	3
2018	02	Alto Gállego	29	Fabricación de vehículos de motor, remolques y semirremolques	1
2018	02	Alto Gállego	30	Fabricación de otro material de transporte	1
2018	02	Alto Gállego	31	Fabricación de muebles	5
2018	02	Alto Gállego	32	Otras industrias manufactureras	3
2018	02	Alto Gállego	33	Reparación e instalación de maquinaria y equipo	5
2018	02	Alto Gállego	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	28
2018	02	Alto Gállego	36	Captación, depuración y distribución de agua	1
2018	02	Alto Gállego	37	Recogida y tratamiento de aguas residuales	6
2018	02	Alto Gállego	38	Recogida, tratamiento y eliminación de residuos; valorización	3
2018	02	Alto Gállego	39	Actividades de descontaminación y otros servicios de gestión de residuos	7
2018	02	Alto Gállego	41	Construcción de edificios	205
2018	02	Alto Gállego	42	Ingeniería civil	23
2018	02	Alto Gállego	43	Actividades de construcción especializada	235
2018	02	Alto Gállego	45	Venta y reparación de vehículos de motor y motocicletas	63
2018	02	Alto Gállego	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	90
2018	02	Alto Gállego	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	563
2018	02	Alto Gállego	49	Transporte terrestre y por tubería	66
2018	02	Alto Gállego	52	Almacenamiento y actividades anexas al transporte	11
2018	02	Alto Gállego	53	Actividades postales y de correos	1
2018	02	Alto Gállego	55	Servicios de alojamiento	161
2018	02	Alto Gállego	56	Servicios de comidas y bebidas	399
2018	02	Alto Gállego	58	Edición	2
2018	02	Alto Gállego	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	2
