Año	Municipio código	Municipio nombre	División (2 dígitos) código	División (2 dígitos) descripción	Número de actividades
2018	22048	Barbastro	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	108
2018	22048	Barbastro	02	Silvicultura y explotación forestal	4
2018	22048	Barbastro	08	Otras industrias extractivas	1
2018	22048	Barbastro	10	Industria de la alimentación	30
2018	22048	Barbastro	11	Fabricación de bebidas	16
2018	22048	Barbastro	13	Industria textil	3
2018	22048	Barbastro	14	Confección de prendas de vestir	5
2018	22048	Barbastro	15	Industria del cuero y del calzado	3
2018	22048	Barbastro	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	12
2018	22048	Barbastro	17	Industria del papel	1
2018	22048	Barbastro	18	Artes gráficas y reproducción de soportes grabados	18
2018	22048	Barbastro	20	Industria química	15
2018	22048	Barbastro	21	Fabricación de productos farmacéuticos	1
2018	22048	Barbastro	22	Fabricación de productos de caucho y plásticos	4
2018	22048	Barbastro	23	Fabricación de otros productos minerales no metálicos	8
2018	22048	Barbastro	25	Fabricación de productos metálicos, excepto maquinaria y equipo	32
2018	22048	Barbastro	26	Fabricación de productos informáticos, electrónicos y ópticos	3
2018	22048	Barbastro	27	Fabricación de material y equipo eléctrico	1
2018	22048	Barbastro	28	Fabricación de maquinaria y equipo n.c.o.p.	8
2018	22048	Barbastro	29	Fabricación de vehículos de motor, remolques y semirremolques	1
2018	22048	Barbastro	31	Fabricación de muebles	16
2018	22048	Barbastro	32	Otras industrias manufactureras	4
2018	22048	Barbastro	33	Reparación e instalación de maquinaria y equipo	10
2018	22048	Barbastro	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	13
2018	22048	Barbastro	36	Captación, depuración y distribución de agua	1
2018	22048	Barbastro	37	Recogida y tratamiento de aguas residuales	3
2018	22048	Barbastro	38	Recogida, tratamiento y eliminación de residuos; valorización	1
2018	22048	Barbastro	39	Actividades de descontaminación y otros servicios de gestión de residuos	2
2018	22048	Barbastro	41	Construcción de edificios	100
2018	22048	Barbastro	42	Ingeniería civil	3
2018	22048	Barbastro	43	Actividades de construcción especializada	187
2018	22048	Barbastro	45	Venta y reparación de vehículos de motor y motocicletas	82
2018	22048	Barbastro	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	158
2018	22048	Barbastro	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	552
2018	22048	Barbastro	49	Transporte terrestre y por tubería	71
2018	22048	Barbastro	52	Almacenamiento y actividades anexas al transporte	9
2018	22048	Barbastro	53	Actividades postales y de correos	7
2018	22048	Barbastro	55	Servicios de alojamiento	14
2018	22048	Barbastro	56	Servicios de comidas y bebidas	183
2018	22048	Barbastro	58	Edición	15
2018	22048	Barbastro	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	6
2018	22048	Barbastro	60	Actividades de programación y emisión de radio y televisión	3
2018	22048	Barbastro	61	Telecomunicaciones	8
2018	22048	Barbastro	62	Programación, consultoría y otras actividades relacionadas con la informática	18
2018	22048	Barbastro	63	Servicios de información	3
2018	22048	Barbastro	64	Servicios financieros, excepto seguros y fondos de pensiones	13
2018	22048	Barbastro	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	2
2018	22048	Barbastro	66	Actividades auxiliares a los servicios financieros y a los seguros	48
2018	22048	Barbastro	68	Actividades inmobiliarias	396
2018	22048	Barbastro	69	Actividades jurídicas y de contabilidad	76
2018	22048	Barbastro	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	90
2018	22048	Barbastro	72	Investigación y desarrollo	15
2018	22048	Barbastro	73	Publicidad y estudios de mercado	41
2018	22048	Barbastro	74	Otras actividades profesionales, científicas y técnicas	37
2018	22048	Barbastro	75	Actividades veterinarias	6
2018	22048	Barbastro	77	Actividades de alquiler	39
2018	22048	Barbastro	78	Actividades relacionadas con el empleo	8
2018	22048	Barbastro	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	8
2018	22048	Barbastro	80	Actividades de seguridad e investigación	1
2018	22048	Barbastro	81	Servicios a edificios y actividades de jardinería	34
2018	22048	Barbastro	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	61
2018	22048	Barbastro	85	Educación	155
2018	22048	Barbastro	86	Actividades sanitarias	79
2018	22048	Barbastro	87	Asistencia en establecimientos residenciales	4
2018	22048	Barbastro	88	Actividades de servicios sociales sin alojamiento	6
2018	22048	Barbastro	90	Actividades de creación, artísticas y espectáculos	40
2018	22048	Barbastro	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	6
2018	22048	Barbastro	92	Actividades de juegos de azar y apuestas	17
2018	22048	Barbastro	93	Actividades deportivas, recreativas y de entretenimiento	27
