Año	Provincia código	Provincia nombre	División (2 dígitos) código	División (2 dígitos) descripción	Número de actividades
2018	22	Huesca	01	Agricultura, ganadería, caza y servicios relacionados con las mismas	4352
2018	22	Huesca	02	Silvicultura y explotación forestal	84
2018	22	Huesca	05	Extracción de antracita, hulla y lignito	4
2018	22	Huesca	06	Extracción de crudo de petróleo y gas natural	2
2018	22	Huesca	08	Otras industrias extractivas	50
2018	22	Huesca	10	Industria de la alimentación	456
2018	22	Huesca	11	Fabricación de bebidas	102
2018	22	Huesca	13	Industria textil	52
2018	22	Huesca	14	Confección de prendas de vestir	75
2018	22	Huesca	15	Industria del cuero y del calzado	13
2018	22	Huesca	16	Industria de la madera y del corcho, excepto muebles; cestería y espartería	168
2018	22	Huesca	17	Industria del papel	17
2018	22	Huesca	18	Artes gráficas y reproducción de soportes grabados	121
2018	22	Huesca	20	Industria química	100
2018	22	Huesca	21	Fabricación de productos farmacéuticos	4
2018	22	Huesca	22	Fabricación de productos de caucho y plásticos	36
2018	22	Huesca	23	Fabricación de otros productos minerales no metálicos	114
2018	22	Huesca	24	Metalurgia; fabricación de productos de hierro, acero y ferroaleaciones	11
2018	22	Huesca	25	Fabricación de productos metálicos, excepto maquinaria y equipo	484
2018	22	Huesca	26	Fabricación de productos informáticos, electrónicos y ópticos	21
2018	22	Huesca	27	Fabricación de material y equipo eléctrico	26
2018	22	Huesca	28	Fabricación de maquinaria y equipo n.c.o.p.	99
2018	22	Huesca	29	Fabricación de vehículos de motor, remolques y semirremolques	31
2018	22	Huesca	30	Fabricación de otro material de transporte	15
2018	22	Huesca	31	Fabricación de muebles	92
2018	22	Huesca	32	Otras industrias manufactureras	75
2018	22	Huesca	33	Reparación e instalación de maquinaria y equipo	117
2018	22	Huesca	35	Suministro de energía eléctrica, gas, vapor y aire acondicionado	444
2018	22	Huesca	36	Captación, depuración y distribución de agua	46
2018	22	Huesca	37	Recogida y tratamiento de aguas residuales	66
2018	22	Huesca	38	Recogida, tratamiento y eliminación de residuos; valorización	32
2018	22	Huesca	39	Actividades de descontaminación y otros servicios de gestión de residuos	55
2018	22	Huesca	41	Construcción de edificios	2134
2018	22	Huesca	42	Ingeniería civil	263
2018	22	Huesca	43	Actividades de construcción especializada	3200
2018	22	Huesca	45	Venta y reparación de vehículos de motor y motocicletas	1062
2018	22	Huesca	46	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	2108
2018	22	Huesca	47	Comercio al por menor, excepto de vehículos de motor y motocicletas	7019
2018	22	Huesca	49	Transporte terrestre y por tubería	1216
2018	22	Huesca	50	Transporte marítimo y por vías navegables interiores	1
2018	22	Huesca	52	Almacenamiento y actividades anexas al transporte	156
2018	22	Huesca	53	Actividades postales y de correos	68
2018	22	Huesca	55	Servicios de alojamiento	1096
2018	22	Huesca	56	Servicios de comidas y bebidas	3233
2018	22	Huesca	58	Edición	119
2018	22	Huesca	59	Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical	83
2018	22	Huesca	60	Actividades de programación y emisión de radio y televisión	28
2018	22	Huesca	61	Telecomunicaciones	33
2018	22	Huesca	62	Programación, consultoría y otras actividades relacionadas con la informática	231
2018	22	Huesca	63	Servicios de información	31
2018	22	Huesca	64	Servicios financieros, excepto seguros y fondos de pensiones	254
2018	22	Huesca	65	Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria	27
2018	22	Huesca	66	Actividades auxiliares a los servicios financieros y a los seguros	639
2018	22	Huesca	68	Actividades inmobiliarias	4591
2018	22	Huesca	69	Actividades jurídicas y de contabilidad	897
2018	22	Huesca	71	Servicios técnicos de arquitectura e ingeniería; ensayos y análisis técnicos	1102
2018	22	Huesca	72	Investigación y desarrollo	165
2018	22	Huesca	73	Publicidad y estudios de mercado	312
2018	22	Huesca	74	Otras actividades profesionales, científicas y técnicas	653
2018	22	Huesca	75	Actividades veterinarias	113
2018	22	Huesca	77	Actividades de alquiler	557
2018	22	Huesca	78	Actividades relacionadas con el empleo	71
2018	22	Huesca	79	Actividades de agencias de viajes, operadores turísticos, servicios de reservas y actividades relacionadas con los mismos	213
2018	22	Huesca	80	Actividades de seguridad e investigación	31
2018	22	Huesca	81	Servicios a edificios y actividades de jardinería	482
2018	22	Huesca	82	Actividades administrativas de oficina y otras actividades auxiliares a las empresas	761
2018	22	Huesca	85	Educación	1693
2018	22	Huesca	86	Actividades sanitarias	839
2018	22	Huesca	87	Asistencia en establecimientos residenciales	78
2018	22	Huesca	88	Actividades de servicios sociales sin alojamiento	79
2018	22	Huesca	90	Actividades de creación, artísticas y espectáculos	645
2018	22	Huesca	91	Actividades de bibliotecas, archivos, museos y otras actividades culturales	251
