Comarca código	Comarca nombre	Superficie (km2)	Población	Densidad de población (hab/km2)	Año
01	La Jacetania	1857,7	17825,0	9,59519836356785	2020
01	La Jacetania	1857,7	17704,0	9,53006405770577	2019
01	La Jacetania	1857,7	17863,0	9,61565376540884	2016
01	La Jacetania	1857,7	18080,0	9,73246487592184	2015
01	La Jacetania	1857,7	18235,0	9,81590138343112	2014
01	La Jacetania	1857,7	18421,0	9,91602519244227	2013
01	La Jacetania	1857,7	18537,0	9,97846799806212	2012
01	La Jacetania	1857,7	18709,0	10,071055606395	2011
01	La Jacetania	1857,7	18664,0	10,0468321042149	2010
01	La Jacetania	1857,7	18703,0	10,0678258061043	2009
01	La Jacetania	1857,7	18511,0	9,9644721968025	2008
01	La Jacetania	1857,7	18144,0	9,76691607902245	2007
01	La Jacetania	1857,7	18166,0	9,77875868008828	2006
01	La Jacetania	1857,7	17930,0	9,65171986865479	2005
01	La Jacetania	1857,7	17622,0	9,48592345373311	2004
01	La Jacetania	1857,7	17299,0	9,31205253808473	2003
01	La Jacetania	1857,7	17207,0	9,2625289336276	2002
01	La Jacetania	1857,7	16876,0	9,08435161759165	2001
01	La Jacetania	1857,7	16646,0	8,96054260644883	2000
01	La Jacetania	1857,7	16591,0	8,93093610378425	1999
01	La Jacetania	1857,7	16429,0	8,84373149593583	1998
01	La Jacetania	1857,7	16583,0	8,92662970339667	1996
02	Alto Gállego	1359,82	13434,0	9,87924872409584	2020
02	Alto Gállego	1359,82	13462,0	9,89983968466415	2019
02	Alto Gállego	1359,82	13539,0	9,956464826227	2016
02	Alto Gállego	1359,82	13766,0	10,1233986851201	2015
02	Alto Gállego	1359,82	14139,0	10,3976996955479	2014
02	Alto Gállego	1359,82	14447,0	10,6242002617994	2013
02	Alto Gállego	1359,82	14641,0	10,7668662028798	2012
02	Alto Gállego	1359,82	14820,0	10,8985012722272	2011
02	Alto Gállego	1359,82	14921,0	10,9727758085629	2010
02	Alto Gállego	1359,82	14916,0	10,9690988513185	2009
02	Alto Gállego	1359,82	14570,0	10,7146534100101	2008
02	Alto Gállego	1359,82	13955,0	10,2623876689562	2007
02	Alto Gállego	1359,82	13457,0	9,89616272741981	2006
02	Alto Gállego	1359,82	13121,0	9,64907120060008	2005
02	Alto Gállego	1359,82	12749,0	9,3755055816211	2004
02	Alto Gállego	1359,82	12593,0	9,26078451559765	2003
02	Alto Gállego	1359,82	12320,0	9,06002265005663	2002
