Año	CCAA código	CCAA nombre	Población
1996	02	Aragón	1187546,0
1998	02	Aragón	1183234,0
1999	02	Aragón	1186849,0
2000	02	Aragón	1189909,0
2001	02	Aragón	1199753,0
2002	02	Aragón	1217514,0
2003	02	Aragón	1230090,0
2004	02	Aragón	1249584,0
2005	02	Aragón	1269027,0
2006	02	Aragón	1277471,0
2007	02	Aragón	1296655,0
2008	02	Aragón	1326918,0
2009	02	Aragón	1345473,0
2010	02	Aragón	1347095,0
2011	02	Aragón	1346293,0
2012	02	Aragón	1349467,0
2013	02	Aragón	1347150,0
2014	02	Aragón	1325385,0
2015	02	Aragón	1317847,0
2016	02	Aragón	1308563,0
2019	02	Aragón	1319291,0
2020	02	Aragón	1329391,0
