Año	Población	Comarca código	Comarca nombre
1996	16583,0	01	La Jacetania
1996	12184,0	02	Alto Gállego
1996	6806,0	03	Sobrarbe
1996	11895,0	04	La Ribagorza
1996	31837,0	05	Cinco Villas
1996	59711,0	06	Hoya de Huesca / Plana de Uesca
1996	22652,0	07	Somontano de Barbastro
1996	21843,0	08	Cinca Medio
1996	18927,0	09	La Litera / La Llitera
1996	22042,0	10	Los Monegros
1996	22383,0	11	Bajo Cinca / Baix Cinca
1996	14207,0	12	Tarazona y el Moncayo
1996	14303,0	13	Campo de Borja
1996	8147,0	14	Aranda
1996	21671,0	15	Ribera Alta del Ebro
1996	21630,0	16	Valdejalón
1996	636833,0	17	D.C. Zaragoza
1996	9769,0	18	Ribera Baja del Ebro
1996	13008,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp
1996	40271,0	20	Comunidad de Calatayud
1996	9902,0	21	Campo de Cariñena
1996	5811,0	22	Campo de Belchite
1996	7894,0	23	Bajo Martín
1996	6920,0	24	Campo de Daroca
1996	14353,0	25	Jiloca
1996	10240,0	26	Cuencas Mineras
1996	11911,0	27	Andorra-Sierra de Arcos
1996	26097,0	28	Bajo Aragón
1996	41750,0	29	Comunidad de Teruel
1996	3773,0	30	Maestrazgo
1996	5208,0	31	Sierra de Albarracín
1996	7817,0	32	Gúdar-Javalambre
1996	9168,0	33	Matarraña / Matarranya
1998	16429,0	01	La Jacetania
1998	12102,0	02	Alto Gállego
1998	6689,0	03	Sobrarbe
1998	11755,0	04	La Ribagorza
1998	31030,0	05	Cinco Villas
1998	59325,0	06	Hoya de Huesca / Plana de Uesca
1998	22357,0	07	Somontano de Barbastro
1998	21685,0	08	Cinca Medio
1998	18709,0	09	La Litera / La Llitera
1998	21641,0	10	Los Monegros
1998	22268,0	11	Bajo Cinca / Baix Cinca
1998	14054,0	12	Tarazona y el Moncayo
1998	13968,0	13	Campo de Borja
1998	8113,0	14	Aranda
1998	21595,0	15	Ribera Alta del Ebro
1998	21385,0	16	Valdejalón
1998	639411,0	17	D.C. Zaragoza
1998	9539,0	18	Ribera Baja del Ebro
1998	12885,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp
1998	39167,0	20	Comunidad de Calatayud
1998	9842,0	21	Campo de Cariñena
1998	5674,0	22	Campo de Belchite
1998	7737,0	23	Bajo Martín
1998	6771,0	24	Campo de Daroca
1998	14128,0	25	Jiloca
1998	9979,0	26	Cuencas Mineras
1998	11728,0	27	Andorra-Sierra de Arcos
1998	26024,0	28	Bajo Aragón
1998	41715,0	29	Comunidad de Teruel
1998	3728,0	30	Maestrazgo
1998	5083,0	31	Sierra de Albarracín
1998	7778,0	32	Gúdar-Javalambre
1998	8940,0	33	Matarraña / Matarranya
1999	16591,0	01	La Jacetania
1999	12101,0	02	Alto Gállego
1999	6740,0	03	Sobrarbe
1999	11904,0	04	La Ribagorza
1999	31738,0	05	Cinco Villas
1999	59472,0	06	Hoya de Huesca / Plana de Uesca
1999	22399,0	07	Somontano de Barbastro
1999	21713,0	08	Cinca Medio
1999	18631,0	09	La Litera / La Llitera
1999	21549,0	10	Los Monegros
1999	22301,0	11	Bajo Cinca / Baix Cinca
1999	14151,0	12	Tarazona y el Moncayo
1999	14177,0	13	Campo de Borja
1999	8127,0	14	Aranda
1999	21746,0	15	Ribera Alta del Ebro
1999	21496,0	16	Valdejalón
1999	640346,0	17	D.C. Zaragoza
1999	9664,0	18	Ribera Baja del Ebro
1999	12947,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp
1999	39851,0	20	Comunidad de Calatayud
1999	9895,0	21	Campo de Cariñena
1999	5680,0	22	Campo de Belchite
1999	7613,0	23	Bajo Martín
1999	6781,0	24	Campo de Daroca
1999	14079,0	25	Jiloca
1999	9881,0	26	Cuencas Mineras
1999	11568,0	27	Andorra-Sierra de Arcos
1999	25962,0	28	Bajo Aragón
1999	42272,0	29	Comunidad de Teruel
1999	3717,0	30	Maestrazgo
1999	5108,0	31	Sierra de Albarracín
1999	7779,0	32	Gúdar-Javalambre
1999	8870,0	33	Matarraña / Matarranya
2000	16646,0	01	La Jacetania
2000	12117,0	02	Alto Gállego
2000	6820,0	03	Sobrarbe
2000	11856,0	04	La Ribagorza
2000	31737,0	05	Cinco Villas
2000	59509,0	06	Hoya de Huesca / Plana de Uesca
2000	22475,0	07	Somontano de Barbastro
2000	21784,0	08	Cinca Medio
2000	18546,0	09	La Litera / La Llitera
2000	21356,0	10	Los Monegros
2000	22216,0	11	Bajo Cinca / Baix Cinca
2000	14106,0	12	Tarazona y el Moncayo
2000	14113,0	13	Campo de Borja
2000	8052,0	14	Aranda
2000	21870,0	15	Ribera Alta del Ebro
2000	21946,0	16	Valdejalón
2000	643602,0	17	D.C. Zaragoza
2000	9566,0	18	Ribera Baja del Ebro
2000	12783,0	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2000	39948,0	20	Comunidad de Calatayud
2000	9899,0	21	Campo de Cariñena
2000	5672,0	22	Campo de Belchite
2000	7497,0	23	Bajo Martín
2000	6817,0	24	Campo de Daroca
2000	13964,0	25	Jiloca
2000	9763,0	26	Cuencas Mineras
2000	11397,0	27	Andorra-Sierra de Arcos
2000	26120,0	28	Bajo Aragón
2000	42556,0	29	Comunidad de Teruel
2000	3708,0	30	Maestrazgo
2000	5065,0	31	Sierra de Albarracín
2000	7717,0	32	Gúdar-Javalambre
2000	8686,0	33	Matarraña / Matarranya
2001	16876,0	01	La Jacetania
2001	11955,0	02	Alto Gállego
2001	6833,0	03	Sobrarbe
2001	11944,0	04	La Ribagorza
2001	32120,0	05	Cinco Villas
2001	59823,0	06	Hoya de Huesca / Plana de Uesca
2001	22164,0	07	Somontano de Barbastro
2001	22125,0	08	Cinca Medio
2001	18586,0	09	La Litera / La Llitera
2001	21207,0	10	Los Monegros
