Año	Población	Municipio código	Municipio nombre
1996	305,0	22001	Abiego
1996	136,0	22002	Abizanda
1996	171,0	22003	Adahuesca
1996	163,0	22004	Agüero
1996	354,0	22006	Aísa
1996	1107,0	22007	Albalate de Cinca
1996	271,0	22008	Albalatillo
1996	975,0	22009	Albelda
1996	101,0	22011	Albero Alto
1996	117,0	22012	Albero Bajo
1996	404,0	22013	Alberuela de Tubo
1996	370,0	22014	Alcalá de Gurrea
1996	353,0	22015	Alcalá del Obispo
1996	1015,0	22016	Alcampell
1996	1245,0	22017	Alcolea de Cinca
1996	483,0	22018	Alcubierre
1996	167,0	22019	Alerre
1996	131,0	22020	Alfántega
1996	2379,0	22021	Almudévar
1996	704,0	22022	Almunia de San Juan
1996	644,0	22023	Almuniente
1996	303,0	22024	Alquézar
1996	1454,0	22025	Altorricón
1996	461,0	22027	Angüés
1996	509,0	22028	Ansó
1996	171,0	22029	Antillón
1996	144,0	22032	Aragüés del Puerto
1996	418,0	22035	Arén
1996	121,0	22036	Argavieso
1996	59,0	22037	Arguis
1996	1142,0	22039	Ayerbe
1996	204,0	22040	Azanuy-Alins
1996	231,0	22041	Azara
1996	174,0	22042	Azlor
1996	160,0	22043	Baells
1996	338,0	22044	Bailo
1996	159,0	22045	Baldellou
1996	1102,0	22046	Ballobar
1996	170,0	22047	Banastás
1996	14520,0	22048	Barbastro
1996	121,0	22049	Barbués
1996	110,0	22050	Barbuñales
1996	114,0	22051	Bárcabo
1996	1406,0	22052	Belver de Cinca
1996	1195,0	22053	Benabarre
1996	1219,0	22054	Benasque
1996	486,0	22055	Berbegal
1996	472,0	22057	Bielsa
1996	224,0	22058	Bierge
1996	1240,0	22059	Biescas
1996	1622,0	22060	Binaced
1996	8130,0	22061	Binéfar
1996	223,0	22062	Bisaurri
1996	249,0	22063	Biscarrués
1996	187,0	22064	Blecua y Torres
1996	881,0	22066	Boltaña
1996	72,0	22067	Bonansa
1996	78,0	22068	Borau
1996	522,0	22069	Broto
1996	267,0	22072	Caldearenas
1996	376,0	22074	Campo
1996	263,0	22075	Camporrells
1996	429,0	22076	Canal de Berdún
1996	572,0	22077	Candasnos
1996	509,0	22078	Canfranc
1996	194,0	22079	Capdesaso
1996	406,0	22080	Capella
1996	322,0	22081	Casbas de Huesca
1996	407,0	22082	Castejón del Puente
1996	754,0	22083	Castejón de Monegros
1996	514,0	22084	Castejón de Sos
1996	157,0	22085	Castelflorite
1996	156,0	22086	Castiello de Jaca
1996	104,0	22087	Castigaleu
1996	239,0	22088	Castillazuelo
1996	444,0	22089	Castillonroy
1996	129,0	22090	Colungo
1996	179,0	22094	Chalamera
1996	121,0	22095	Chía
1996	162,0	22096	Chimillas
1996	811,0	22099	Esplús
1996	198,0	22102	Estada
1996	968,0	22103	Estadilla
1996	195,0	22105	Estopiñán del Castillo
1996	43,0	22106	Fago
1996	107,0	22107	Fanlo
1996	244,0	22109	Fiscal
1996	1169,0	22110	Fonz
1996	260,0	22111	Foradada del Toscar
1996	11783,0	22112	Fraga
1996	622,0	22113	Fueva (La)
1996	187,0	22114	Gistaín
1996	586,0	22115	Grado (El)
1996	2062,0	22116	Grañén
1996	3300,0	22117	Graus
1996	1895,0	22119	Gurrea de Gállego
1996	80,0	22122	Hoz de Jaca
1996	268,0	22124	Huerto
1996	45607,0	22125	Huesca
1996	110,0	22126	Ibieca
1996	193,0	22127	Igriés
1996	294,0	22128	Ilche
1996	268,0	22129	Isábena
1996	11310,0	22130	Jaca
1996	137,0	22131	Jasa
1996	180,0	22133	Labuerda
1996	271,0	22135	Laluenga
1996	1292,0	22136	Lalueza
1996	1651,0	22137	Lanaja
1996	103,0	22139	Laperdiguera
1996	169,0	22141	Lascellas-Ponzano
1996	173,0	22142	Lascuarre
1996	284,0	22143	Laspaúles
1996	278,0	22144	Laspuña
1996	412,0	22149	Loarre
1996	537,0	22150	Loporzano
1996	127,0	22151	Loscorrales
1996	105,0	22155	Monesma y Cajigar
1996	193,0	22156	Monflorite-Lascasas
1996	322,0	22157	Montanuy
1996	14576,0	22158	Monzón
1996	301,0	22160	Naval
1996	197,0	22162	Novales
1996	217,0	22163	Nueno
1996	53,0	22164	Olvena
1996	682,0	22165	Ontiñena
1996	738,0	22167	Osso de Cinca
1996	33,0	22168	Palo
1996	613,0	22170	Panticosa
1996	817,0	22172	Peñalba
1996	298,0	22173	Peñas de Riglos (Las)
1996	762,0	22174	Peralta de Alcofea
1996	306,0	22175	Peralta de Calasanz
1996	180,0	22176	Peraltilla
1996	147,0	22177	Perarrúa
1996	147,0	22178	Pertusa
1996	100,0	22181	Piracés
1996	312,0	22182	Plan
1996	253,0	22184	Poleñino
1996	257,0	22186	Pozán de Vero
1996	306,0	22187	Puebla de Castro (La)
1996	142,0	22188	Puente de Montañana
1996	219,0	22189	Puértolas
1996	184,0	22190	Pueyo de Araguás (El)
1996	371,0	22193	Pueyo de Santa Cruz
1996	146,0	22195	Quicena
1996	709,0	22197	Robres
