Año	Comarca código	Comarca nombre	Población
1900	01	La Jacetania	26996,0
1900	02	Alto Gállego	13500,0
1900	03	Sobrarbe	22277,0
1900	04	La Ribagorza	34095,0
1900	05	Cinco Villas	36105,0
1900	06	Hoya de Huesca / Plana de Uesca	54181,0
1900	07	Somontano de Barbastro	33324,0
1900	08	Cinca Medio	16350,0
1900	09	La Litera / La Llitera	17917,0
1900	10	Los Monegros	28881,0
1900	11	Bajo Cinca / Baix Cinca	22233,0
1900	12	Tarazona y el Moncayo	19078,0
1900	13	Campo de Borja	22880,0
1900	14	Aranda	12482,0
1900	15	Ribera Alta del Ebro	16964,0
1900	16	Valdejalón	26396,0
1900	17	D.C. Zaragoza	118012,0
1900	18	Ribera Baja del Ebro	15281,0
1900	19	Bajo Aragón-Caspe / Baix Aragó-Casp	17634,0
1900	20	Comunidad de Calatayud	68998,0
1900	21	Campo de Cariñena	16997,0
1900	22	Campo de Belchite	15133,0
1900	23	Bajo Martín	15605,0
1900	24	Campo de Daroca	20409,0
1900	25	Jiloca	34372,0
1900	26	Cuencas Mineras	22525,0
1900	27	Andorra-Sierra de Arcos	12756,0
1900	28	Bajo Aragón	32459,0
1900	29	Comunidad de Teruel	40244,0
1900	30	Maestrazgo	20648,0
1900	31	Sierra de Albarracín	15793,0
1900	32	Gúdar-Javalambre	34069,0
1900	33	Matarraña / Matarranya	23523,0
1910	01	La Jacetania	27017,0
1910	02	Alto Gállego	13813,0
1910	03	Sobrarbe	22667,0
1910	04	La Ribagorza	34339,0
1910	05	Cinco Villas	38487,0
1910	06	Hoya de Huesca / Plana de Uesca	56183,0
1910	07	Somontano de Barbastro	33406,0
1910	08	Cinca Medio	17736,0
1910	09	La Litera / La Llitera	20267,0
1910	10	Los Monegros	30951,0
1910	11	Bajo Cinca / Baix Cinca	24254,0
1910	12	Tarazona y el Moncayo	18372,0
1910	13	Campo de Borja	21447,0
1910	14	Aranda	12967,0
1910	15	Ribera Alta del Ebro	19011,0
1910	16	Valdejalón	29173,0
1910	17	D.C. Zaragoza	131838,0
1910	18	Ribera Baja del Ebro	15974,0
1910	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19588,0
1910	20	Comunidad de Calatayud	70740,0
1910	21	Campo de Cariñena	18228,0
1910	22	Campo de Belchite	16846,0
1910	23	Bajo Martín	16979,0
1910	24	Campo de Daroca	21181,0
1910	25	Jiloca	36532,0
