Año	Municipio código	Municipio nombre	Población
1900	22001	Abiego	1383,0
1900	22002	Abizanda	463,0
1900	22003	Adahuesca	725,0
1900	22004	Agüero	1182,0
1900	22006	Aísa	733,0
1900	22007	Albalate de Cinca	1519,0
1900	22008	Albalatillo	464,0
1900	22009	Albelda	1213,0
1900	22011	Albero Alto	360,0
1900	22012	Albero Bajo	205,0
1900	22013	Alberuela de Tubo	238,0
1900	22014	Alcalá de Gurrea	638,0
1900	22015	Alcalá del Obispo	1328,0
1900	22016	Alcampell	1983,0
1900	22017	Alcolea de Cinca	2409,0
1900	22018	Alcubierre	1530,0
1900	22019	Alerre	227,0
1900	22020	Alfántega	309,0
1900	22021	Almudévar	2983,0
1900	22022	Almunia de San Juan	954,0
1900	22023	Almuniente	512,0
1900	22024	Alquézar	1313,0
1900	22025	Altorricón	532,0
1900	22027	Angüés	1912,0
1900	22028	Ansó	1549,0
1900	22029	Antillón	393,0
1900	22032	Aragüés del Puerto	546,0
1900	22035	Arén	2119,0
1900	22036	Argavieso	322,0
1900	22037	Arguis	570,0
1900	22039	Ayerbe	2609,0
1900	22040	Azanuy-Alins	1221,0
1900	22041	Azara	513,0
1900	22042	Azlor	537,0
1900	22043	Baells	737,0
1900	22044	Bailo	1488,0
1900	22045	Baldellou	813,0
1900	22046	Ballobar	2333,0
1900	22047	Banastás	113,0
1900	22048	Barbastro	7301,0
1900	22049	Barbués	218,0
1900	22050	Barbuñales	425,0
1900	22051	Bárcabo	829,0
1900	22052	Belver de Cinca	1666,0
1900	22053	Benabarre	2887,0
1900	22054	Benasque	1598,0
1900	22055	Berbegal	1109,0
1900	22057	Bielsa	971,0
1900	22058	Bierge	1581,0
1900	22059	Biescas	3509,0
1900	22060	Binaced	1774,0
1900	22061	Binéfar	1556,0
1900	22062	Bisaurri	813,0
1900	22063	Biscarrués	810,0
1900	22064	Blecua y Torres	769,0
1900	22066	Boltaña	1926,0
1900	22067	Bonansa	421,0
1900	22068	Borau	460,0
