Año	Provincia código	Provincia nombre	Población
1900	22	Huesca	255100,0
1900	44	Teruel	251994,0
1900	50	Zaragoza	421023,0
1910	22	Huesca	264984,0
1910	44	Teruel	265908,0
1910	50	Zaragoza	449501,0
1920	22	Huesca	265603,0
1920	44	Teruel	264062,0
1920	50	Zaragoza	498590,0
1930	22	Huesca	257777,0
1930	44	Teruel	263700,0
1930	50	Zaragoza	530127,0
1940	22	Huesca	247135,0
1940	44	Teruel	245960,0
1940	50	Zaragoza	574566,0
1950	22	Huesca	237681,0
1950	44	Teruel	243269,0
1950	50	Zaragoza	609393,0
1960	22	Huesca	234014,0
1960	44	Teruel	223758,0
1960	50	Zaragoza	641115,0
1970	22	Huesca	221761,0
1970	44	Teruel	173861,0
1970	50	Zaragoza	757433,0
1981	22	Huesca	214907,0
1981	44	Teruel	153457,0
1981	50	Zaragoza	828588,0
1991	22	Huesca	207810,0
1991	44	Teruel	143680,0
1991	50	Zaragoza	837327,0
2001	22	Huesca	206502,0
2001	44	Teruel	135858,0
2001	50	Zaragoza	861855,0
2011	22	Huesca	228363,0
2011	44	Teruel	143164,0
2011	50	Zaragoza	975384,0
