Año	Sexo	Edad	Residencia CCAA código	Residencia CCAA nombre	Personas	Porcentaje
1998	Hombres	95 y más	02	Aragón	-424	-0,001771472301965168592982638359820534815
1998	Mujeres	95 y más	02	Aragón	1087	0,0045414867741418355202172827762380220375
1999	Hombres	95 y más	02	Aragón	-458	-0,0019135243261793566405331329452778418521
1999	Mujeres	95 y más	02	Aragón	1190	0,0049718208474965816642673104910057462968
2000	Hombres	95 y más	02	Aragón	-508	-0,0021224243617884567104603308650679992595
2000	Mujeres	95 y más	02	Aragón	1358	0,0056737249671431578992226955015006751858
2001	Hombres	95 y más	02	Aragón	-590	-0,0024650204201873808251409354535238574077
2001	Mujeres	95 y más	02	Aragón	1537	0,0064215870946237361495620640543494387044
2002	Hombres	95 y más	02	Aragón	-596	-0,0024900884244604728335321992038986762966
2002	Mujeres	95 y más	02	Aragón	1552	0,0064842571053064661705402234302864859266
2003	Hombres	95 y más	02	Aragón	-621	-0,0025945384422650228684957981637937550003
2003	Mujeres	95 y más	02	Aragón	1577	0,0065887071231110162055038223901815646304
2004	Hombres	95 y más	02	Aragón	-654	-0,0027324124657670289146477487908552588892
2004	Mujeres	95 y más	02	Aragón	1697	0,0070900672085728563733290973976779424082
2005	Hombres	95 y más	02	Aragón	-632	-0,0026404964500990248838797817061475896299
2005	Mujeres	95 y más	02	Aragón	1732	0,0072362972334992264222781359415310525934
2006	Hombres	95 y más	02	Aragón	-650	-0,0027157004629183009090535729572720462966
2006	Mujeres	95 y más	02	Aragón	1823	0,0076164952983077885495456361555491390749
2007	Hombres	95 y más	02	Aragón	-658	-0,0027491244686157569202419246244384714818
2007	Mujeres	95 y más	02	Aragón	1865	0,0077919713282194326082844824081728712971
2008	Hombres	95 y más	02	Aragón	-700	-0,002924600498527400978980770877062203704
2008	Mujeres	95 y más	02	Aragón	1945	0,008126211385193992720167999079837123149
2009	Hombres	95 y más	02	Aragón	-722	-0,0030165165141954050097487379617698729633
2009	Mujeres	95 y más	02	Aragón	2049	0,0085607234592609208656165707530006505565
2010	Hombres	95 y más	02	Aragón	-754	-0,003150212536985229054502144630435573704
2010	Mujeres	95 y más	02	Aragón	2207	0,009220847571785677086586516179537547964
2011	Hombres	95 y más	02	Aragón	-753	-0,0031460345362730470531036006720397705559
2011	Mujeres	95 y más	02	Aragón	2318	0,0096846056508378792418248955614716974085
2012	Hombres	95 y más	02	Aragón	-1480	-0,0061834410540293620698450584257886592599
2012	Mujeres	95 y más	02	Aragón	4706	0,0196616713515284985815478682106496151873
2013	Hombres	95 y más	02	Aragón	-747	-0,003120966531999955044712336921664951667
2013	Mujeres	95 y más	02	Aragón	2479	0,0103572637654991814669904728631960042604
2014	Hombres	95 y más	02	Aragón	-767	-0,00320452654624359507268321608958101463
2014	Mujeres	95 y más	02	Aragón	2660	0,0111134818944041237201269293328363740753
2015	Hombres	95 y más	02	Aragón	-779	-0,0032546625547897790894657435903306524078
2015	Mujeres	95 y más	02	Aragón	2788	0,0116482659855634198991405560074991770383
1998	Hombres	94	02	Aragón	-199	-0,0008314221417242182783102477207648264816
1998	Mujeres	94	02	Aragón	501	0,0020931783568031827006705231562973772225
1999	Hombres	94	02	Aragón	-201	-0,0008397781431485822811073356375564327779
1999	Mujeres	94	02	Aragón	523	0,0021850943724711867314384902410050464817
2000	Hombres	94	02	Aragón	-271	-0,0011322381930013223790054127252626531483
2000	Mujeres	94	02	Aragón	589	0,0024608424194751988237423914951280542595
