Año	Residencia CCAA código	Residencia CCAA nombre	Edad (grupos quinquenales)	Sexo	Personas	Porcentaje
1998	02	Aragón	95 y más	Mujeres	1087	0,0045414867741418355202172827762380220375
1999	02	Aragón	95 y más	Mujeres	1190	0,0049718208474965816642673104910057462968
2000	02	Aragón	95 y más	Mujeres	1358	0,0056737249671431578992226955015006751858
2001	02	Aragón	95 y más	Mujeres	1537	0,0064215870946237361495620640543494387044
2002	02	Aragón	95 y más	Mujeres	1552	0,0064842571053064661705402234302864859266
2003	02	Aragón	95 y más	Mujeres	1577	0,0065887071231110162055038223901815646304
2004	02	Aragón	95 y más	Mujeres	1697	0,0070900672085728563733290973976779424082
2005	02	Aragón	95 y más	Mujeres	1732	0,0072362972334992264222781359415310525934
2006	02	Aragón	95 y más	Mujeres	1823	0,0076164952983077885495456361555491390749
2007	02	Aragón	95 y más	Mujeres	1865	0,0077919713282194326082844824081728712971
2008	02	Aragón	95 y más	Mujeres	1945	0,008126211385193992720167999079837123149
2009	02	Aragón	95 y más	Mujeres	2049	0,0085607234592609208656165707530006505565
2010	02	Aragón	95 y más	Mujeres	2207	0,009220847571785677086586516179537547964
2011	02	Aragón	95 y más	Mujeres	2318	0,0096846056508378792418248955614716974085
2012	02	Aragón	95 y más	Mujeres	4706	0,0196616713515284985815478682106496151873
2013	02	Aragón	95 y más	Mujeres	2479	0,0103572637654991814669904728631960042604
2014	02	Aragón	95 y más	Mujeres	2660	0,0111134818944041237201269293328363740753
2015	02	Aragón	95 y más	Mujeres	2788	0,0116482659855634198991405560074991770383
1998	02	Aragón	95 y más	Hombres	-424	-0,001771472301965168592982638359820534815
1999	02	Aragón	95 y más	Hombres	-458	-0,0019135243261793566405331329452778418521
2000	02	Aragón	95 y más	Hombres	-508	-0,0021224243617884567104603308650679992595
2001	02	Aragón	95 y más	Hombres	-590	-0,0024650204201873808251409354535238574077
2002	02	Aragón	95 y más	Hombres	-596	-0,0024900884244604728335321992038986762966
2003	02	Aragón	95 y más	Hombres	-621	-0,0025945384422650228684957981637937550003
2004	02	Aragón	95 y más	Hombres	-654	-0,0027324124657670289146477487908552588892
2005	02	Aragón	95 y más	Hombres	-632	-0,0026404964500990248838797817061475896299
2006	02	Aragón	95 y más	Hombres	-650	-0,0027157004629183009090535729572720462966
2007	02	Aragón	95 y más	Hombres	-658	-0,0027491244686157569202419246244384714818
2008	02	Aragón	95 y más	Hombres	-700	-0,002924600498527400978980770877062203704
2009	02	Aragón	95 y más	Hombres	-722	-0,0030165165141954050097487379617698729633
2010	02	Aragón	95 y más	Hombres	-754	-0,003150212536985229054502144630435573704
2011	02	Aragón	95 y más	Hombres	-753	-0,0031460345362730470531036006720397705559
2012	02	Aragón	95 y más	Hombres	-1480	-0,0061834410540293620698450584257886592599
2013	02	Aragón	95 y más	Hombres	-747	-0,003120966531999955044712336921664951667
2014	02	Aragón	95 y más	Hombres	-767	-0,00320452654624359507268321608958101463
2015	02	Aragón	95 y más	Hombres	-779	-0,0032546625547897790894657435903306524078
1998	02	Aragón	90 a 94	Mujeres	4443	0,0185628571642246322137308071525533872243
