Año	Residencia provincia código	Residencia municipio código	Residencia municipio nombre	Edad (grandes grupos)	Sexo	Personas
1998	22	22001	Abiego	0 a 15	Mujeres	23
1998	22	22001	Abiego	16 a 64	Mujeres	64
1998	22	22001	Abiego	65 y más	Mujeres	56
1998	22	22002	Abizanda	0 a 15	Mujeres	8
1998	22	22002	Abizanda	16 a 64	Mujeres	40
1998	22	22002	Abizanda	65 y más	Mujeres	19
1998	22	22003	Adahuesca	0 a 15	Mujeres	14
1998	22	22003	Adahuesca	16 a 64	Mujeres	36
1998	22	22003	Adahuesca	65 y más	Mujeres	25
1998	22	22004	Agüero	0 a 15	Mujeres	3
1998	22	22004	Agüero	16 a 64	Mujeres	29
1998	22	22004	Agüero	65 y más	Mujeres	44
1998	22	22006	Aísa	0 a 15	Mujeres	16
1998	22	22006	Aísa	16 a 64	Mujeres	113
1998	22	22006	Aísa	65 y más	Mujeres	35
1998	22	22007	Albalate de Cinca	0 a 15	Mujeres	73
1998	22	22007	Albalate de Cinca	16 a 64	Mujeres	334
1998	22	22007	Albalate de Cinca	65 y más	Mujeres	142
1998	22	22008	Albalatillo	0 a 15	Mujeres	5
1998	22	22008	Albalatillo	16 a 64	Mujeres	69
1998	22	22008	Albalatillo	65 y más	Mujeres	60
1998	22	22009	Albelda	0 a 15	Mujeres	48
1998	22	22009	Albelda	16 a 64	Mujeres	258
1998	22	22009	Albelda	65 y más	Mujeres	167
1998	22	22011	Albero Alto	0 a 15	Mujeres	2
1998	22	22011	Albero Alto	16 a 64	Mujeres	28
1998	22	22011	Albero Alto	65 y más	Mujeres	17
1998	22	22012	Albero Bajo	0 a 15	Mujeres	3
1998	22	22012	Albero Bajo	16 a 64	Mujeres	33
1998	22	22012	Albero Bajo	65 y más	Mujeres	19
1998	22	22013	Alberuela de Tubo	0 a 15	Mujeres	23
1998	22	22013	Alberuela de Tubo	16 a 64	Mujeres	109
1998	22	22013	Alberuela de Tubo	65 y más	Mujeres	60
1998	22	22014	Alcalá de Gurrea	0 a 15	Mujeres	8
1998	22	22014	Alcalá de Gurrea	16 a 64	Mujeres	100
1998	22	22014	Alcalá de Gurrea	65 y más	Mujeres	68
1998	22	22015	Alcalá del Obispo	0 a 15	Mujeres	12
1998	22	22015	Alcalá del Obispo	16 a 64	Mujeres	87
1998	22	22015	Alcalá del Obispo	65 y más	Mujeres	76
1998	22	22016	Alcampell	0 a 15	Mujeres	34
1998	22	22016	Alcampell	16 a 64	Mujeres	249
1998	22	22016	Alcampell	65 y más	Mujeres	192
1998	22	22017	Alcolea de Cinca	0 a 15	Mujeres	95
1998	22	22017	Alcolea de Cinca	16 a 64	Mujeres	370
1998	22	22017	Alcolea de Cinca	65 y más	Mujeres	149
1998	22	22018	Alcubierre	0 a 15	Mujeres	23
1998	22	22018	Alcubierre	16 a 64	Mujeres	119
1998	22	22018	Alcubierre	65 y más	Mujeres	77
1998	22	22019	Alerre	0 a 15	Mujeres	9
1998	22	22019	Alerre	16 a 64	Mujeres	61
1998	22	22019	Alerre	65 y más	Mujeres	17
1998	22	22020	Alfántega	0 a 15	Mujeres	8
1998	22	22020	Alfántega	16 a 64	Mujeres	30
1998	22	22020	Alfántega	65 y más	Mujeres	25
1998	22	22021	Almudévar	0 a 15	Mujeres	120
1998	22	22021	Almudévar	16 a 64	Mujeres	681
1998	22	22021	Almudévar	65 y más	Mujeres	352
1998	22	22022	Almunia de San Juan	0 a 15	Mujeres	41
1998	22	22022	Almunia de San Juan	16 a 64	Mujeres	195
1998	22	22022	Almunia de San Juan	65 y más	Mujeres	119
1998	22	22023	Almuniente	0 a 15	Mujeres	40
1998	22	22023	Almuniente	16 a 64	Mujeres	182
1998	22	22023	Almuniente	65 y más	Mujeres	76
