Año	Residencia provincia código	Residencia municipio código	Residencia municipio nombre	Tipo de nacionalidad	Nacionalidad área código	Nacionalidad área nombre	Nacionalidad continente nombre	Sexo	Personas
1998	22	22001	Abiego	Españoles	01	UE-15	Europa	Mujeres	142
1998	22	22001	Abiego	Extranjeros	03	Magreb	África	Mujeres	1
1998	22	22002	Abizanda	Españoles	01	UE-15	Europa	Mujeres	66
1998	22	22002	Abizanda	Extranjeros	01	UE-15	Europa	Mujeres	1
1998	22	22003	Adahuesca	Españoles	01	UE-15	Europa	Mujeres	75
1998	22	22004	Agüero	Españoles	01	UE-15	Europa	Mujeres	76
1998	22	22006	Aísa	Españoles	01	UE-15	Europa	Mujeres	162
1998	22	22006	Aísa	Extranjeros	01	UE-15	Europa	Mujeres	1
1998	22	22006	Aísa	Extranjeros	06	Resto de América	América	Mujeres	1
1998	22	22007	Albalate de Cinca	Españoles	01	UE-15	Europa	Mujeres	545
1998	22	22007	Albalate de Cinca	Extranjeros	01	UE-15	Europa	Mujeres	1
1998	22	22007	Albalate de Cinca	Extranjeros	02	Resto de Europa	Europa	Mujeres	1
1998	22	22007	Albalate de Cinca	Extranjeros	03	Magreb	África	Mujeres	2
1998	22	22008	Albalatillo	Españoles	01	UE-15	Europa	Mujeres	134
1998	22	22009	Albelda	Españoles	01	UE-15	Europa	Mujeres	472
1998	22	22009	Albelda	Extranjeros	03	Magreb	África	Mujeres	1
1998	22	22011	Albero Alto	Españoles	01	UE-15	Europa	Mujeres	47
1998	22	22012	Albero Bajo	Españoles	01	UE-15	Europa	Mujeres	55
1998	22	22013	Alberuela de Tubo	Españoles	01	UE-15	Europa	Mujeres	188
1998	22	22013	Alberuela de Tubo	Extranjeros	06	Resto de América	América	Mujeres	4
1998	22	22014	Alcalá de Gurrea	Españoles	01	UE-15	Europa	Mujeres	176
1998	22	22015	Alcalá del Obispo	Españoles	01	UE-15	Europa	Mujeres	175
1998	22	22016	Alcampell	Españoles	01	UE-15	Europa	Mujeres	473
1998	22	22016	Alcampell	Extranjeros	01	UE-15	Europa	Mujeres	1
1998	22	22016	Alcampell	Extranjeros	06	Resto de América	América	Mujeres	1
1998	22	22017	Alcolea de Cinca	Españoles	01	UE-15	Europa	Mujeres	613
1998	22	22017	Alcolea de Cinca	Extranjeros	04	Resto de África	África	Mujeres	1
1998	22	22018	Alcubierre	Españoles	01	UE-15	Europa	Mujeres	218
1998	22	22018	Alcubierre	Extranjeros	01	UE-15	Europa	Mujeres	1
1998	22	22019	Alerre	Españoles	01	UE-15	Europa	Mujeres	84
1998	22	22019	Alerre	Extranjeros	01	UE-15	Europa	Mujeres	2
1998	22	22019	Alerre	Extranjeros	06	Resto de América	América	Mujeres	1
1998	22	22020	Alfántega	Españoles	01	UE-15	Europa	Mujeres	63
1998	22	22021	Almudévar	Españoles	01	UE-15	Europa	Mujeres	1150
1998	22	22021	Almudévar	Extranjeros	03	Magreb	África	Mujeres	1
1998	22	22021	Almudévar	Extranjeros	06	Resto de América	América	Mujeres	2
1998	22	22022	Almunia de San Juan	Españoles	01	UE-15	Europa	Mujeres	354
1998	22	22022	Almunia de San Juan	Extranjeros	01	UE-15	Europa	Mujeres	1
1998	22	22023	Almuniente	Españoles	01	UE-15	Europa	Mujeres	297
1998	22	22023	Almuniente	Extranjeros	02	Resto de Europa	Europa	Mujeres	1
1998	22	22024	Alquézar	Españoles	01	UE-15	Europa	Mujeres	137
1998	22	22024	Alquézar	Extranjeros	01	UE-15	Europa	Mujeres	10
1998	22	22025	Altorricón	Españoles	01	UE-15	Europa	Mujeres	693
1998	22	22025	Altorricón	Extranjeros	06	Resto de América	América	Mujeres	5
1998	22	22027	Angüés	Españoles	01	UE-15	Europa	Mujeres	194
1998	22	22027	Angüés	Extranjeros	01	UE-15	Europa	Mujeres	1
1998	22	22028	Ansó	Españoles	01	UE-15	Europa	Mujeres	261
1998	22	22028	Ansó	Extranjeros	06	Resto de América	América	Mujeres	4
1998	22	22029	Antillón	Españoles	01	UE-15	Europa	Mujeres	81
1998	22	22029	Antillón	Extranjeros	06	Resto de América	América	Mujeres	2
1998	22	22032	Aragüés del Puerto	Españoles	01	UE-15	Europa	Mujeres	55
1998	22	22032	Aragüés del Puerto	Extranjeros	01	UE-15	Europa	Mujeres	1
1998	22	22035	Arén	Españoles	01	UE-15	Europa	Mujeres	191
1998	22	22035	Arén	Extranjeros	01	UE-15	Europa	Mujeres	2
1998	22	22036	Argavieso	Españoles	01	UE-15	Europa	Mujeres	52
1998	22	22036	Argavieso	Extranjeros	06	Resto de América	América	Mujeres	2
1998	22	22037	Arguis	Españoles	01	UE-15	Europa	Mujeres	27
1998	22	22039	Ayerbe	Españoles	01	UE-15	Europa	Mujeres	538
1998	22	22039	Ayerbe	Extranjeros	03	Magreb	África	Mujeres	1
1998	22	22039	Ayerbe	Extranjeros	06	Resto de América	América	Mujeres	1
1998	22	22040	Azanuy-Alins	Españoles	01	UE-15	Europa	Mujeres	106
1998	22	22041	Azara	Españoles	01	UE-15	Europa	Mujeres	113
1998	22	22042	Azlor	Españoles	01	UE-15	Europa	Mujeres	83
1998	22	22043	Baells	Españoles	01	UE-15	Europa	Mujeres	68
1998	22	22044	Bailo	Españoles	01	UE-15	Europa	Mujeres	133
1998	22	22044	Bailo	Extranjeros	06	Resto de América	América	Mujeres	1
1998	22	22045	Baldellou	Españoles	01	UE-15	Europa	Mujeres	73
1998	22	22046	Ballobar	Españoles	01	UE-15	Europa	Mujeres	535
1998	22	22046	Ballobar	Extranjeros	01	UE-15	Europa	Mujeres	2
1998	22	22046	Ballobar	Extranjeros	02	Resto de Europa	Europa	Mujeres	1
1998	22	22046	Ballobar	Extranjeros	03	Magreb	África	Mujeres	1
1998	22	22046	Ballobar	Extranjeros	04	Resto de África	África	Mujeres	1
1998	22	22046	Ballobar	Extranjeros	06	Resto de América	América	Mujeres	1
1998	22	22047	Banastás	Españoles	01	UE-15	Europa	Mujeres	83
1998	22	22048	Barbastro	Españoles	01	UE-15	Europa	Mujeres	7376
1998	22	22048	Barbastro	Extranjeros	01	UE-15	Europa	Mujeres	18
1998	22	22048	Barbastro	Extranjeros	02	Resto de Europa	Europa	Mujeres	1
1998	22	22048	Barbastro	Extranjeros	03	Magreb	África	Mujeres	25
1998	22	22048	Barbastro	Extranjeros	04	Resto de África	África	Mujeres	4
1998	22	22048	Barbastro	Extranjeros	06	Resto de América	América	Mujeres	9
1998	22	22048	Barbastro	Extranjeros	07	Asia	Asia	Mujeres	2
1998	22	22049	Barbués	Españoles	01	UE-15	Europa	Mujeres	58
1998	22	22050	Barbuñales	Españoles	01	UE-15	Europa	Mujeres	54
1998	22	22051	Bárcabo	Españoles	01	UE-15	Europa	Mujeres	54
1998	22	22052	Belver de Cinca	Españoles	01	UE-15	Europa	Mujeres	669
1998	22	22053	Benabarre	Españoles	01	UE-15	Europa	Mujeres	558
1998	22	22053	Benabarre	Extranjeros	01	UE-15	Europa	Mujeres	1
1998	22	22053	Benabarre	Extranjeros	06	Resto de América	América	Mujeres	7
1998	22	22054	Benasque	Españoles	01	UE-15	Europa	Mujeres	619
1998	22	22055	Berbegal	Españoles	01	UE-15	Europa	Mujeres	235
1998	22	22057	Bielsa	Españoles	01	UE-15	Europa	Mujeres	220
1998	22	22057	Bielsa	Extranjeros	01	UE-15	Europa	Mujeres	2
1998	22	22058	Bierge	Españoles	01	UE-15	Europa	Mujeres	94
1998	22	22058	Bierge	Extranjeros	01	UE-15	Europa	Mujeres	2
1998	22	22059	Biescas	Españoles	01	UE-15	Europa	Mujeres	588
1998	22	22059	Biescas	Extranjeros	01	UE-15	Europa	Mujeres	3
1998	22	22059	Biescas	Extranjeros	07	Asia	Asia	Mujeres	1
1998	22	22060	Binaced	Españoles	01	UE-15	Europa	Mujeres	779
1998	22	22060	Binaced	Extranjeros	01	UE-15	Europa	Mujeres	1
1998	22	22060	Binaced	Extranjeros	04	Resto de África	África	Mujeres	1
1998	22	22060	Binaced	Extranjeros	06	Resto de América	América	Mujeres	1
1998	22	22061	Binéfar	Españoles	01	UE-15	Europa	Mujeres	4027
1998	22	22061	Binéfar	Extranjeros	01	UE-15	Europa	Mujeres	6
1998	22	22061	Binéfar	Extranjeros	03	Magreb	África	Mujeres	1
1998	22	22061	Binéfar	Extranjeros	04	Resto de África	África	Mujeres	7
1998	22	22061	Binéfar	Extranjeros	06	Resto de América	América	Mujeres	17
1998	22	22061	Binéfar	Extranjeros	07	Asia	Asia	Mujeres	3
1998	22	22062	Bisaurri	Españoles	01	UE-15	Europa	Mujeres	97
1998	22	22063	Biscarrués	Españoles	01	UE-15	Europa	Mujeres	103
1998	22	22063	Biscarrués	Extranjeros	06	Resto de América	América	Mujeres	1
1998	22	22064	Blecua y Torres	Españoles	01	UE-15	Europa	Mujeres	83
1998	22	22066	Boltaña	Españoles	01	UE-15	Europa	Mujeres	399
1998	22	22066	Boltaña	Extranjeros	01	UE-15	Europa	Mujeres	9
1998	22	22066	Boltaña	Extranjeros	03	Magreb	África	Mujeres	1
1998	22	22067	Bonansa	Españoles	01	UE-15	Europa	Mujeres	36
1998	22	22068	Borau	Españoles	01	UE-15	Europa	Mujeres	36
1998	22	22068	Borau	Extranjeros	01	UE-15	Europa	Mujeres	1
1998	22	22069	Broto	Españoles	01	UE-15	Europa	Mujeres	250
1998	22	22072	Caldearenas	Españoles	01	UE-15	Europa	Mujeres	116
1998	22	22074	Campo	Españoles	01	UE-15	Europa	Mujeres	189
1998	22	22075	Camporrells	Españoles	01	UE-15	Europa	Mujeres	124
1998	22	22076	Canal de Berdún	Españoles	01	UE-15	Europa	Mujeres	186
1998	22	22076	Canal de Berdún	Extranjeros	01	UE-15	Europa	Mujeres	6
1998	22	22076	Canal de Berdún	Extranjeros	06	Resto de América	América	Mujeres	2
1998	22	22077	Candasnos	Españoles	01	UE-15	Europa	Mujeres	274
1998	22	22078	Canfranc	Españoles	01	UE-15	Europa	Mujeres	233
1998	22	22078	Canfranc	Extranjeros	01	UE-15	Europa	Mujeres	1
1998	22	22078	Canfranc	Extranjeros	03	Magreb	África	Mujeres	1
1998	22	22078	Canfranc	Extranjeros	06	Resto de América	América	Mujeres	1
1998	22	22079	Capdesaso	Españoles	01	UE-15	Europa	Mujeres	96
1998	22	22080	Capella	Españoles	01	UE-15	Europa	Mujeres	196
1998	22	22080	Capella	Extranjeros	01	UE-15	Europa	Mujeres	2
1998	22	22081	Casbas de Huesca	Españoles	01	UE-15	Europa	Mujeres	144
1998	22	22082	Castejón del Puente	Españoles	01	UE-15	Europa	Mujeres	190
1998	22	22083	Castejón de Monegros	Españoles	01	UE-15	Europa	Mujeres	358
1998	22	22083	Castejón de Monegros	Extranjeros	01	UE-15	Europa	Mujeres	3
1998	22	22083	Castejón de Monegros	Extranjeros	06	Resto de América	América	Mujeres	2
1998	22	22084	Castejón de Sos	Españoles	01	UE-15	Europa	Mujeres	256
1998	22	22084	Castejón de Sos	Extranjeros	01	UE-15	Europa	Mujeres	1
1998	22	22085	Castelflorite	Españoles	01	UE-15	Europa	Mujeres	73
1998	22	22086	Castiello de Jaca	Españoles	01	UE-15	Europa	Mujeres	76
1998	22	22086	Castiello de Jaca	Extranjeros	01	UE-15	Europa	Mujeres	2
1998	22	22087	Castigaleu	Españoles	01	UE-15	Europa	Mujeres	45
1998	22	22088	Castillazuelo	Españoles	01	UE-15	Europa	Mujeres	121
1998	22	22088	Castillazuelo	Extranjeros	03	Magreb	África	Mujeres	2
1998	22	22089	Castillonroy	Españoles	01	UE-15	Europa	Mujeres	214
1998	22	22089	Castillonroy	Extranjeros	02	Resto de Europa	Europa	Mujeres	1
1998	22	22089	Castillonroy	Extranjeros	06	Resto de América	América	Mujeres	1
1998	22	22090	Colungo	Españoles	01	UE-15	Europa	Mujeres	58
1998	22	22090	Colungo	Extranjeros	06	Resto de América	América	Mujeres	1
1998	22	22094	Chalamera	Españoles	01	UE-15	Europa	Mujeres	72
1998	22	22095	Chía	Españoles	01	UE-15	Europa	Mujeres	51
1998	22	22096	Chimillas	Españoles	01	UE-15	Europa	Mujeres	81
1998	22	22099	Esplús	Españoles	01	UE-15	Europa	Mujeres	416
1998	22	22099	Esplús	Extranjeros	01	UE-15	Europa	Mujeres	1
1998	22	22102	Estada	Españoles	01	UE-15	Europa	Mujeres	89
1998	22	22103	Estadilla	Españoles	01	UE-15	Europa	Mujeres	450
1998	22	22103	Estadilla	Extranjeros	01	UE-15	Europa	Mujeres	1
1998	22	22106	Fago	Españoles	01	UE-15	Europa	Mujeres	15
1998	22	22107	Fanlo	Españoles	01	UE-15	Europa	Mujeres	48
1998	22	22109	Fiscal	Españoles	01	UE-15	Europa	Mujeres	103
1998	22	22109	Fiscal	Extranjeros	01	UE-15	Europa	Mujeres	1
1998	22	22109	Fiscal	Extranjeros	07	Asia	Asia	Mujeres	1
1998	22	22110	Fonz	Españoles	01	UE-15	Europa	Mujeres	549
1998	22	22110	Fonz	Extranjeros	06	Resto de América	América	Mujeres	2
1998	22	22111	Foradada del Toscar	Españoles	01	UE-15	Europa	Mujeres	131
1998	22	22112	Fraga	Españoles	01	UE-15	Europa	Mujeres	5904
1998	22	22113	Fueva (La)	Españoles	01	UE-15	Europa	Mujeres	291
1998	22	22113	Fueva (La)	Extranjeros	01	UE-15	Europa	Mujeres	2
