Año	Inscripción provincia código	Inscripción provincia nombre	Edad (grandes grupos)	Sexo	Personas
2009	22	Huesca	0-15	Hombre	251,0
2009	22	Huesca	0-15	Mujer	258,0
2009	22	Huesca	16-64	Hombre	1225,0
2009	22	Huesca	16-64	Mujer	1312,0
2009	22	Huesca	65 y más	Hombre	950,0
2009	22	Huesca	65 y más	Mujer	1038,0
2009	44	Teruel	0-15	Hombre	152,0
2009	44	Teruel	0-15	Mujer	144,0
2009	44	Teruel	16-64	Hombre	887,0
2009	44	Teruel	16-64	Mujer	902,0
2009	44	Teruel	65 y más	Hombre	738,0
2009	44	Teruel	65 y más	Mujer	789,0
2009	50	Zaragoza	0-15	Hombre	1357,0
2009	50	Zaragoza	0-15	Mujer	1191,0
2009	50	Zaragoza	16-64	Hombre	4643,0
2009	50	Zaragoza	16-64	Mujer	5294,0
2009	50	Zaragoza	65 y más	Hombre	1765,0
2009	50	Zaragoza	65 y más	Mujer	2218,0
2010	22	Huesca	0-15	Hombre	285,0
2010	22	Huesca	0-15	Mujer	306,0
2010	22	Huesca	16-64	Hombre	1349,0
2010	22	Huesca	16-64	Mujer	1431,0
2010	22	Huesca	65 y más	Hombre	977,0
2010	22	Huesca	65 y más	Mujer	1049,0
2010	44	Teruel	0-15	Hombre	154,0
2010	44	Teruel	0-15	Mujer	158,0
2010	44	Teruel	16-64	Hombre	957,0
2010	44	Teruel	16-64	Mujer	952,0
2010	44	Teruel	65 y más	Hombre	766,0
2010	44	Teruel	65 y más	Mujer	803,0
2010	50	Zaragoza	0-15	Hombre	1516,0
2010	50	Zaragoza	0-15	Mujer	1356,0
2010	50	Zaragoza	16-64	Hombre	4984,0
2010	50	Zaragoza	16-64	Mujer	5666,0
2010	50	Zaragoza	65 y más	Hombre	1812,0
2010	50	Zaragoza	65 y más	Mujer	2272,0
2011	22	Huesca	0-15	Hombre	331,0
2011	22	Huesca	0-15	Mujer	328,0
2011	22	Huesca	16-64	Hombre	1523,0
2011	22	Huesca	16-64	Mujer	1601,0
2011	22	Huesca	65 y más	Hombre	1008,0
2011	22	Huesca	65 y más	Mujer	1078,0
2011	44	Teruel	0-15	Hombre	164,0
2011	44	Teruel	0-15	Mujer	179,0
2011	44	Teruel	16-64	Hombre	1079,0
2011	44	Teruel	16-64	Mujer	1072,0
2011	44	Teruel	65 y más	Hombre	786,0
2011	44	Teruel	65 y más	Mujer	828,0
2011	50	Zaragoza	0-15	Hombre	1588,0
2011	50	Zaragoza	0-15	Mujer	1501,0
2011	50	Zaragoza	16-64	Hombre	5512,0
2011	50	Zaragoza	16-64	Mujer	6139,0
2011	50	Zaragoza	65 y más	Hombre	1887,0
2011	50	Zaragoza	65 y más	Mujer	2334,0
2012	22	Huesca	0-15	Hombre	373,0
2012	22	Huesca	0-15	Mujer	371,0
2012	22	Huesca	16-64	Hombre	1705,0
2012	22	Huesca	16-64	Mujer	1793,0
2012	22	Huesca	65 y más	Hombre	1024,0
2012	22	Huesca	65 y más	Mujer	1105,0
2012	44	Teruel	0-15	Hombre	170,0
2012	44	Teruel	0-15	Mujer	186,0
2012	44	Teruel	16-64	Hombre	1182,0
2012	44	Teruel	16-64	Mujer	1159,0
2012	44	Teruel	65 y más	Hombre	793,0
2012	44	Teruel	65 y más	Mujer	853,0
2012	50	Zaragoza	0-15	Hombre	1753,0
2012	50	Zaragoza	0-15	Mujer	1665,0
2012	50	Zaragoza	16-64	Hombre	5985,0
2012	50	Zaragoza	16-64	Mujer	6603,0
2012	50	Zaragoza	65 y más	Hombre	1948,0
2012	50	Zaragoza	65 y más	Mujer	2426,0
2013	22	Huesca	0-15	Hombre	434,0
2013	22	Huesca	0-15	Mujer	417,0
2013	22	Huesca	16-64	Hombre	1848,0
2013	22	Huesca	16-64	Mujer	1960,0
2013	22	Huesca	65 y más	Hombre	1045,0
2013	22	Huesca	65 y más	Mujer	1137,0
2013	44	Teruel	0-15	Hombre	176,0
2013	44	Teruel	0-15	Mujer	199,0
2013	44	Teruel	16-64	Hombre	1260,0
2013	44	Teruel	16-64	Mujer	1239,0
2013	44	Teruel	65 y más	Hombre	805,0
2013	44	Teruel	65 y más	Mujer	870,0
2013	50	Zaragoza	0-15	Hombre	1930,0
2013	50	Zaragoza	0-15	Mujer	1859,0
2013	50	Zaragoza	16-64	Hombre	6434,0
2013	50	Zaragoza	16-64	Mujer	7122,0
2013	50	Zaragoza	65 y más	Hombre	2035,0
2013	50	Zaragoza	65 y más	Mujer	2512,0
2014	22	Huesca	0-15	Hombre	481,0
2014	22	Huesca	0-15	Mujer	460,0
2014	22	Huesca	16-64	Hombre	2011,0
2014	22	Huesca	16-64	Mujer	2083,0
2014	22	Huesca	65 y más	Hombre	1050,0
2014	22	Huesca	65 y más	Mujer	1172,0
2014	44	Teruel	0-15	Hombre	210,0
2014	44	Teruel	0-15	Mujer	222,0
2014	44	Teruel	16-64	Hombre	1325,0
2014	44	Teruel	16-64	Mujer	1287,0
2014	44	Teruel	65 y más	Hombre	825,0
2014	44	Teruel	65 y más	Mujer	893,0
2014	50	Zaragoza	0-15	Hombre	2116,0
2014	50	Zaragoza	0-15	Mujer	2040,0
2014	50	Zaragoza	16-64	Hombre	6936,0
2014	50	Zaragoza	16-64	Mujer	7637,0
2014	50	Zaragoza	65 y más	Hombre	2096,0
2014	50	Zaragoza	65 y más	Mujer	2583,0
2016	22	Huesca	0-15	Hombre	650,0
2016	22	Huesca	0-15	Mujer	567,0
2016	22	Huesca	16-64	Hombre	2332,0
2016	22	Huesca	16-64	Mujer	2370,0
2016	22	Huesca	65 y más	Hombre	1063,0
2016	22	Huesca	65 y más	Mujer	1202,0
2016	44	Teruel	0-15	Hombre	244,0
2016	44	Teruel	0-15	Mujer	255,0
2016	44	Teruel	16-64	Hombre	1483,0
2016	44	Teruel	16-64	Mujer	1398,0
2016	44	Teruel	65 y más	Hombre	839,0
2016	44	Teruel	65 y más	Mujer	922,0
2016	50	Zaragoza	0-15	Hombre	2508,0
2016	50	Zaragoza	0-15	Mujer	2415,0
2016	50	Zaragoza	16-64	Hombre	8033,0
2016	50	Zaragoza	16-64	Mujer	8556,0
2016	50	Zaragoza	65 y más	Hombre	2205,0
