Año	Inscripción comarca código	Inscripción comarca nombre	Edad (grandes grupos)	Sexo	Personas
2009	01	La Jacetania	0-15	Hombre	44,0
2009	01	La Jacetania	0-15	Mujer	44,0
2009	01	La Jacetania	16-64	Hombre	176,0
2009	01	La Jacetania	16-64	Mujer	220,0
2009	01	La Jacetania	65 y más	Hombre	144,0
2009	01	La Jacetania	65 y más	Mujer	190,0
2009	02	Alto Gállego	0-15	Hombre	14,0
2009	02	Alto Gállego	0-15	Mujer	13,0
2009	02	Alto Gállego	16-64	Hombre	68,0
2009	02	Alto Gállego	16-64	Mujer	74,0
2009	02	Alto Gállego	65 y más	Hombre	48,0
2009	02	Alto Gállego	65 y más	Mujer	45,0
2009	03	Sobrarbe	0-15	Hombre	13,0
2009	03	Sobrarbe	0-15	Mujer	22,0
2009	03	Sobrarbe	16-64	Hombre	118,0
2009	03	Sobrarbe	16-64	Mujer	95,0
2009	03	Sobrarbe	65 y más	Hombre	111,0
2009	03	Sobrarbe	65 y más	Mujer	133,0
2009	04	La Ribagorza	0-15	Hombre	17,0
2009	04	La Ribagorza	0-15	Mujer	20,0
2009	04	La Ribagorza	16-64	Hombre	111,0
2009	04	La Ribagorza	16-64	Mujer	120,0
2009	04	La Ribagorza	65 y más	Hombre	93,0
2009	04	La Ribagorza	65 y más	Mujer	98,0
2009	05	Cinco Villas	0-15	Hombre	42,0
2009	05	Cinco Villas	0-15	Mujer	31,0
2009	05	Cinco Villas	16-64	Hombre	192,0
2009	05	Cinco Villas	16-64	Mujer	268,0
2009	05	Cinco Villas	65 y más	Hombre	166,0
2009	05	Cinco Villas	65 y más	Mujer	185,0
2009	06	Hoya de Huesca / Plana de Uesca	0-15	Hombre	86,0
2009	06	Hoya de Huesca / Plana de Uesca	0-15	Mujer	89,0
2009	06	Hoya de Huesca / Plana de Uesca	16-64	Hombre	366,0
2009	06	Hoya de Huesca / Plana de Uesca	16-64	Mujer	341,0
2009	06	Hoya de Huesca / Plana de Uesca	65 y más	Hombre	212,0
2009	06	Hoya de Huesca / Plana de Uesca	65 y más	Mujer	243,0
2009	07	Somontano de Barbastro	0-15	Hombre	38,0
2009	07	Somontano de Barbastro	0-15	Mujer	23,0
2009	07	Somontano de Barbastro	16-64	Hombre	128,0
2009	07	Somontano de Barbastro	16-64	Mujer	155,0
2009	07	Somontano de Barbastro	65 y más	Hombre	120,0
2009	07	Somontano de Barbastro	65 y más	Mujer	113,0
2009	08	Cinca Medio	0-15	Hombre	24,0
2009	08	Cinca Medio	0-15	Mujer	21,0
2009	08	Cinca Medio	16-64	Hombre	84,0
2009	08	Cinca Medio	16-64	Mujer	85,0
2009	08	Cinca Medio	65 y más	Hombre	65,0
2009	08	Cinca Medio	65 y más	Mujer	69,0
2009	09	La Litera / La Llitera	0-15	Hombre	8,0
2009	09	La Litera / La Llitera	0-15	Mujer	13,0
2009	09	La Litera / La Llitera	16-64	Hombre	85,0
2009	09	La Litera / La Llitera	16-64	Mujer	78,0
2009	09	La Litera / La Llitera	65 y más	Hombre	83,0
2009	09	La Litera / La Llitera	65 y más	Mujer	69,0
2009	10	Los Monegros	0-15	Hombre	13,0
2009	10	Los Monegros	0-15	Mujer	14,0
2009	10	Los Monegros	16-64	Hombre	90,0
2009	10	Los Monegros	16-64	Mujer	125,0
2009	10	Los Monegros	65 y más	Hombre	85,0
2009	10	Los Monegros	65 y más	Mujer	98,0
2009	11	Bajo Cinca / Baix Cinca	0-15	Hombre	12,0
2009	11	Bajo Cinca / Baix Cinca	0-15	Mujer	12,0
2009	11	Bajo Cinca / Baix Cinca	16-64	Hombre	86,0
2009	11	Bajo Cinca / Baix Cinca	16-64	Mujer	102,0
2009	11	Bajo Cinca / Baix Cinca	65 y más	Hombre	68,0
2009	11	Bajo Cinca / Baix Cinca	65 y más	Mujer	69,0
2009	12	Tarazona y el Moncayo	0-15	Hombre	11,0
2009	12	Tarazona y el Moncayo	0-15	Mujer	13,0
2009	12	Tarazona y el Moncayo	16-64	Hombre	62,0
2009	12	Tarazona y el Moncayo	16-64	Mujer	63,0
2009	12	Tarazona y el Moncayo	65 y más	Hombre	39,0
2009	12	Tarazona y el Moncayo	65 y más	Mujer	48,0
2009	13	Campo de Borja	0-15	Hombre	13,0
2009	13	Campo de Borja	0-15	Mujer	5,0
2009	13	Campo de Borja	16-64	Hombre	81,0
2009	13	Campo de Borja	16-64	Mujer	70,0
2009	13	Campo de Borja	65 y más	Hombre	33,0
2009	13	Campo de Borja	65 y más	Mujer	57,0
2009	14	Aranda	0-15	Hombre	2,0
2009	14	Aranda	0-15	Mujer	4,0
2009	14	Aranda	16-64	Hombre	17,0
2009	14	Aranda	16-64	Mujer	17,0
2009	14	Aranda	65 y más	Hombre	9,0
2009	14	Aranda	65 y más	Mujer	19,0
2009	15	Ribera Alta del Ebro	0-15	Hombre	17,0
2009	15	Ribera Alta del Ebro	0-15	Mujer	6,0
2009	15	Ribera Alta del Ebro	16-64	Hombre	73,0
2009	15	Ribera Alta del Ebro	16-64	Mujer	65,0
2009	15	Ribera Alta del Ebro	65 y más	Hombre	51,0
2009	15	Ribera Alta del Ebro	65 y más	Mujer	54,0
2009	16	Valdejalón	0-15	Hombre	17,0
2009	16	Valdejalón	0-15	Mujer	14,0
2009	16	Valdejalón	16-64	Hombre	59,0
2009	16	Valdejalón	16-64	Mujer	62,0
2009	16	Valdejalón	65 y más	Hombre	42,0
2009	16	Valdejalón	65 y más	Mujer	53,0
2009	17	D.C. Zaragoza	0-15	Hombre	1159,0
2009	17	D.C. Zaragoza	0-15	Mujer	1027,0
2009	17	D.C. Zaragoza	16-64	Hombre	3661,0
2009	17	D.C. Zaragoza	16-64	Mujer	4251,0
2009	17	D.C. Zaragoza	65 y más	Hombre	1028,0
2009	17	D.C. Zaragoza	65 y más	Mujer	1330,0
2009	18	Ribera Baja del Ebro	0-15	Hombre	9,0
2009	18	Ribera Baja del Ebro	0-15	Mujer	6,0
2009	18	Ribera Baja del Ebro	16-64	Hombre	61,0
2009	18	Ribera Baja del Ebro	16-64	Mujer	46,0
2009	18	Ribera Baja del Ebro	65 y más	Hombre	58,0
2009	18	Ribera Baja del Ebro	65 y más	Mujer	62,0
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	0-15	Hombre	9,0
2009	19	Bajo Aragón-Caspe / Baix Aragó-Casp	0-15	Mujer	12,0
