Inscripción CCAA código	Inscripción CCAA nombre	Año	Residencia área código	Residencia continente nombre	Residencia área nombre	Sexo	Personas
02	Aragón	2009	01	Europa	UE-27	Hombre	474,0
02	Aragón	2009	01	Europa	UE-27	Mujer	574,0
02	Aragón	2009	01	Europa	UE-27_2007	Hombre	4589,0
02	Aragón	2009	01	Europa	UE-27_2007	Mujer	4928,0
02	Aragón	2009	02	Europa	Resto de Europa	Hombre	741,0
02	Aragón	2009	02	Europa	Resto de Europa	Mujer	860,0
02	Aragón	2009	03	África	Magreb	Hombre	61,0
02	Aragón	2009	03	África	Magreb	Mujer	65,0
02	Aragón	2009	04	África	Resto de África	Hombre	100,0
02	Aragón	2009	04	África	Resto de África	Mujer	80,0
02	Aragón	2009	05	América	América del Norte	Hombre	742,0
02	Aragón	2009	05	América	América del Norte	Mujer	1057,0
02	Aragón	2009	06	América	Resto de América	Hombre	4972,0
02	Aragón	2009	06	América	Resto de América	Mujer	5312,0
02	Aragón	2009	07	Asia	Asia	Hombre	199,0
02	Aragón	2009	07	Asia	Asia	Mujer	172,0
02	Aragón	2009	08	Oceanía	Oceanía	Hombre	90,0
02	Aragón	2009	08	Oceanía	Oceanía	Mujer	98,0
02	Aragón	2010	01	Europa	UE-27	Hombre	506,0
02	Aragón	2010	01	Europa	UE-27	Mujer	626,0
02	Aragón	2010	01	Europa	UE-27_2007	Hombre	4789,0
02	Aragón	2010	01	Europa	UE-27_2007	Mujer	5149,0
02	Aragón	2010	02	Europa	Resto de Europa	Hombre	749,0
02	Aragón	2010	02	Europa	Resto de Europa	Mujer	868,0
02	Aragón	2010	03	África	Magreb	Hombre	76,0
02	Aragón	2010	03	África	Magreb	Mujer	66,0
02	Aragón	2010	04	África	Resto de África	Hombre	100,0
02	Aragón	2010	04	África	Resto de África	Mujer	85,0
02	Aragón	2010	05	América	América del Norte	Hombre	838,0
02	Aragón	2010	05	América	América del Norte	Mujer	1147,0
02	Aragón	2010	06	América	Resto de América	Hombre	5431,0
02	Aragón	2010	06	América	Resto de América	Mujer	5758,0
02	Aragón	2010	07	Asia	Asia	Hombre	221,0
02	Aragón	2010	07	Asia	Asia	Mujer	193,0
02	Aragón	2010	08	Oceanía	Oceanía	Hombre	90,0
02	Aragón	2010	08	Oceanía	Oceanía	Mujer	101,0
02	Aragón	2011	01	Europa	UE-27	Hombre	543,0
02	Aragón	2011	01	Europa	UE-27	Mujer	672,0
02	Aragón	2011	01	Europa	UE-27_2007	Hombre	5066,0
02	Aragón	2011	01	Europa	UE-27_2007	Mujer	5420,0
02	Aragón	2011	02	Europa	Resto de Europa	Hombre	760,0
02	Aragón	2011	02	Europa	Resto de Europa	Mujer	886,0
02	Aragón	2011	03	África	Magreb	Hombre	76,0
02	Aragón	2011	03	África	Magreb	Mujer	60,0
02	Aragón	2011	04	África	Resto de África	Hombre	117,0
02	Aragón	2011	04	África	Resto de África	Mujer	104,0
02	Aragón	2011	05	América	América del Norte	Hombre	891,0
02	Aragón	2011	05	América	América del Norte	Mujer	1218,0
02	Aragón	2011	06	América	Resto de América	Hombre	6074,0
02	Aragón	2011	06	América	Resto de América	Mujer	6391,0
02	Aragón	2011	07	Asia	Asia	Hombre	252,0
02	Aragón	2011	07	Asia	Asia	Mujer	198,0
02	Aragón	2011	08	Oceanía	Oceanía	Hombre	99,0
02	Aragón	2011	08	Oceanía	Oceanía	Mujer	111,0
02	Aragón	2012	01	Europa	UE-27	Hombre	605,0
02	Aragón	2012	01	Europa	UE-27	Mujer	733,0
02	Aragón	2012	01	Europa	UE-27_2007	Hombre	5374,0
02	Aragón	2012	01	Europa	UE-27_2007	Mujer	5743,0
02	Aragón	2012	02	Europa	Resto de Europa	Hombre	802,0
02	Aragón	2012	02	Europa	Resto de Europa	Mujer	908,0
02	Aragón	2012	03	África	Magreb	Hombre	72,0
02	Aragón	2012	03	África	Magreb	Mujer	62,0
02	Aragón	2012	04	África	Resto de África	Hombre	125,0
02	Aragón	2012	04	África	Resto de África	Mujer	109,0
02	Aragón	2012	05	América	América del Norte	Hombre	971,0
02	Aragón	2012	05	América	América del Norte	Mujer	1280,0
02	Aragón	2012	06	América	Resto de América	Hombre	6598,0
02	Aragón	2012	06	América	Resto de América	Mujer	6976,0
02	Aragón	2012	07	Asia	Asia	Hombre	277,0
02	Aragón	2012	07	Asia	Asia	Mujer	236,0
02	Aragón	2012	08	Oceanía	Oceanía	Hombre	109,0
02	Aragón	2012	08	Oceanía	Oceanía	Mujer	114,0
02	Aragón	2013	01	Europa	UE-27	Hombre	684,0
02	Aragón	2013	01	Europa	UE-27	Mujer	815,0
02	Aragón	2013	01	Europa	UE-27_2007	Hombre	5715,0
02	Aragón	2013	01	Europa	UE-27_2007	Mujer	6124,0
02	Aragón	2013	02	Europa	Resto de Europa	Hombre	833,0
