Año	Residencia área código	Residencia continente nombre	Residencia área nombre	Inscripción comarca código	Inscripción comarca nombre	Sexo	Personas
2009	01	Europa	UE-27	01	La Jacetania	Hombre	7,0
2009	01	Europa	UE-27	01	La Jacetania	Mujer	8,0
2009	01	Europa	UE-27	02	Alto Gállego	Hombre	4,0
2009	01	Europa	UE-27	02	Alto Gállego	Mujer	5,0
2009	01	Europa	UE-27	03	Sobrarbe	Hombre	5,0
2009	01	Europa	UE-27	04	La Ribagorza	Hombre	2,0
2009	01	Europa	UE-27	04	La Ribagorza	Mujer	10,0
2009	01	Europa	UE-27	05	Cinco Villas	Hombre	7,0
2009	01	Europa	UE-27	05	Cinco Villas	Mujer	13,0
2009	01	Europa	UE-27	06	Hoya de Huesca / Plana de Uesca	Hombre	33,0
2009	01	Europa	UE-27	06	Hoya de Huesca / Plana de Uesca	Mujer	44,0
2009	01	Europa	UE-27	07	Somontano de Barbastro	Hombre	4,0
2009	01	Europa	UE-27	07	Somontano de Barbastro	Mujer	8,0
2009	01	Europa	UE-27	08	Cinca Medio	Hombre	1,0
2009	01	Europa	UE-27	08	Cinca Medio	Mujer	3,0
2009	01	Europa	UE-27	09	La Litera / La Llitera	Hombre	4,0
2009	01	Europa	UE-27	09	La Litera / La Llitera	Mujer	11,0
2009	01	Europa	UE-27	10	Los Monegros	Hombre	4,0
2009	01	Europa	UE-27	10	Los Monegros	Mujer	9,0
2009	01	Europa	UE-27	11	Bajo Cinca / Baix Cinca	Hombre	1,0
2009	01	Europa	UE-27	11	Bajo Cinca / Baix Cinca	Mujer	5,0
2009	01	Europa	UE-27	12	Tarazona y el Moncayo	Hombre	2,0
2009	01	Europa	UE-27	12	Tarazona y el Moncayo	Mujer	2,0
2009	01	Europa	UE-27	13	Campo de Borja	Hombre	1,0
2009	01	Europa	UE-27	13	Campo de Borja	Mujer	4,0
2009	01	Europa	UE-27	14	Aranda	Mujer	3,0
2009	01	Europa	UE-27	15	Ribera Alta del Ebro	Hombre	4,0
2009	01	Europa	UE-27	15	Ribera Alta del Ebro	Mujer	6,0
2009	01	Europa	UE-27	16	Valdejalón	Hombre	3,0
2009	01	Europa	UE-27	16	Valdejalón	Mujer	7,0
2009	01	Europa	UE-27	17	D.C. Zaragoza	Hombre	321,0
2009	01	Europa	UE-27	17	D.C. Zaragoza	Mujer	365,0
2009	01	Europa	UE-27	18	Ribera Baja del Ebro	Hombre	1,0
2009	01	Europa	UE-27	18	Ribera Baja del Ebro	Mujer	1,0
2009	01	Europa	UE-27	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombre	3,0
2009	01	Europa	UE-27	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Mujer	2,0
2009	01	Europa	UE-27	20	Comunidad de Calatayud	Hombre	6,0
2009	01	Europa	UE-27	20	Comunidad de Calatayud	Mujer	15,0
2009	01	Europa	UE-27	22	Campo de Belchite	Hombre	3,0
2009	01	Europa	UE-27	22	Campo de Belchite	Mujer	6,0
2009	01	Europa	UE-27	23	Bajo Martín	Hombre	1,0
2009	01	Europa	UE-27	24	Campo de Daroca	Hombre	2,0
2009	01	Europa	UE-27	24	Campo de Daroca	Mujer	3,0
2009	01	Europa	UE-27	25	Jiloca	Hombre	2,0
2009	01	Europa	UE-27	25	Jiloca	Mujer	2,0
2009	01	Europa	UE-27	26	Cuencas Mineras	Hombre	9,0
2009	01	Europa	UE-27	26	Cuencas Mineras	Mujer	11,0
2009	01	Europa	UE-27	27	Andorra-Sierra de Arcos	Hombre	1,0
2009	01	Europa	UE-27	28	Bajo Aragón	Hombre	5,0
2009	01	Europa	UE-27	28	Bajo Aragón	Mujer	8,0
