Año	Residencia área código	Residencia continente nombre	Residencia área nombre	Inscripción provincia código	Inscripción provincia nombre	Inscripción municipio código	Inscripción municipio nombre	Inscripcion municipio estrato	Sexo	Personas
2009	01	Europa	UE-27	22	Huesca	22048	Barbastro	6	Hombre	3,0
2009	01	Europa	UE-27	22	Huesca	22048	Barbastro	6	Mujer	6,0
2009	01	Europa	UE-27	22	Huesca	22112	Fraga	6	Mujer	5,0
2009	01	Europa	UE-27	22	Huesca	22125	Huesca	7	Hombre	30,0
2009	01	Europa	UE-27	22	Huesca	22125	Huesca	7	Mujer	35,0
2009	01	Europa	UE-27	22	Huesca	22130	Jaca	6	Hombre	4,0
2009	01	Europa	UE-27	22	Huesca	22130	Jaca	6	Mujer	8,0
2009	01	Europa	UE-27	22	Huesca	22158	Monzón	6	Mujer	3,0
2009	01	Europa	UE-27	44	Teruel	44013	Alcañiz	6	Hombre	2,0
2009	01	Europa	UE-27	44	Teruel	44013	Alcañiz	6	Mujer	5,0
2009	01	Europa	UE-27	44	Teruel	44216	Teruel	7	Hombre	25,0
2009	01	Europa	UE-27	44	Teruel	44216	Teruel	7	Mujer	15,0
2009	01	Europa	UE-27	50	Zaragoza	50067	Calatayud	6	Hombre	3,0
2009	01	Europa	UE-27	50	Zaragoza	50067	Calatayud	6	Mujer	9,0
2009	01	Europa	UE-27	50	Zaragoza	50089	Cuarte de Huerva	6	Hombre	1,0
2009	01	Europa	UE-27	50	Zaragoza	50089	Cuarte de Huerva	6	Mujer	1,0
2009	01	Europa	UE-27	50	Zaragoza	50095	Ejea de los Caballeros	6	Mujer	5,0
2009	01	Europa	UE-27	50	Zaragoza	50251	Tarazona	6	Hombre	2,0
2009	01	Europa	UE-27	50	Zaragoza	50272	Utebo	6	Hombre	3,0
2009	01	Europa	UE-27	50	Zaragoza	50297	Zaragoza	7	Hombre	307,0
2009	01	Europa	UE-27	50	Zaragoza	50297	Zaragoza	7	Mujer	356,0
2009	01	Europa	UE-27_2007	22	Huesca	22048	Barbastro	6	Hombre	60,0
2009	01	Europa	UE-27_2007	22	Huesca	22048	Barbastro	6	Mujer	53,0
2009	01	Europa	UE-27_2007	22	Huesca	22112	Fraga	6	Hombre	16,0
2009	01	Europa	UE-27_2007	22	Huesca	22112	Fraga	6	Mujer	19,0
2009	01	Europa	UE-27_2007	22	Huesca	22125	Huesca	7	Hombre	187,0
2009	01	Europa	UE-27_2007	22	Huesca	22125	Huesca	7	Mujer	169,0
2009	01	Europa	UE-27_2007	22	Huesca	22130	Jaca	6	Hombre	82,0
2009	01	Europa	UE-27_2007	22	Huesca	22130	Jaca	6	Mujer	100,0
2009	01	Europa	UE-27_2007	22	Huesca	22158	Monzón	6	Hombre	38,0
2009	01	Europa	UE-27_2007	22	Huesca	22158	Monzón	6	Mujer	49,0
2009	01	Europa	UE-27_2007	44	Teruel	44013	Alcañiz	6	Hombre	41,0
2009	01	Europa	UE-27_2007	44	Teruel	44013	Alcañiz	6	Mujer	44,0
2009	01	Europa	UE-27_2007	44	Teruel	44216	Teruel	7	Hombre	110,0
2009	01	Europa	UE-27_2007	44	Teruel	44216	Teruel	7	Mujer	118,0
2009	01	Europa	UE-27_2007	50	Zaragoza	50067	Calatayud	6	Hombre	28,0
2009	01	Europa	UE-27_2007	50	Zaragoza	50067	Calatayud	6	Mujer	30,0
2009	01	Europa	UE-27_2007	50	Zaragoza	50089	Cuarte de Huerva	6	Hombre	6,0
2009	01	Europa	UE-27_2007	50	Zaragoza	50089	Cuarte de Huerva	6	Mujer	9,0
2009	01	Europa	UE-27_2007	50	Zaragoza	50095	Ejea de los Caballeros	6	Hombre	36,0
2009	01	Europa	UE-27_2007	50	Zaragoza	50095	Ejea de los Caballeros	6	Mujer	51,0
2009	01	Europa	UE-27_2007	50	Zaragoza	50251	Tarazona	6	Hombre	17,0
2009	01	Europa	UE-27_2007	50	Zaragoza	50251	Tarazona	6	Mujer	24,0
2009	01	Europa	UE-27_2007	50	Zaragoza	50272	Utebo	6	Hombre	16,0
2009	01	Europa	UE-27_2007	50	Zaragoza	50272	Utebo	6	Mujer	19,0
2009	01	Europa	UE-27_2007	50	Zaragoza	50297	Zaragoza	7	Hombre	1868,0
2009	01	Europa	UE-27_2007	50	Zaragoza	50297	Zaragoza	7	Mujer	2213,0
2009	02	Europa	Resto de Europa	22	Huesca	22048	Barbastro	6	Hombre	16,0
2009	02	Europa	Resto de Europa	22	Huesca	22048	Barbastro	6	Mujer	12,0
2009	02	Europa	Resto de Europa	22	Huesca	22112	Fraga	6	Hombre	16,0
2009	02	Europa	Resto de Europa	22	Huesca	22112	Fraga	6	Mujer	14,0
2009	02	Europa	Resto de Europa	22	Huesca	22125	Huesca	7	Hombre	21,0
2009	02	Europa	Resto de Europa	22	Huesca	22125	Huesca	7	Mujer	23,0
2009	02	Europa	Resto de Europa	22	Huesca	22130	Jaca	6	Hombre	5,0
2009	02	Europa	Resto de Europa	22	Huesca	22130	Jaca	6	Mujer	8,0
2009	02	Europa	Resto de Europa	22	Huesca	22158	Monzón	6	Hombre	13,0
2009	02	Europa	Resto de Europa	22	Huesca	22158	Monzón	6	Mujer	13,0
2009	02	Europa	Resto de Europa	44	Teruel	44013	Alcañiz	6	Hombre	7,0
2009	02	Europa	Resto de Europa	44	Teruel	44013	Alcañiz	6	Mujer	10,0
2009	02	Europa	Resto de Europa	44	Teruel	44216	Teruel	7	Hombre	16,0
2009	02	Europa	Resto de Europa	44	Teruel	44216	Teruel	7	Mujer	20,0
2009	02	Europa	Resto de Europa	50	Zaragoza	50067	Calatayud	6	Hombre	12,0
2009	02	Europa	Resto de Europa	50	Zaragoza	50067	Calatayud	6	Mujer	12,0
2009	02	Europa	Resto de Europa	50	Zaragoza	50089	Cuarte de Huerva	6	Mujer	1,0
2009	02	Europa	Resto de Europa	50	Zaragoza	50095	Ejea de los Caballeros	6	Hombre	2,0
2009	02	Europa	Resto de Europa	50	Zaragoza	50095	Ejea de los Caballeros	6	Mujer	3,0
2009	02	Europa	Resto de Europa	50	Zaragoza	50251	Tarazona	6	Hombre	5,0
2009	02	Europa	Resto de Europa	50	Zaragoza	50251	Tarazona	6	Mujer	7,0
2009	02	Europa	Resto de Europa	50	Zaragoza	50272	Utebo	6	Hombre	6,0
2009	02	Europa	Resto de Europa	50	Zaragoza	50272	Utebo	6	Mujer	2,0
2009	02	Europa	Resto de Europa	50	Zaragoza	50297	Zaragoza	7	Hombre	350,0
2009	02	Europa	Resto de Europa	50	Zaragoza	50297	Zaragoza	7	Mujer	409,0
2009	03	África	Magreb	22	Huesca	22125	Huesca	7	Hombre	7,0
2009	03	África	Magreb	22	Huesca	22125	Huesca	7	Mujer	3,0
2009	03	África	Magreb	22	Huesca	22130	Jaca	6	Mujer	1,0
2009	03	África	Magreb	22	Huesca	22158	Monzón	6	Hombre	1,0
2009	03	África	Magreb	22	Huesca	22158	Monzón	6	Mujer	2,0
2009	03	África	Magreb	44	Teruel	44216	Teruel	7	Hombre	3,0
2009	03	África	Magreb	44	Teruel	44216	Teruel	7	Mujer	3,0
2009	03	África	Magreb	50	Zaragoza	50297	Zaragoza	7	Hombre	38,0
2009	03	África	Magreb	50	Zaragoza	50297	Zaragoza	7	Mujer	43,0
2009	04	África	Resto de África	22	Huesca	22048	Barbastro	6	Hombre	3,0
2009	04	África	Resto de África	22	Huesca	22048	Barbastro	6	Mujer	2,0
2009	04	África	Resto de África	22	Huesca	22112	Fraga	6	Hombre	1,0
2009	04	África	Resto de África	22	Huesca	22125	Huesca	7	Hombre	1,0
2009	04	África	Resto de África	22	Huesca	22125	Huesca	7	Mujer	5,0
