Año	Residencia área código	Residencia continente nombre	Residencia área nombre	Inscripción provincia código	Inscripción provincia nombre	Sexo	Personas
2009	01	Europa	UE-27	22	Huesca	Hombre	62,0
2009	01	Europa	UE-27	22	Huesca	Mujer	102,0
2009	01	Europa	UE-27	44	Teruel	Hombre	56,0
2009	01	Europa	UE-27	44	Teruel	Mujer	44,0
2009	01	Europa	UE-27	50	Zaragoza	Hombre	356,0
2009	01	Europa	UE-27	50	Zaragoza	Mujer	428,0
2009	01	Europa	UE-27_2007	22	Huesca	Hombre	1087,0
2009	01	Europa	UE-27_2007	22	Huesca	Mujer	1066,0
2009	01	Europa	UE-27_2007	44	Teruel	Hombre	734,0
2009	01	Europa	UE-27_2007	44	Teruel	Mujer	725,0
2009	01	Europa	UE-27_2007	50	Zaragoza	Hombre	2768,0
2009	01	Europa	UE-27_2007	50	Zaragoza	Mujer	3137,0
2009	02	Europa	Resto de Europa	22	Huesca	Hombre	179,0
2009	02	Europa	Resto de Europa	22	Huesca	Mujer	199,0
2009	02	Europa	Resto de Europa	44	Teruel	Hombre	83,0
2009	02	Europa	Resto de Europa	44	Teruel	Mujer	109,0
2009	02	Europa	Resto de Europa	50	Zaragoza	Hombre	479,0
2009	02	Europa	Resto de Europa	50	Zaragoza	Mujer	552,0
2009	03	África	Magreb	22	Huesca	Hombre	9,0
2009	03	África	Magreb	22	Huesca	Mujer	10,0
2009	03	África	Magreb	44	Teruel	Hombre	5,0
2009	03	África	Magreb	44	Teruel	Mujer	6,0
2009	03	África	Magreb	50	Zaragoza	Hombre	47,0
2009	03	África	Magreb	50	Zaragoza	Mujer	49,0
2009	04	África	Resto de África	22	Huesca	Hombre	15,0
2009	04	África	Resto de África	22	Huesca	Mujer	13,0
2009	04	África	Resto de África	44	Teruel	Hombre	6,0
2009	04	África	Resto de África	44	Teruel	Mujer	5,0
2009	04	África	Resto de África	50	Zaragoza	Hombre	79,0
2009	04	África	Resto de África	50	Zaragoza	Mujer	62,0
2009	05	América	América del Norte	22	Huesca	Hombre	85,0
2009	05	América	América del Norte	22	Huesca	Mujer	104,0
2009	05	América	América del Norte	44	Teruel	Hombre	99,0
2009	05	América	América del Norte	44	Teruel	Mujer	103,0
2009	05	América	América del Norte	50	Zaragoza	Hombre	558,0
2009	05	América	América del Norte	50	Zaragoza	Mujer	850,0
2009	06	América	Resto de América	22	Huesca	Hombre	958,0
2009	06	América	Resto de América	22	Huesca	Mujer	1089,0
2009	06	América	Resto de América	44	Teruel	Hombre	763,0
2009	06	América	Resto de América	44	Teruel	Mujer	822,0
2009	06	América	Resto de América	50	Zaragoza	Hombre	3251,0
2009	06	América	Resto de América	50	Zaragoza	Mujer	3401,0
2009	07	Asia	Asia	22	Huesca	Hombre	19,0
2009	07	Asia	Asia	22	Huesca	Mujer	10,0
2009	07	Asia	Asia	44	Teruel	Hombre	9,0
2009	07	Asia	Asia	44	Teruel	Mujer	7,0
2009	07	Asia	Asia	50	Zaragoza	Hombre	171,0
2009	07	Asia	Asia	50	Zaragoza	Mujer	155,0
2009	08	Oceanía	Oceanía	22	Huesca	Hombre	12,0
2009	08	Oceanía	Oceanía	22	Huesca	Mujer	15,0
2009	08	Oceanía	Oceanía	44	Teruel	Hombre	22,0
2009	08	Oceanía	Oceanía	44	Teruel	Mujer	14,0
2009	08	Oceanía	Oceanía	50	Zaragoza	Hombre	56,0
2009	08	Oceanía	Oceanía	50	Zaragoza	Mujer	69,0
2010	01	Europa	UE-27	22	Huesca	Hombre	65,0
2010	01	Europa	UE-27	22	Huesca	Mujer	108,0
2010	01	Europa	UE-27	44	Teruel	Hombre	59,0
2010	01	Europa	UE-27	44	Teruel	Mujer	49,0
2010	01	Europa	UE-27	50	Zaragoza	Hombre	382,0
2010	01	Europa	UE-27	50	Zaragoza	Mujer	469,0
2010	01	Europa	UE-27_2007	22	Huesca	Hombre	1144,0
2010	01	Europa	UE-27_2007	22	Huesca	Mujer	1116,0
2010	01	Europa	UE-27_2007	44	Teruel	Hombre	747,0
2010	01	Europa	UE-27_2007	44	Teruel	Mujer	737,0
2010	01	Europa	UE-27_2007	50	Zaragoza	Hombre	2898,0
2010	01	Europa	UE-27_2007	50	Zaragoza	Mujer	3296,0
2010	02	Europa	Resto de Europa	22	Huesca	Hombre	182,0
2010	02	Europa	Resto de Europa	22	Huesca	Mujer	203,0
2010	02	Europa	Resto de Europa	44	Teruel	Hombre	78,0
2010	02	Europa	Resto de Europa	44	Teruel	Mujer	107,0
2010	02	Europa	Resto de Europa	50	Zaragoza	Hombre	489,0
2010	02	Europa	Resto de Europa	50	Zaragoza	Mujer	558,0
2010	03	África	Magreb	22	Huesca	Hombre	9,0
2010	03	África	Magreb	22	Huesca	Mujer	8,0
2010	03	África	Magreb	44	Teruel	Hombre	5,0
2010	03	África	Magreb	44	Teruel	Mujer	5,0
2010	03	África	Magreb	50	Zaragoza	Hombre	62,0
2010	03	África	Magreb	50	Zaragoza	Mujer	53,0
2010	04	África	Resto de África	22	Huesca	Hombre	17,0
2010	04	África	Resto de África	22	Huesca	Mujer	13,0
2010	04	África	Resto de África	44	Teruel	Hombre	6,0
2010	04	África	Resto de África	44	Teruel	Mujer	6,0
2010	04	África	Resto de África	50	Zaragoza	Hombre	77,0
2010	04	África	Resto de África	50	Zaragoza	Mujer	66,0
2010	05	América	América del Norte	22	Huesca	Hombre	101,0
2010	05	América	América del Norte	22	Huesca	Mujer	120,0
2010	05	América	América del Norte	44	Teruel	Hombre	109,0
2010	05	América	América del Norte	44	Teruel	Mujer	107,0
2010	05	América	América del Norte	50	Zaragoza	Hombre	628,0
2010	05	América	América del Norte	50	Zaragoza	Mujer	920,0
2010	06	América	Resto de América	22	Huesca	Hombre	1067,0
2010	06	América	Resto de América	22	Huesca	Mujer	1195,0
2010	06	América	Resto de América	44	Teruel	Hombre	840,0
2010	06	América	Resto de América	44	Teruel	Mujer	880,0
2010	06	América	Resto de América	50	Zaragoza	Hombre	3524,0
2010	06	América	Resto de América	50	Zaragoza	Mujer	3683,0
2010	07	Asia	Asia	22	Huesca	Hombre	14,0
2010	07	Asia	Asia	22	Huesca	Mujer	10,0
2010	07	Asia	Asia	44	Teruel	Hombre	11,0
2010	07	Asia	Asia	44	Teruel	Mujer	8,0
2010	07	Asia	Asia	50	Zaragoza	Hombre	196,0
2010	07	Asia	Asia	50	Zaragoza	Mujer	175,0
2010	08	Oceanía	Oceanía	22	Huesca	Hombre	12,0
2010	08	Oceanía	Oceanía	22	Huesca	Mujer	13,0
2010	08	Oceanía	Oceanía	44	Teruel	Hombre	22,0
2010	08	Oceanía	Oceanía	44	Teruel	Mujer	14,0
2010	08	Oceanía	Oceanía	50	Zaragoza	Hombre	56,0
2010	08	Oceanía	Oceanía	50	Zaragoza	Mujer	74,0
2011	01	Europa	UE-27	22	Huesca	Hombre	63,0
2011	01	Europa	UE-27	22	Huesca	Mujer	113,0
2011	01	Europa	UE-27	44	Teruel	Hombre	63,0
2011	01	Europa	UE-27	44	Teruel	Mujer	53,0
2011	01	Europa	UE-27	50	Zaragoza	Hombre	417,0
2011	01	Europa	UE-27	50	Zaragoza	Mujer	506,0
2011	01	Europa	UE-27_2007	22	Huesca	Hombre	1216,0
2011	01	Europa	UE-27_2007	22	Huesca	Mujer	1194,0
2011	01	Europa	UE-27_2007	44	Teruel	Hombre	798,0
2011	01	Europa	UE-27_2007	44	Teruel	Mujer	781,0
2011	01	Europa	UE-27_2007	50	Zaragoza	Hombre	3052,0
2011	01	Europa	UE-27_2007	50	Zaragoza	Mujer	3445,0
2011	02	Europa	Resto de Europa	22	Huesca	Hombre	189,0
2011	02	Europa	Resto de Europa	22	Huesca	Mujer	205,0
2011	02	Europa	Resto de Europa	44	Teruel	Hombre	77,0
2011	02	Europa	Resto de Europa	44	Teruel	Mujer	107,0
2011	02	Europa	Resto de Europa	50	Zaragoza	Hombre	494,0
2011	02	Europa	Resto de Europa	50	Zaragoza	Mujer	574,0
2011	03	África	Magreb	22	Huesca	Hombre	11,0
2011	03	África	Magreb	22	Huesca	Mujer	7,0
2011	03	África	Magreb	44	Teruel	Hombre	5,0
2011	03	África	Magreb	44	Teruel	Mujer	5,0
2011	03	África	Magreb	50	Zaragoza	Hombre	60,0
2011	03	África	Magreb	50	Zaragoza	Mujer	48,0
2011	04	África	Resto de África	22	Huesca	Hombre	19,0
2011	04	África	Resto de África	22	Huesca	Mujer	13,0
2011	04	África	Resto de África	44	Teruel	Hombre	6,0
2011	04	África	Resto de África	44	Teruel	Mujer	6,0
2011	04	África	Resto de África	50	Zaragoza	Hombre	92,0
2011	04	África	Resto de África	50	Zaragoza	Mujer	85,0
2011	05	América	América del Norte	22	Huesca	Hombre	104,0
2011	05	América	América del Norte	22	Huesca	Mujer	129,0
2011	05	América	América del Norte	44	Teruel	Hombre	120,0
2011	05	América	América del Norte	44	Teruel	Mujer	116,0
2011	05	América	América del Norte	50	Zaragoza	Hombre	667,0
2011	05	América	América del Norte	50	Zaragoza	Mujer	973,0
