Inscripción CCAA código	Inscripción CCAA nombre	Año	Residencia continente código	Residencia continente nombre	Residencia área código	Residencia área nombre	Residencia país código	Residencia país nombre	Sexo	Personas
02	Aragón	2009	1	Europa	01	UE-27	125	Reino Unido	Hombre	474,0
02	Aragón	2009	1	Europa	01	UE-27	125	Reino Unido	Mujer	574,0
02	Aragón	2009	1	Europa	01	UE-27_2007	102	Austria	Hombre	29,0
02	Aragón	2009	1	Europa	01	UE-27_2007	102	Austria	Mujer	47,0
02	Aragón	2009	1	Europa	01	UE-27_2007	103	Bélgica	Hombre	291,0
02	Aragón	2009	1	Europa	01	UE-27_2007	103	Bélgica	Mujer	278,0
02	Aragón	2009	1	Europa	01	UE-27_2007	104	Bulgaria	Hombre	3,0
02	Aragón	2009	1	Europa	01	UE-27_2007	104	Bulgaria	Mujer	4,0
02	Aragón	2009	1	Europa	01	UE-27_2007	106	Chipre	Hombre	3,0
02	Aragón	2009	1	Europa	01	UE-27_2007	106	Chipre	Mujer	4,0
02	Aragón	2009	1	Europa	01	UE-27_2007	107	Dinamarca	Hombre	14,0
02	Aragón	2009	1	Europa	01	UE-27_2007	107	Dinamarca	Mujer	25,0
02	Aragón	2009	1	Europa	01	UE-27_2007	109	Finlandia	Hombre	25,0
02	Aragón	2009	1	Europa	01	UE-27_2007	109	Finlandia	Mujer	19,0
02	Aragón	2009	1	Europa	01	UE-27_2007	110	Francia	Hombre	2922,0
02	Aragón	2009	1	Europa	01	UE-27_2007	110	Francia	Mujer	2947,0
02	Aragón	2009	1	Europa	01	UE-27_2007	111	Grecia	Hombre	16,0
02	Aragón	2009	1	Europa	01	UE-27_2007	111	Grecia	Mujer	30,0
02	Aragón	2009	1	Europa	01	UE-27_2007	112	Hungría	Hombre	11,0
02	Aragón	2009	1	Europa	01	UE-27_2007	112	Hungría	Mujer	6,0
02	Aragón	2009	1	Europa	01	UE-27_2007	113	Irlanda	Hombre	47,0
02	Aragón	2009	1	Europa	01	UE-27_2007	113	Irlanda	Mujer	58,0
02	Aragón	2009	1	Europa	01	UE-27_2007	115	Italia	Hombre	98,0
02	Aragón	2009	1	Europa	01	UE-27_2007	115	Italia	Mujer	253,0
02	Aragón	2009	1	Europa	01	UE-27_2007	117	Luxemburgo	Hombre	30,0
02	Aragón	2009	1	Europa	01	UE-27_2007	117	Luxemburgo	Mujer	46,0
02	Aragón	2009	1	Europa	01	UE-27_2007	118	Malta	Hombre	1,0
02	Aragón	2009	1	Europa	01	UE-27_2007	121	Países Bajos	Hombre	111,0
02	Aragón	2009	1	Europa	01	UE-27_2007	121	Países Bajos	Mujer	164,0
02	Aragón	2009	1	Europa	01	UE-27_2007	122	Polonia	Hombre	13,0
02	Aragón	2009	1	Europa	01	UE-27_2007	122	Polonia	Mujer	11,0
02	Aragón	2009	1	Europa	01	UE-27_2007	123	Portugal	Hombre	63,0
02	Aragón	2009	1	Europa	01	UE-27_2007	123	Portugal	Mujer	73,0
02	Aragón	2009	1	Europa	01	UE-27_2007	126	Alemania	Hombre	839,0
02	Aragón	2009	1	Europa	01	UE-27_2007	126	Alemania	Mujer	906,0
02	Aragón	2009	1	Europa	01	UE-27_2007	128	Rumanía	Hombre	8,0
02	Aragón	2009	1	Europa	01	UE-27_2007	128	Rumanía	Mujer	4,0
02	Aragón	2009	1	Europa	01	UE-27_2007	131	Suecia	Hombre	49,0
02	Aragón	2009	1	Europa	01	UE-27_2007	131	Suecia	Mujer	41,0
02	Aragón	2009	1	Europa	01	UE-27_2007	136	Letonia	Mujer	1,0
02	Aragón	2009	1	Europa	01	UE-27_2007	141	Estonia	Hombre	1,0
02	Aragón	2009	1	Europa	01	UE-27_2007	141	Estonia	Mujer	1,0
02	Aragón	2009	1	Europa	01	UE-27_2007	142	Lituania	Hombre	3,0
02	Aragón	2009	1	Europa	01	UE-27_2007	143	República Checa	Hombre	8,0
02	Aragón	2009	1	Europa	01	UE-27_2007	143	República Checa	Mujer	7,0
02	Aragón	2009	1	Europa	01	UE-27_2007	144	Eslovaquia	Hombre	2,0
02	Aragón	2009	1	Europa	01	UE-27_2007	144	Eslovaquia	Mujer	1,0
02	Aragón	2009	1	Europa	01	UE-27_2007	147	Eslovenia	Hombre	2,0
02	Aragón	2009	1	Europa	01	UE-27_2007	147	Eslovenia	Mujer	2,0
02	Aragón	2009	1	Europa	02	Resto de Europa	114	Islandia	Mujer	1,0
02	Aragón	2009	1	Europa	02	Resto de Europa	120	Noruega	Hombre	10,0
02	Aragón	2009	1	Europa	02	Resto de Europa	120	Noruega	Mujer	14,0
02	Aragón	2009	1	Europa	02	Resto de Europa	124	Andorra	Hombre	342,0
02	Aragón	2009	1	Europa	02	Resto de Europa	124	Andorra	Mujer	351,0
02	Aragón	2009	1	Europa	02	Resto de Europa	132	Suiza	Hombre	365,0
02	Aragón	2009	1	Europa	02	Resto de Europa	132	Suiza	Mujer	473,0
02	Aragón	2009	1	Europa	02	Resto de Europa	135	Ucrania	Hombre	2,0
02	Aragón	2009	1	Europa	02	Resto de Europa	145	Bosnia-Herzegovina	Hombre	5,0
02	Aragón	2009	1	Europa	02	Resto de Europa	145	Bosnia-Herzegovina	Mujer	2,0
02	Aragón	2009	1	Europa	02	Resto de Europa	146	Croacia	Hombre	2,0
02	Aragón	2009	1	Europa	02	Resto de Europa	146	Croacia	Mujer	1,0
02	Aragón	2009	1	Europa	02	Resto de Europa	154	Rusia	Hombre	11,0
02	Aragón	2009	1	Europa	02	Resto de Europa	154	Rusia	Mujer	14,0
02	Aragón	2009	1	Europa	02	Resto de Europa	156	Macedonia	Mujer	1,0
02	Aragón	2009	1	Europa	02	Resto de Europa	157	Serbia	Hombre	4,0
02	Aragón	2009	1	Europa	02	Resto de Europa	157	Serbia	Mujer	2,0
02	Aragón	2009	1	Europa	02	Resto de Europa	436	Turquía	Mujer	1,0
02	Aragón	2009	2	África	03	Magreb	203	Argelia	Hombre	3,0
02	Aragón	2009	2	África	03	Magreb	203	Argelia	Mujer	1,0
02	Aragón	2009	2	África	03	Magreb	224	Libia	Hombre	2,0
02	Aragón	2009	2	África	03	Magreb	224	Libia	Mujer	2,0
02	Aragón	2009	2	África	03	Magreb	228	Marruecos	Hombre	38,0
02	Aragón	2009	2	África	03	Magreb	228	Marruecos	Mujer	45,0
02	Aragón	2009	2	África	03	Magreb	230	Mauritania	Hombre	1,0
02	Aragón	2009	2	África	03	Magreb	230	Mauritania	Mujer	1,0
02	Aragón	2009	2	África	03	Magreb	248	Túnez	Hombre	17,0
02	Aragón	2009	2	África	03	Magreb	248	Túnez	Mujer	16,0
02	Aragón	2009	2	África	04	Resto de África	202	Angola	Hombre	5,0
02	Aragón	2009	2	África	04	Resto de África	202	Angola	Mujer	1,0
02	Aragón	2009	2	África	04	Resto de África	207	Cabo Verde	Hombre	2,0
02	Aragón	2009	2	África	04	Resto de África	207	Cabo Verde	Mujer	1,0
02	Aragón	2009	2	África	04	Resto de África	208	Camerún	Hombre	7,0
02	Aragón	2009	2	África	04	Resto de África	208	Camerún	Mujer	4,0
02	Aragón	2009	2	África	04	Resto de África	211	Costa de Marfil	Hombre	4,0
02	Aragón	2009	2	África	04	Resto de África	211	Costa de Marfil	Mujer	8,0
02	Aragón	2009	2	África	04	Resto de África	213	Egipto	Hombre	9,0
02	Aragón	2009	2	África	04	Resto de África	213	Egipto	Mujer	5,0
02	Aragón	2009	2	África	04	Resto de África	214	Etiopía	Hombre	3,0
02	Aragón	2009	2	África	04	Resto de África	214	Etiopía	Mujer	1,0
02	Aragón	2009	2	África	04	Resto de África	215	Gabón	Hombre	4,0
02	Aragón	2009	2	África	04	Resto de África	215	Gabón	Mujer	5,0
02	Aragón	2009	2	África	04	Resto de África	216	Gambia	Hombre	1,0
02	Aragón	2009	2	África	04	Resto de África	217	Ghana	Mujer	2,0
02	Aragón	2009	2	África	04	Resto de África	220	Guinea Ecuatorial	Hombre	18,0
02	Aragón	2009	2	África	04	Resto de África	220	Guinea Ecuatorial	Mujer	21,0
02	Aragón	2009	2	África	04	Resto de África	221	Kenia	Mujer	1,0
02	Aragón	2009	2	África	04	Resto de África	225	Madagascar	Mujer	1,0
