Año	Residencia continente código	Residencia continente nombre	Residencia área código	Residencia área nombre	Residencia país código	Residencia país nombre	Inscripción comarca código	Inscripción comarca nombre	Sexo	Personas
2009	1	Europa	01	UE-27	125	Reino Unido	01	La Jacetania	Hombre	7,0
2009	1	Europa	01	UE-27	125	Reino Unido	02	Alto Gállego	Hombre	4,0
2009	1	Europa	01	UE-27	125	Reino Unido	03	Sobrarbe	Hombre	5,0
2009	1	Europa	01	UE-27	125	Reino Unido	04	La Ribagorza	Hombre	2,0
2009	1	Europa	01	UE-27	125	Reino Unido	05	Cinco Villas	Hombre	7,0
2009	1	Europa	01	UE-27	125	Reino Unido	06	Hoya de Huesca / Plana de Uesca	Hombre	33,0
2009	1	Europa	01	UE-27	125	Reino Unido	07	Somontano de Barbastro	Hombre	4,0
2009	1	Europa	01	UE-27	125	Reino Unido	08	Cinca Medio	Hombre	1,0
2009	1	Europa	01	UE-27	125	Reino Unido	09	La Litera / La Llitera	Hombre	4,0
2009	1	Europa	01	UE-27	125	Reino Unido	10	Los Monegros	Hombre	4,0
2009	1	Europa	01	UE-27	125	Reino Unido	11	Bajo Cinca / Baix Cinca	Hombre	1,0
2009	1	Europa	01	UE-27	125	Reino Unido	12	Tarazona y el Moncayo	Hombre	2,0
2009	1	Europa	01	UE-27	125	Reino Unido	13	Campo de Borja	Hombre	1,0
2009	1	Europa	01	UE-27	125	Reino Unido	15	Ribera Alta del Ebro	Hombre	4,0
2009	1	Europa	01	UE-27	125	Reino Unido	16	Valdejalón	Hombre	3,0
2009	1	Europa	01	UE-27	125	Reino Unido	17	D.C. Zaragoza	Hombre	321,0
2009	1	Europa	01	UE-27	125	Reino Unido	18	Ribera Baja del Ebro	Hombre	1,0
2009	1	Europa	01	UE-27	125	Reino Unido	19	Bajo Aragón-Caspe / Baix Aragó-Casp	Hombre	3,0
2009	1	Europa	01	UE-27	125	Reino Unido	20	Comunidad de Calatayud	Hombre	6,0
